r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.053521148099032086	0.05338924692582159	1178606.2366102354	405.76703600360895	2.0086054826092777e-256	3	-331549.16808268713	663108.3361653743	663148.2224105548	29903428252842028	21527	21531	Linear model	NA	NA	all
0.011227742908966809	-0.2083248209314308	NA	100.02827908632027	6.354253399665435e-44	NA	NA	NA	NA	5335856057451638	17618	21531	Linear model with fixed effect	NA	NA	all
0.2626593404955203	0.26255658479437693	1467718317.3914573	2556.153454970164	0	3	-344568.0076016285	689146.015203257	689185.9014484375	463734000935364e8	21527	21531	Linear model assets weighted	NA	NA	all
0.7596638260514441	0.7062315303104116	926362473.6909957	NA	NA	NA	-313236.7939068264	634307.5878136528	665554.4722880494	NA	NA	21531	Linear model assets weighted with fixed effect	0.017641046543976135	NA	all
0.0535592384162695	0.05325142420212259	1178692.0336545827	173.9985873124424	1.2932036960294543e-251	7	-331548.73482465826	663115.4696493165	663187.2648906414	29902224812251300	21523	21531	Event study	NA	NA	all
0.029803820115894792	-0.18616262083502466	NA	54.0968190890644	3.991725868743807e-108	NA	NA	NA	NA	5235611260555715	17610	21531	Event study with fixed effects	NA	NA	all
0.2620379406402652	0.26179793067810764	1468473090.0885413	NA	NA	NA	-338807.65472516464	677631.3094503293	677695.127442618	NA	NA	21531	Event study assets weighted	NA	NA	all
0.7644047605623479	0.7119610729646422	917284289.9577128	NA	NA	NA	-313373.4753978825	634588.950795765	665867.744266306	NA	NA	21531	Event study assets weighted with fixed effects	0.037019317355309944	NA	all
0.08043237384675439	0.07997350776583956	911961.4435150819	175.28507159737063	5.991897745057174e-109	3	-91094.02514632355	182198.0502926471	182231.56118197524	5000022130842169	6012	6016	Linear model	NA	NA	treat_a
0.02342434562104646	-0.1915015336895347	NA	59.1259998106399	4.2172271545840267e-26	NA	NA	NA	NA	942586289533547.6	4930	6016	Linear model with fixed effect	NA	NA	treat_a
0.3877204820548131	0.3874149533532435	1187017564.7166233	1269.0149241729234	0	3	-94893.73208295365	189797.4641659073	189830.97505523544	8470972322062047e6	6012	6016	Linear model assets weighted	NA	NA	treat_a
0.8062542202375773	0.7634224796445448	737667563.958056	NA	NA	NA	-86142.65649588036	174465.31299176073	181770.6868652971	NA	NA	6016	Linear model assets weighted with fixed effect	0.032057317290006715	NA	treat_a
0.08101938768619406	0.07994867126039562	911973.7528250249	75.66838962592944	1.6639999995157225e-105	7	-91092.10435071743	182202.20870143487	182262.52830222555	4996830324057292	6008	6016	Event study	NA	NA	treat_a
0.039226074096398604	-0.1741274206237633	NA	20.09533476055691	6.434946428155546e-37	NA	NA	NA	NA	927334534541447.4	4922	6016	Event study with fixed effects	NA	NA	treat_a
0.38826857570140527	0.38755583935485227	1186881058.1401544	NA	NA	NA	-93478.19697086298	186972.39394172595	187026.011364651	NA	NA	6016	Event study assets weighted	NA	NA	treat_a
0.8113282230053086	0.7694309754930783	728239834.1325426	NA	NA	NA	-86218.4734671894	174624.9469343788	181957.12951937766	NA	NA	6016	Event study assets weighted with fixed effects	0.057406740937314904	NA	treat_a
0.08418085049067024	0.08380199535435928	883555.7956922483	222.19799185076312	6.569253925882155e-138	3	-109640.86318660225	219291.7263732045	219326.17429316347	5661424961423077	7252	7256	Linear model	NA	NA	treat_b
0.025513482350507932	-0.18901777422587696	NA	77.8374884149548	4.271270838976762e-34	NA	NA	NA	NA	1306623419385359.5	5946	7256	Linear model with fixed effect	NA	NA	treat_b
0.36286971496389053	0.3626061475541955	1203220457.4573858	1376.7624585443525	0	3	-114423.25108407965	228856.5021681593	228890.95008811826	10499006630957207e6	7252	7256	Linear model assets weighted	NA	NA	treat_b
