r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.0010553352378028917	6.443596488990844e-4	1.808870354148175	2.567878156991686	0.052634005719362026	3	-14674.932697632388	29359.865395264776	29394.340802923547	23859.511198582924	7292	7296	Linear model	NA	NA	all
6.077202871934998e-5	-0.2226880100654529	NA	0.18129397927275176	0.8341946835432155	NA	NA	NA	NA	2679.590973211746	5966	7296	Linear model with fixed effect	NA	NA	all
0.03158006058592846	0.031181643167080164	1603.1496089686696	79.26375477561211	1.8761279566526703e-50	3	-16643.544474172602	33297.088948345205	33331.564356003975	18741086572.425816	7292	7296	Linear model assets weighted	NA	NA	all
0.7869401416646671	0.7393036453276999	831.611244841833	NA	NA	NA	-6706.0672806506645	16080.134561301329	25278.173324661388	NA	NA	7296	Linear model assets weighted with fixed effect	6.766258765084077e-4	NA	all
0.0011073364961210331	1.4791708825512284e-4	1.8093195879837984	1.1541735418757892	0.32580888968584176	7	-14674.742791689896	29367.485583379792	29429.54131716558	23858.269163214052	7288	7296	Event study	NA	NA	all
0.004091416838018764	-0.21939461466375532	NA	2.447680633851105	0.0065073409847599285	NA	NA	NA	NA	2668.7898373575877	5958	7296	Event study with fixed effects	NA	NA	all
0.031481123976091485	0.030550878074312227	1603.6714024849164	NA	NA	NA	-16727.25090295021	33470.50180590042	33525.66245815445	NA	NA	7296	Event study assets weighted	NA	NA	all
0.7871617951862523	0.7394000160932712	831.4575211345255	NA	NA	NA	-6705.972742831016	16087.945485662032	25313.56457514911	NA	NA	7296	Event study assets weighted with fixed effects	0.0017162564611123976	NA	all
0.03847990146117783	0.036496022303257325	1.8334367317570668	19.396293018931466	2.477799317430049e-12	3	-2950.6378621332333	5911.275724266467	5937.69982882931	4887.6068225636745	1454	1458	Linear model	NA	NA	treat_a
0.005681214791311652	-0.22049070770771606	NA	3.3910663549776685	0.033999298972809226	NA	NA	NA	NA	569.5742318650824	1187	1458	Linear model with fixed effect	NA	NA	treat_a
0.010035433738989689	0.00799286585812109	1962.296405140762	4.913145767631399	0.00212125051970075	3	-3636.899842824536	7283.799685649072	7310.223790211915	5598782842.087632	1454	1458	Linear model assets weighted	NA	NA	treat_a
0.8052421635200552	0.7601334169473546	964.9217255367994	NA	NA	NA	-1379.724070795985	3309.44814159197	4762.773892548335	NA	NA	1458	Linear model assets weighted with fixed effect	0.0011727006282409302	NA	treat_a
0.039117396395064306	0.034478652791454345	1.8353551386314102	8.432756741420622	3.853067570229533e-10	7	-2950.154369446377	5918.308738892754	5965.872127105872	4884.366303106048	1450	1458	Event study	NA	NA	treat_a
0.018006566858896525	-0.21354065486563845	NA	2.161902677773661	0.0178901605778455	NA	NA	NA	NA	562.5139177678401	1179	1458	Event study with fixed effects	NA	NA	treat_a
0.011107234719828218	0.006333269646061956	1963.9371487664266	NA	NA	NA	-3346.693853182237	6709.387706364474	6751.666273665023	NA	NA	1458	Event study assets weighted	NA	NA	treat_a
0.8056564983660509	0.7598316523488857	965.5284955405209	NA	NA	NA	-1378.3517722295765	3314.703544459153	4789.168579065794	NA	NA	1458	Event study assets weighted with fixed effects	0.0032976418513589456	NA	treat_a
0.016974096649500076	0.015380861798040657	1.8630069612765758	10.653857235140801	6.061397039404569e-7	3	-3784.29466098051	7578.58932196102	7606.217521836227	6424.44142980298	1851	1855	Linear model	NA	NA	treat_b
0.002535924469026942	-0.2230809497582169	NA	1.922033029173318	0.14666651113354656	NA	NA	NA	NA	623.8233554468954	1512	1855	Linear model with fixed effect	NA	NA	treat_b
0.005838960494792233	0.004227678421039882	2013.4815162591924	3.623797837702265	0.012608639991676648	3	-4721.992825730998	9453.985651461997	9481.613851337204	7504153568.003538	1851	1855	Linear model assets weighted	NA	NA	treat_b
0.8475444826850441	0.8125646358740529	873.5613062134478	NA	NA	NA	-1617.8466004185084	3929.693200837017	5847.09027217643	NA	NA	1855	Linear model assets weighted with fixed effect	3.2319888716214606e-4	NA	treat_b
0.017149294800191277	0.01342435980484824	1.8648570004375173	4.6039178728303645	4.074339093773341e-5	7	-3784.129344109156	7586.258688218312	7635.989447993687	6423.296444453265	1847	1855	Event study	NA	NA	treat_b
0.011457871367830991	-0.21858850165162336	NA	1.743237646438238	0.06640427112950514	NA	NA	NA	NA	618.2434864690891	1504	1855	Event study with fixed effects	NA	NA	treat_b
0.006394962158419171	0.0026292689993010487	2015.0968841823503	NA	NA	NA	-4260.5390162367585	8537.078032473517	8581.283152273849	NA	NA	1855	Event study assets weighted	NA	NA	treat_b
0.8478010740944292	0.8123824410711913	873.9857716615982	NA	NA	NA	-1617.6087599776195	3937.217519955239	5876.717151194818	NA	NA	1855	Event study assets weighted with fixed effects	0.0020057124743688703	NA	treat_b
0.00593866233574279	0.004927409703327501	1.8406777445011653	5.872580347760029	5.398667613612414e-4	3	-5989.849371753882	11989.698743507764	12019.651627916484	9991.490854791495	2949	2953	Linear model	NA	NA	treat_c
3.0797594056810495e-5	-0.22638516223612148	NA	0.03706604599241176	0.9636130405134291	NA	NA	NA	NA	1279.9160118530897	2407	2953	Linear model with fixed effect	NA	NA	treat_c
0.010057950053912242	0.009050887948168551	1871.9275670415386	9.987417852928036	1.5085971582844177e-6	3	-7392.427436184036	14794.854872368072	14824.807756776792	10333628695.121408	2949	2953	Linear model assets weighted	NA	NA	treat_c
0.8122072715968055	0.7693033149204203	903.2002323327741	NA	NA	NA	-2957.7891648710165	7015.578329742033	10310.39561470119	NA	NA	2953	Linear model assets weighted with fixed effect	8.77082201953705e-4	NA	treat_c
