r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.10881395517976925	0.10823287321183594	2.268594691065067	187.26093939345353	1.428241760679446e-114	3	-10304.445459498984	20618.890918997968	20651.065408741415	23679.147134583927	4601	4605	Linear model	NA	NA	all
0.008938370714503544	-0.32179830278981036	NA	15.566769409038873	1.8609837287550279e-7	NA	NA	NA	NA	3609.155032769774	3452	4605	Linear model with fixed effect	NA	NA	all
0.22415963860998897	0.22365376573796758	2959.3551049861608	443.1145669352034	6.76669964700709e-253	3	-11931.11595035524	23872.23190071048	23904.40639045393	40294557914.71259	4601	4605	Linear model assets weighted	NA	NA	all
0.8533442676178995	0.8041186562555293	1486.503352368377	NA	NA	NA	-5975.071534315957	14266.143068631915	21717.75489321425	NA	NA	4605	Linear model assets weighted with fixed effect	0.003150661315968084	NA	all
0.10907372404468901	0.10771708190162022	2.2692506651666533	80.39977572711982	1.5571297893261502e-110	7	-10303.774213574987	20625.548427149974	20683.46250868818	23672.244978508694	4597	4605	Event study	NA	NA	all
0.022336594793113163	-0.3069576996435852	NA	7.868478257218255	1.299609819308005e-12	NA	NA	NA	NA	3560.3626404153506	3444	4605	Event study with fixed effects	NA	NA	all
0.2245532525004067	0.22337245475568246	2959.8912212535697	NA	NA	NA	-10767.686215381964	21551.372430763928	21602.851614353443	NA	NA	4605	Event study assets weighted	NA	NA	all
0.8567162689121374	0.8084557787663996	1469.9544682907028	NA	NA	NA	-5963.620010704663	14249.240021409327	21720.156539837728	NA	NA	4605	Event study assets weighted with fixed effects	0.026070851380171622	NA	all
0.039546871417100594	0.03842876533027528	1.7542489089210447	35.36951625886374	2.1417334463180233e-22	3	-5110.906090026553	10231.812180053106	10261.091841051699	7930.432057179391	2577	2581	Linear model	NA	NA	treat_a
0.019580466041304805	-0.2710966822178058	NA	19.871660076408403	2.8503343522877046e-9	NA	NA	NA	NA	1390.7618364598081	1990	2581	Linear model with fixed effect	NA	NA	treat_a
0.08926264684042287	0.08820241709285637	1891.6451747789745	84.1917962076693	5.7908096168211086e-52	3	-5422.637576205401	10855.275152410803	10884.554813409395	9221334421.140816	2577	2581	Linear model assets weighted	NA	NA	treat_a
0.7421867556938762	0.6649077227658441	1146.7603489093306	NA	NA	NA	-2857.7684757347465	6907.536951469493	10397.672542501787	NA	NA	2581	Linear model assets weighted with fixed effect	0.003450984762872533	NA	treat_a
0.03933836034971287	0.03672482304790492	1.7558025202063399	15.051769233406052	2.177867894589733e-19	7	-5111.1862227265565	10240.372445453113	10293.07583525058	7932.153726674631	2573	2581	Event study	NA	NA	treat_a
0.05983980367152092	-0.2238210426475662	NA	12.615136371452788	1.539594245641263e-21	NA	NA	NA	NA	1333.6524578745234	1982	2581	Event study with fixed effects	NA	NA	treat_a
0.09062765742706946	0.08815365571777656	1891.695755076864	NA	NA	NA	-5450.775626456467	10917.551252912934	10964.398710510683	NA	NA	2581	Event study assets weighted	NA	NA	treat_a
0.7570150406989417	0.68370272704504	1114.1359359305231	NA	NA	NA	-2816.264296515721	6830.528593031442	10338.231980662891	NA	NA	2581	Event study assets weighted with fixed effects	0.060768105375603065	NA	treat_a
0.018458249214698817	0.017710882399380012	1.8779955306461964	24.697710463403762	7.923225075068652e-16	3	-8079.821083764332	16169.642167528664	16201.041921107277	13895.856819720731	3940	3944	Linear model	NA	NA	treat_b
