r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.1508653507537353	0.15013375858034672	2.319593652939849	206.2150966637235	4.0844957518783296e-123	3	-7877.511162735601	15765.022325471202	15795.804876601602	18734.952236790257	3482	3486	Linear model	NA	NA	all
0.006743218915529033	-0.32168762202343704	NA	8.890193692153034	1.4193351296027778e-4	NA	NA	NA	NA	3011.966855361343	2619	3486	Linear model with fixed effect	NA	NA	all
0.2650611541639012	0.2644279501037322	3122.7449942094295	418.60305521916064	3.3752866157269324e-232	3	-9213.21889925003	18436.43779850006	18467.22034963046	33954849392.630695	3482	3486	Linear model assets weighted	NA	NA	all
0.8578448716350033	0.8104779562540118	1585.0894559398025	NA	NA	NA	-4688.255036830649	11120.510073661299	16488.98699080303	NA	NA	3486	Linear model assets weighted with fixed effect	0.0024740171588079063	NA	all
0.15017374045540385	0.14846333682779833	2.3218721277359076	87.80017653823339	4.269810687917275e-118	7	-7878.93023813674	15775.86047627348	15831.269068308198	18750.211637542794	3478	3486	Event study	NA	NA	all
0.02562235665925347	-0.3005385243364618	NA	6.865918332027773	1.1381474707527391e-10	NA	NA	NA	NA	2954.717473102076	2611	3486	Event study with fixed effects	NA	NA	all
0.26559572952021426	0.2641176300684148	3123.403629997633	NA	NA	NA	-8223.082143502177	16462.164287004354	16511.416368812996	NA	NA	3486	Event study assets weighted	NA	NA	all
0.8625277635271872	0.8165106303685359	1559.6579592732792	NA	NA	NA	-4670.151992520473	11090.303985040946	16477.250432860917	NA	NA	3486	Event study assets weighted with fixed effects	0.03533464196367375	NA	all
0.04523139726015218	0.043833493010167035	1.704454914213606	32.35657754143971	1.9752666606591323e-20	3	-4005.8315843359715	8021.663168671943	8049.798455757038	5952.68627034858	2049	2053	Linear model	NA	NA	treat_a
0.01752822542173098	-0.2711425481933216	NA	14.147869810712038	8.125036697939849e-7	NA	NA	NA	NA	1172.7980287261867	1586	2053	Linear model with fixed effect	NA	NA	treat_a
0.13912159245187183	0.13786115554477363	1726.8718030627972	110.37568930931316	3.011349301274721e-66	3	-4172.579183955855	8355.15836791171	8383.293654996805	6110294673.413167	2049	2053	Linear model assets weighted	NA	NA	treat_a
0.7156380465166339	0.6309230053460675	1129.8739075650506	NA	NA	NA	-2333.178101142176	5610.356202284352	8266.327303117288	NA	NA	2053	Linear model assets weighted with fixed effect	0.0046000935955698985	NA	treat_a
0.04574929824514118	0.042482914424953444	1.705658254831317	14.006099945263351	7.62998888886818e-18	7	-4005.2746225777723	8028.549245155545	8079.1927619087155	5949.4573182507675	2045	2053	Event study	NA	NA	treat_a
0.06611415830346166	-0.21440668387914874	NA	11.17140202204345	1.2251150361614383e-18	NA	NA	NA	NA	1114.799938824845	1578	2053	Event study with fixed effects	NA	NA	treat_a
0.1425161024698759	0.13958094976439384	1725.1485616649318	NA	NA	NA	-4328.257385805784	8672.514771611568	8717.53123094772	NA	NA	2053	Event study assets weighted	NA	NA	treat_a
0.7372083147682139	0.6582708884058144	1087.2076021683577	NA	NA	NA	-2292.4088551231025	5534.817710246205	8207.6699833302	NA	NA	2053	Event study assets weighted with fixed effects	0.08010612643760806	NA	treat_a
0.02384666842514414	0.02288683230756816	1.8179201109603564	24.84452083900083	7.054452295441412e-16	3	-6158.8081805664115	12327.616361132823	12357.739035490851	10083.047099523883	3051	3055	Linear model	NA	NA	treat_b
