r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.017211514530302455	0.014567240578366003	1.8192953886370453	6.508975561211589	2.2959836356875596e-4	3	-2255.4533764871085	4520.906752974217	4546.007706515777	3690.4668178943602	1115	1119	Linear model	NA	NA	all
0.0291728144733512	-0.30611888498049744	NA	12.485542838504195	4.544347722212389e-6	NA	NA	NA	NA	591.5161272909448	831	1119	Linear model with fixed effect	NA	NA	all
0.12930340855458955	0.12696072714262874	1909.6717677112613	55.19461924887471	2.8842639455610498e-33	3	-2413.067719425123	4836.135438850246	4861.236392391806	4066233580.3387003	1115	1119	Linear model assets weighted	NA	NA	all
0.7760352694941861	0.6968612969667071	1125.285004316411	NA	NA	NA	-1243.9948533969196	3073.989706793839	4544.9055843292335	NA	NA	1119	Linear model assets weighted with fixed effect	0.007690276588754652	NA	all
0.01945368644075726	0.013275626859375778	1.8204872799055773	3.1488343847288633	0.002669515121444586	7	-2254.1754530989037	4526.3509061978075	4571.532622572615	3682.0472432270867	1111	1119	Event study	NA	NA	all
0.03815238523627617	-0.306616808391061	NA	3.26448936063212	3.752796917918812e-4	NA	NA	NA	NA	586.0449569306533	823	1119	Event study with fixed effects	NA	NA	all
0.130421786148483	0.12494289551215476	1911.8773798891748	NA	NA	NA	-2425.7679673070243	4867.5359346140485	4907.697460280544	NA	NA	1119	Event study assets weighted	NA	NA	all
0.7771746441762084	0.6973040731336585	1124.462886504418	NA	NA	NA	-1250.1778186225679	3092.3556372451358	4578.332086905466	NA	NA	1119	Event study assets weighted with fixed effects	0.01273844900869714	NA	all
0.05241678870212187	0.04699169398095071	1.685008246347369	9.66191216856896	3.2354445342088033e-6	3	-1022.6867329953712	2055.3734659907423	2076.718947409274	1487.7684620955251	524	528	Linear model	NA	NA	treat_a
0.03674373813919649	-0.25964280397181994	NA	15.372572238970754	1.0370777420428735e-4	NA	NA	NA	NA	216.5550407845938	403	528	Linear model with fixed effect	NA	NA	treat_a
0.049080617625647985	0.043636422688390186	1880.9255824064207	9.015220467173435	7.880006175151195e-6	3	-1057.9489241029514	2125.897848205903	2147.243329624434	1853849668.392689	524	528	Linear model assets weighted	NA	NA	treat_a
0.6975793395000603	0.5985499040718685	1218.6412720494568	NA	NA	NA	-512.285039319564	1286.570078639128	1845.8216918046483	NA	NA	528	Linear model assets weighted with fixed effect	4.440892098500626e-16	NA	treat_a
0.044545275750500574	0.0316833852317574	1.6984875960656733	3.463353671498449	0.0012310203365950795	7	-1024.8707055076738	2067.7414110153477	2106.163277568704	1500.1272592742537	520	528	Event study	NA	NA	treat_a
