r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.04465403065781744	0.043327775263080626	3.256382424325398	33.66925468127815	2.898625881270864e-21	3	-5626.035648813877	11262.071297627754	11290.472175829937	22915.301252357025	2161	2165	Linear model	NA	NA	all
0.006824483209643826	-0.43186663446657625	NA	5.1569682923616025	0.0058616080386628055	NA	NA	NA	NA	3408.2926242523295	1501	2165	Linear model with fixed effect	NA	NA	all
0.05767492001729731	0.05636674082250426	5040.1392830887635	44.087935541899995	1.1941700358799772e-27	3	-6307.7837514683615	12625.567502936723	12653.968381138906	54895891628.73149	2161	2165	Linear model assets weighted	NA	NA	all
0.8560195575089382	0.7917288251666726	2367.857169092157	NA	NA	NA	-3552.133116199465	8442.26623239893	12242.303735851008	NA	NA	2165	Linear model assets weighted with fixed effect	3.405902348307954e-5	NA	all
0.0486535578241776	0.04556620265717226	3.252570541715347	15.758976597230518	2.7419283879610797e-20	7	-5621.494282328739	11260.988564657478	11312.110145421408	22819.367032895945	2157	2165	Event study	NA	NA	all
0.027864189219095614	-0.4090434658606008	NA	4.279364471790396	6.6185138275414045e-6	NA	NA	NA	NA	3336.090406621968	1493	2165	Event study with fixed effects	NA	NA	all
0.06223240097637339	0.059189112523352905	5032.59620477987	NA	NA	NA	-5655.51913698362	11327.03827396724	11372.479679090733	NA	NA	2165	Event study assets weighted	NA	NA	all
0.8571242592528455	0.7929115184348008	2361.1245145689486	NA	NA	NA	-3549.572231391883	8443.144462783766	12260.222493157155	NA	NA	2165	Event study assets weighted with fixed effects	0.007706379650732509	NA	all
0.02123705768007711	0.018234717366212294	2.9136933299871193	7.073501155749891	1.0506145135992528e-4	3	-2441.565430886669	4893.130861773338	4917.578818315111	8302.837427144777	978	982	Linear model	NA	NA	treat_a
0.02053200257365988	-0.3629192985464391	NA	7.389246944496783	6.669040622403577e-4	NA	NA	NA	NA	1368.1595852268804	705	982	Linear model with fixed effect	NA	NA	treat_a
0.02294517403991314	0.019948073346784057	4383.948976000119	7.655790174989886	4.633603288641764e-5	3	-2673.0419378947036	5356.083875789407	5380.531832331179	18796190434.4407	978	982	Linear model assets weighted	NA	NA	treat_a
0.800359795823976	0.7202185138618863	2342.3426908589154	NA	NA	NA	-1542.8329433028905	3649.665886605781	5028.53063556174	NA	NA	982	Linear model assets weighted with fixed effect	0.004165289532716665	NA	treat_a
0.027554515089637376	0.020565687169336933	2.910232336091104	3.942651815707205	2.9618778620586967e-4	7	-2438.3859833364836	4894.771966672967	4938.778288448158	8249.246491529497	974	982	Event study	NA	NA	treat_a
0.07907866618558357	-0.2961604425709363	NA	5.9850747623638725	9.650353177963087e-9	NA	NA	NA	NA	1286.379293053805	697	982	Event study with fixed effects	NA	NA	treat_a
0.03216929637687882	0.025213634235850213	4372.156213183349	NA	NA	NA	-2458.1225507683166	4932.245101536633	4971.361832003469	NA	NA	982	Event study assets weighted	NA	NA	treat_a
0.8077960179748437	0.7294804786704758	2303.2456127593105	NA	NA	NA	-1528.6322449017816	3627.2644898035633	5020.798012684586	NA	NA	982	Event study assets weighted with fixed effects	0.04125825967439467	NA	treat_a
0.01994185331682505	0.01794986521381059	2.9716501372467605	10.011030330274547	1.5639700302110494e-6	3	-3709.9200739922708	7429.8401479845415	7456.339134818332	13034.119898381268	1476	1480	Linear model	NA	NA	treat_b
0.014756354871923576	-0.36567511822345344	NA	7.990424869117433	3.593628512873046e-4	NA	NA	NA	NA	2243.5003033558414	1067	1480	Linear model with fixed effect	NA	NA	treat_b
0.017123175699048223	0.015125458576485395	4441.177938668419	8.571371544876468	1.2128495986206263e-5	3	-4118.188695756939	8246.377391513877	8272.876378347668	29112714748.78265	1476	1480	Linear model assets weighted	NA	NA	treat_b
0.8004247990437152	0.7220605252218971	2359.2981894658383	NA	NA	NA	-2390.7040777340744	5617.408155468149	7832.72345477306	NA	NA	1480	Linear model assets weighted with fixed effect	0.002227188194396379	NA	treat_b
0.028035187336508047	0.02341307205889631	2.963372870874319	6.065445289152126	5.368141808373379e-7	7	-3703.7837716866807	7425.567543373361	7473.265719674185	12926.483952139504	1472	1480	Event study	NA	NA	treat_b
0.05575800228003126	-0.31872890899701023	NA	6.253452457858605	2.357456890694848e-9	NA	NA	NA	NA	2150.135368851527	1059	1480	Event study with fixed effects	NA	NA	treat_b
0.027112983558714943	0.022486482801181706	4424.549966653101	NA	NA	NA	-3739.649640474813	7495.299280949626	7537.697659883692	NA	NA	1480	Event study assets weighted	NA	NA	treat_b
0.8050436888083484	0.7277239053329059	2335.1375877773426	NA	NA	NA	-2378.869002387316	5599.738004774632	7830.952696179817	NA	NA	1480	Event study assets weighted with fixed effects	0.025319248760016344	NA	treat_b
0.04572727180440692	0.04394580435911344	3.204618353676431	25.6683173892472	3.218319863058893e-16	3	-4160.066820784602	8330.133641569204	8357.056693485089	16503.21311990078	1607	1611	Linear model	NA	NA	treat_c
0.012733217064693299	-0.38578859679672517	NA	7.396683563980661	6.429840650069285e-4	NA	NA	NA	NA	2359.815685550598	1147	1611	Linear model with fixed effect	NA	NA	treat_c
0.047044303620484854	0.04526529485313058	4932.819529180651	26.444110048116844	1.0757092552304376e-16	3	-4646.14969705086	9302.29939410172	9329.222446017604	39102662571.4979	1607	1611	Linear model assets weighted	NA	NA	treat_c
0.8469026098085932	0.784162173197754	2345.403947199868	NA	NA	NA	-2575.2420260025156	6088.484052005031	8613.866321715032	NA	NA	1611	Linear model assets weighted with fixed effect	0.0029580012525687316	NA	treat_c
0.05199287718284507	0.047853108087573704	3.198063162049893	12.5593664734183	9.326182565938436e-16	7	-4154.760594804574	8327.521189609148	8375.98268305774	16394.855605502275	1603	1611	Event study	NA	NA	treat_c
0.03960009307264702	-0.3575450835408589	NA	4.696429652315317	1.3288950752076668e-6	NA	NA	NA	NA	2295.5971009479526	1139	1611	Event study with fixed effects	NA	NA	treat_c
0.053981474543813524	0.04985038927981267	4920.960389900203	NA	NA	NA	-4186.849023438114	8389.698046876229	8432.774929941645	NA	NA	1611	Event study assets weighted	NA	NA	treat_c
0.8478699333310342	0.7849610119955797	2341.0596288036304	NA	NA	NA	-2572.9194428539186	6089.838885707837	8631.374986567369	NA	NA	1611	Event study assets weighted with fixed effects	0.009257665649487712	NA	treat_c
0.0410320908934397	0.03847484313582228	3.246392713247891	16.04541084109425	3.22033404954135e-10	3	-2929.4257316345443	5868.8514632690885	5893.996901089837	11856.448854707629	1125	1129	Linear model	NA	NA	cit_m22
0.026114878239021887	-0.7382000274468088	NA	8.473588248898498	2.335839624035648e-4	NA	NA	NA	NA	1444.5940639186645	632	1129	Linear model with fixed effect	NA	NA	cit_m22
0.05513609252626643	0.05261645543966986	5308.285979687193	21.882553173854497	8.916447563555224e-14	3	-3205.55670557334	6421.11341114668	6446.258848967428	31700137547.411575	1125	1129	Linear model assets weighted	NA	NA	cit_m22
0.8772228084869066	0.7791185454118511	2563.132281412678	NA	NA	NA	-1737.7598457860067	4479.5196915720135	7004.1216487751435	NA	NA	1129	Linear model assets weighted with fixed effect	0.008148525864045797	NA	cit_m22
0.04475315233725789	0.03878818540270024	3.245863702159516	7.502665618812223	7.528607069139191e-9	7	-2927.231054340951	5872.462108681902	5917.723896759248	11810.442544929274	1121	1129	Event study	NA	NA	cit_m22
0.04220181337384539	-0.731404414285741	NA	2.7494238257059944	0.0025319727666691886	NA	NA	NA	NA	1420.7318131427319	624	1129	Event study with fixed effects	NA	NA	cit_m22
0.05930915706400863	0.05343508400374819	5305.992054648372	NA	NA	NA	-2937.2378835337377	5890.475767067475	5930.708467580673	NA	NA	1129	Event study assets weighted	NA	NA	cit_m22
0.8782147057846758	0.7798496604569138	2558.886796357579	NA	NA	NA	-1736.4384451921514	4482.876890384303	7022.566110279882	NA	NA	1129	Event study assets weighted with fixed effects	0.016161535323370835	NA	cit_m22
