r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.013582703853585034	0.013040914785763746	2.0057705948659086	25.070095836758846	4.1931810015816935e-16	3	-11558.408106657478	23126.816213314956	23159.847725147396	21974.257839947382	5462	5466	Linear model	NA	NA	all
0.0012131270143075404	-0.3008508724658745	NA	2.548231804858545	0.07834089587903449	NA	NA	NA	NA	3527.533973328061	4196	5466	Linear model with fixed effect	NA	NA	all
0.005443098240812571	0.004896838499824252	1362.0625089022358	9.964304217194957	1.5100434002152334e-6	3	-10899.36942163665	21808.7388432733	21841.77035510574	10133180387.293825	5462	5466	Linear model assets weighted	NA	NA	all
0.8056062988724838	0.7465135822806309	687.4487601276135	NA	NA	NA	-6556.835730875068	15663.671461750137	24086.706979022354	NA	NA	5466	Linear model assets weighted with fixed effect	0.0016361149143657716	NA	all
0.013903890087754894	0.012639201049758353	2.0061787493877143	10.993919983508011	7.260428989440821e-14	7	-11557.518072670337	23133.036145340673	23192.492866639066	21967.10282639291	5458	5466	Event study	NA	NA	all
0.0029732819535971114	-0.3010389240982787	NA	1.2489238850152176	0.25405734765572924	NA	NA	NA	NA	3521.317425519334	4188	5466	Event study with fixed effects	NA	NA	all
0.005839236933966707	0.004564204808378158	1362.2901385804141	NA	NA	NA	-12559.109311430499	25134.218622860997	25187.0690417929	NA	NA	5466	Event study assets weighted	NA	NA	all
0.8056994951109955	0.7464536152773615	687.5300698179154	NA	NA	NA	-6557.2692025770575	15670.538405154115	24113.392829525794	NA	NA	5466	Event study assets weighted with fixed effects	0.002114750581139524	NA	all
0.12087181297116155	0.11847636831985686	1.8966843916083387	50.45902976941078	1.4718604953320666e-30	3	-2273.2420222579954	4556.484044515991	4581.5220475857495	3960.750261189134	1101	1105	Linear model	NA	NA	treat_a
0.003911012508171663	-0.28919371886398415	NA	1.674596201425123	0.1879992622046795	NA	NA	NA	NA	761.7044353837383	853	1105	Linear model with fixed effect	NA	NA	treat_a
0.023721456569831854	0.021061297050948613	1250.79001334093	8.917306049296577	7.698909115341272e-6	3	-2144.756058137402	4299.512116274804	4324.5501193445625	1722487698.8782177	1101	1105	Linear model assets weighted	NA	NA	treat_a
0.7365964974542726	0.6570784589499021	740.2936752026748	NA	NA	NA	-1358.2931732060229	3230.5863464120457	4517.539704197672	NA	NA	1105	Linear model assets weighted with fixed effect	0.0039957405087650555	NA	treat_a
