r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.03364470034565655	0.03354557342577147	0.38600221186027883	339.41032753378585	1.1344197665075236e-216	3	-13658.520714193955	27327.04142838791	27368.45960265121	4357.586955329813	29246	29250	Linear model	NA	NA	all
0.06779472170716894	-0.13784051182185109	NA	871.3557808014251	0	NA	NA	NA	NA	1342.5850950742201	23963	29250	Linear model with fixed effect	NA	NA	all
0.014981353775152246	0.01488031240406995	417.55002791426597	148.26950203339547	2.301177268300019e-95	3	-27055.09809358421	54120.19618716842	54161.61436143172	5098982362.87448	29246	29250	Linear model assets weighted	NA	NA	all
0.7720800044010541	0.721756669674295	221.90975768747657	NA	NA	NA	4156.530124604204	2268.939750791593	46097.651756215666	NA	NA	29250	Linear model assets weighted with fixed effect	7.837914420149028e-4	NA	all
0.03924681381072367	0.039016827068937165	0.384908050866122	170.6481578278678	1.3961824811421369e-248	7	-13573.490586601092	27164.981173202184	27239.533886876125	4332.325339269574	29242	29250	Event study	NA	NA	all
0.13591798252695256	-0.055042159426807125	NA	376.80627597777544	0	NA	NA	NA	NA	1244.4722901649025	23955	29250	Event study with fixed effects	NA	NA	all
0.017457850853233703	0.017222648232208204	417.0533245837139	NA	NA	NA	-14007.506196695766	28031.01239339153	28097.28147221281	NA	NA	29250	Event study assets weighted	NA	NA	all
0.7721811290481562	0.7218336816334594	221.87904556248242	NA	NA	NA	4140.419329577762	2309.1613408444755	46171.00788567919	NA	NA	29250	Event study assets weighted with fixed effects	0.001227128527045429	NA	all
0.04493465955226679	0.044554559257580895	0.3714229581294436	118.21790243384353	8.181207238701461e-75	3	-3229.9328800414614	6469.865760082923	6504.506973472015	1039.9048942175716	7538	7542	Linear model	NA	NA	treat_a
0.0883140351037048	-0.11192363921768744	NA	299.4702672144293	7.271921969501578e-125	NA	NA	NA	NA	388.609075796853	6183	7542	Linear model with fixed effect	NA	NA	treat_a
0.021303678764663075	0.020914173728353025	380.78485013442196	54.6942318550637	5.74919018172748e-35	3	-6216.543104188633	12443.086208377266	12477.727421766358	1092988155.5686984	7538	7542	Linear model assets weighted	NA	NA	treat_a
