r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.5821604961133616	0.5821176349182697	0.1853294678108747	13582.460658507265	0	3	7802.4368650457345	-15594.873730091469	-15553.455555828168	1004.5127023960085	29246	29250	Linear model	NA	NA	all
0.08248905587987282	-0.11990475335181738	NA	1077.1998190958686	0	NA	NA	NA	NA	461.534261781501	23963	29250	Linear model with fixed effect	NA	NA	all
0.5459107752338639	0.5458641956101786	244.51096151961957	11719.948167097338	0	3	-11402.129537176777	22814.259074353555	22855.677248616856	1748489958.9288168	29246	29250	Linear model assets weighted	NA	NA	all
0.7910058641637581	0.7448612429953572	183.27097044477313	NA	NA	NA	19234.38679203278	-27886.77358406556	15941.938421358514	NA	NA	29250	Linear model assets weighted with fixed effect	0.054178789959868356	NA	all
0.5921297535366219	0.5920321168590608	0.18311775029450267	6064.624158945463	0	7	8155.6056991474925	-16293.211398294985	-16218.658684621045	980.5459744491218	29242	29250	Event study	NA	NA	all
0.13158070199531882	-0.060337968997658864	NA	362.96011886653116	0	NA	NA	NA	NA	436.8397589041488	23955	29250	Event study with fixed effects	NA	NA	all
0.5528741613073958	0.5527671275589912	242.64554418169104	NA	NA	NA	8114.812278158282	-16213.624556316565	-16147.355477495285	NA	NA	29250	Event study assets weighted	NA	NA	all
0.7980450064163885	0.753413416517343	180.17319648585095	NA	NA	NA	19910.111025806636	-29230.222051613273	14631.62449322144	NA	NA	29250	Event study assets weighted with fixed effects	0.08603504284652475	NA	all
0.5673103460176548	0.567138142653109	0.26557117006169356	3294.4208001605148	0	3	-699.9041425578719	1409.8082851157437	1444.4494985048352	531.6404135215089	7538	7542	Linear model	NA	NA	treat_a
0.12302210402193867	-0.0695924815737603	NA	433.6743677669135	5.615686573802915e-177	NA	NA	NA	NA	240.26920609884817	6183	7542	Linear model with fixed effect	NA	NA	treat_a
0.4585496823385471	0.45833419401896847	349.2185848745516	2127.9560917038175	0	3	-5563.885017465844	11137.770034931687	11172.41124832078	919286387.724211	7538	7542	Linear model assets weighted	NA	NA	treat_a
0.7731929097324572	0.7231991798498884	249.64066118740976	NA	NA	NA	2385.6960748415386	-2045.3921496830772	7397.802620183269	NA	NA	7542	Linear model assets weighted with fixed effect	0.05311402069810689	NA	treat_a
0.5802659115024282	0.5798759276134605	0.261634524124884	1487.9227781392249	0	7	-585.2681996363584	1188.5363992727168	1250.8905833730817	515.7220708286868	7534	7542	Event study	NA	NA	treat_a
0.18228398877359656	0.0013932889622173539	NA	137.65214514863254	6.10052071133721e-261	NA	NA	NA	NA	224.0329861593311	6175	7542	Event study with fixed effects	NA	NA	treat_a
0.4676329727252361	0.4671383391718882	346.3688876589679	NA	NA	NA	-608.0087002160399	1232.0174004320797	1287.4433418546262	NA	NA	7542	Event study assets weighted	NA	NA	treat_a
0.7778742207378665	0.7287367609043321	247.13093341281757	NA	NA	NA	2534.418688678308	-2334.8373773566163	7136.0703632210025	NA	NA	7542	Event study assets weighted with fixed effects	0.0726578001740702	NA	treat_a
0.5007369977374916	0.5005754936392828	0.2988409698435859	3100.460008701524	0	3	-1956.5372408451901	3923.0744816903803	3958.7514881169386	828.2231508339281	9274	9278	Linear model	NA	NA	treat_b
0.10313717760233958	-0.09361151464025963	NA	437.451317862051	1.4783803525471298e-180	NA	NA	NA	NA	363.0617081852882	7608	9278	Linear model with fixed effect	NA	NA	treat_b
0.3902955990706257	0.3900983688352593	388.44127122582586	1978.883198843906	0	3	-7694.593607353054	15399.187214706108	15434.864221132666	1399322524.9303012	9274	9278	Linear model assets weighted	NA	NA	treat_b
0.7460210103142564	0.6901416244983372	276.8707576461045	NA	NA	NA	2012.0030645896895	-676.0061291793791	11268.655622432389	NA	NA	9278	Linear model assets weighted with fixed effect	0.03032410528493268	NA	treat_b
0.5153205279032381	0.5149545347743625	0.29450755281010826	1408.0060177258542	0	7	-1819.0130403844173	3656.0260807688346	3720.2446923366397	804.030656598582	9270	9278	Event study	NA	NA	treat_b
0.16377880416676435	-0.02074000444012203	NA	148.8504378829114	4.1675867125605775e-286	NA	NA	NA	NA	338.5131908671769	7600	9278	Event study with fixed effects	NA	NA	treat_b
0.40210727114933165	0.40165578796681223	384.74325640613955	NA	NA	NA	-1830.0539526399107	3676.1079052798214	3733.1911155623147	NA	NA	9278	Event study assets weighted	NA	NA	treat_b
0.7507297751095862	0.6957263320646883	274.3643337711448	NA	NA	NA	2169.2793802410542	-982.5587604821085	10990.644596270906	NA	NA	9278	Event study assets weighted with fixed effects	0.04830187471209635	NA	treat_b
0.5726628494109723	0.5725733359734798	0.24386953621429025	6397.50707215526	0	3	-109.9810324895888	229.9620649791776	267.81122171504956	851.7630066304883	14322	14326	Linear model	NA	NA	treat_c
0.09949284139463595	-0.09972421543238186	NA	647.9965308474364	1.1674807582669416e-267	NA	NA	NA	NA	377.8889945987363	11730	14326	Linear model with fixed effect	NA	NA	treat_c
0.4975536462543927	0.49744839984598344	318.7648624633331	4727.51188163884	0	3	-10059.743522913574	20129.487045827147	20167.33620256302	1455273279.6660354	14322	14326	Linear model assets weighted	NA	NA	treat_c
0.7847655259265672	0.7370600510743711	230.57297333416187	NA	NA	NA	5829.472807706774	-6458.945615413548	13222.615887239885	NA	NA	14326	Linear model assets weighted with fixed effect	0.04345820034179093	NA	treat_c
0.5848006249628932	0.5845976360241267	0.24041481615500027	2880.948235486828	0	7	96.41690772257128	-174.83381544514256	-106.70533332057299	827.570145832732	14318	14326	Event study	NA	NA	treat_c
0.15815864133202395	-0.028781561416034496	NA	220.22386695603754	0	NA	NA	NA	NA	353.27046720131324	11722	14326	Event study with fixed effects	NA	NA	treat_c
0.50692472729282545	0.5066836652095073	315.82235015514306	NA	NA	NA	76.3793828884991	-136.7587657769982	-76.20011499960302	NA	NA	14326	Event study assets weighted	NA	NA	treat_c
0.7911386514413843	0.7447586744495676	227.17242215553284	NA	NA	NA	6153.613721963415	-7099.227443926829	12612.613384115299	NA	NA	14326	Event study assets weighted with fixed effects	0.07178154852118579	NA	treat_c
0.5695783000231374	0.5694669744692162	0.1916858679230473	5116.330258072882	0	3	2705.021512367665	-5400.04302473533	-5363.247929913592	426.187531280417	11599	11603	Linear model	NA	NA	cit_more_stat
0.06680632069554686	-0.5024858544671478	NA	257.93485190067844	6.432121381978526e-109	NA	NA	NA	NA	142.52134420026525	7206	11603	Linear model with fixed effect	NA	NA	cit_more_stat
0.5073611275073858	0.5072337099181559	267.01740866263464	3981.87668259735	0	3	-4336.941591618699	8683.883183237398	8720.678278059137	826988941.4388089	11599	11603	Linear model assets weighted	NA	NA	cit_more_stat
0.8393941236395491	0.7412374145904803	193.4950336177112	NA	NA	NA	9072.264835718142	-9340.529671436285	23053.87180962161	NA	NA	11603	Linear model assets weighted with fixed effect	0.04267314968825642	NA	cit_more_stat
0.5759008572611715	0.5756448250059605	0.1903056189494117	2249.329315115057	0	7	2790.873099252231	-5563.746198504462	-5497.515027825334	419.9271706601182	11595	11603	Event study	NA	NA	cit_more_stat
0.1062719436913797	-0.44054361062692604	NA	85.59040362345021	2.2063237368330284e-167	NA	NA	NA	NA	136.4939848601731	7198	11603	Event study with fixed effects	NA	NA	cit_more_stat
0.512764981761133	0.5124708338415409	265.5946868532604	NA	NA	NA	2754.471565248332	-5492.943130496664	-5434.070978781883	NA	NA	11603	Event study assets weighted	NA	NA	cit_more_stat
0.8445826699098289	0.7494926557785266	190.38350285306214	NA	NA	NA	9283.99096306997	-9757.981926139939	22658.496611810995	NA	NA	11603	Event study assets weighted with fixed effects	0.07360062738201101	NA	cit_more_stat
0.6094496705299595	0.6093110136082541	0.168448987832776	4395.3786297456	0	3	3063.9021887554163	-6117.804377510833	-6082.592402605199	239.76926969094276	8450	8454	Linear model	NA	NA	cit_less_stat
0.13216147250468271	-0.6653437168939653	NA	335.4145200624873	2.580690333022109e-136	NA	NA	NA	NA	66.49409788634708	4405	8454	Linear model with fixed effect	NA	NA	cit_less_stat
0.5850650864097946	0.5849177722392892	218.4840211019016	3971.5465552470723	0	3	-1859.1987057819424	3728.397411563885	3763.6093864695185	403363010.1794347	8450	8454	Linear model assets weighted	NA	NA	cit_less_stat
0.8829440180263844	0.7751194964493244	160.81572510363875	NA	NA	NA	8502.282857583352	-8896.565715166704	19653.30353832108	NA	NA	8454	Linear model assets weighted with fixed effect	0.12443299191618828	NA	cit_less_stat
0.6261750268244844	0.6258652026695912	0.16484161957881718	2021.065875383992	0	7	3248.914360224113	-6479.828720448226	-6416.447165618085	229.5011271201738	8446	8454	Event study	NA	NA	cit_less_stat
0.19960935609104852	-0.5387086906896443	NA	109.6567464164646	4.014388067041649e-204	NA	NA	NA	NA	61.32621695996816	4397	8454	Event study with fixed effects	NA	NA	cit_less_stat
0.5967839860316035	0.5964498027379996	215.42762457488894	NA	NA	NA	3234.6371687658566	-6453.274337531713	-6396.935177682699	NA	NA	8454	Event study assets weighted	NA	NA	cit_less_stat
0.888156577282757	0.7849869337664646	157.24796616517918	NA	NA	NA	8777.305072431176	-9440.610144862352	19130.386293568816	NA	NA	8454	Event study assets weighted with fixed effects	0.16342241249608125	NA	cit_less_stat
