r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.007551271795226045	0.007172185191633762	0.46519284959240964	19.91964823781079	7.383407677311456e-13	3	-5134.2657107184805	10278.531421436961	10313.377858437552	1699.640057947712	7854	7858	Linear model	NA	NA	all
0.013920314418849363	-0.19525271360862395	NA	45.75263002696155	1.85707992688779e-20	NA	NA	NA	NA	875.2443289218484	6482	7858	Linear model with fixed effect	NA	NA	all
0.005322895092393512	0.004942957313590068	480.6117243687357	14.00991264716065	4.171357272411357e-9	3	-8295.737151187182	16601.474302374365	16636.320739374958	1814176842.8838158	7854	7858	Linear model assets weighted	NA	NA	all
0.4970281823242495	0.38995838661957827	376.3137634256281	NA	NA	NA	-2502.973721732458	7765.947443464916	17383.564055628318	NA	NA	7858	Linear model assets weighted with fixed effect	0.0017951471252516393	NA	all
0.006745793420102331	0.005860089032069249	0.4655001416578109	7.6163034882139105	3.4614637407647974e-9	7	-5137.453221452337	10292.906442904674	10355.630029505739	1701.0194977850197	7850	7858	Event study	NA	NA	all
0.02442560823311957	-0.18398022800623703	NA	16.20905479230698	2.955699325451044e-29	NA	NA	NA	NA	865.9198301322813	6474	7858	Event study with fixed effects	NA	NA	all
0.005996799744778514	0.005110427464296241	480.571278695101	NA	NA	NA	-5291.41580752798	10598.83161505596	10654.585914256908	NA	NA	7858	Event study assets weighted	NA	NA	all
0.49789349228707336	0.39063162942532215	376.10605589677164	NA	NA	NA	-2506.513972599766	7781.027945199532	17426.521706963405	NA	NA	7858	Event study assets weighted with fixed effects	0.003512453291873774	NA	all
0.004050923091214495	0.002122035272798528	0.46230158721788955	2.100134104502326	0.09833763993021702	3	-1003.4107357671336	2016.8214715342672	2043.5611906500105	331.05655143593475	1549	1553	Linear model	NA	NA	treat_a
0.0066939011557600675	-0.2062684392850238	NA	4.306228305159476	0.013680507019598956	NA	NA	NA	NA	163.8292859027108	1278	1553	Linear model with fixed effect	NA	NA	treat_a
0.0032622884191310935	0.001331873225624003	482.68264929243014	1.68994132977382	0.1672289453003606	3	-1674.4826061432195	3358.965212286439	3385.7049314021824	360889954.34840864	1549	1553	Linear model assets weighted	NA	NA	treat_a
0.5105349503408754	0.4037286051248341	372.969295986751	NA	NA	NA	-446.11508737133033	1450.2301747426607	2942.3065014011445	NA	NA	1553	Linear model assets weighted with fixed effect	0.0013825163479193048	NA	treat_a
0.007080180979992549	0.00258151513329985	0.4621951399696724	1.573840160899677	0.13881401931028073	7	-1001.0453505229007	2020.0907010458013	2068.2221954541396	330.0496167508989	1545	1553	Event study	NA	NA	treat_a
0.02741398347178674	-0.18854606114313932	NA	3.5797100120202616	1.0614678243469673e-4	NA	NA	NA	NA	160.41185365938637	1270	1553	Event study with fixed effects	NA	NA	treat_a
0.013655946187884016	0.009187073452165628	480.7805889207191	NA	NA	NA	-1020.8478769549212	2057.695753909842	2100.479304495032	NA	NA	1553	Event study assets weighted	NA	NA	treat_a
0.5129151872159035	0.4047593468969152	372.6467907331931	NA	NA	NA	-445.09865412156046	1456.197308243121	2969.6654101941995	NA	NA	1553	Event study assets weighted with fixed effects	0.0062387285744957	NA	treat_a
0.007481733325182825	0.006032096129455211	0.45626182318945174	5.161107446217052	0.0014844209826065035	3	-1303.2847033021521	2616.5694066043043	2644.716856186274	427.59114457053386	2054	2058	Linear model	NA	NA	treat_b
0.011402604225733288	-0.19902408202103006	NA	9.780936531649063	5.977283353658995e-5	NA	NA	NA	NA	214.75630760869348	1696	2058	Linear model with fixed effect	NA	NA	treat_b
0.0036354993365679193	0.0021802444670496746	474.8264694365229	2.498187370966607	0.058003533515071926	3	-2168.4446014009736	4346.889202801947	4375.0366523839175	463095201.6632943	2054	2058	Linear model assets weighted	NA	NA	treat_b
0.5064774958952638	0.40001430795304826	368.1962141855943	NA	NA	NA	-582.6923479388206	1897.3846958776412	3957.7780052778435	NA	NA	2058	Linear model assets weighted with fixed effect	0.0016295077335921615	NA	treat_b
0.0112685392318943	0.007892383024393435	0.45583465879245366	3.337683015631458	0.0015356795938844653	7	-1299.3511981321294	2616.702396264259	2667.367805511805	425.9597341206869	2050	2058	Event study	NA	NA	treat_b
0.031123319462432138	-0.18067495963612368	NA	5.42237875138428	6.019114504898942e-8	NA	NA	NA	NA	210.47231090211145	1688	2058	Event study with fixed effects	NA	NA	treat_b
0.011238129467468383	0.007861869421747603	473.4726992790053	NA	NA	NA	-1330.2239927456985	2676.447985491397	2721.483904822549	NA	NA	2058	Event study assets weighted	NA	NA	treat_b
0.5077474805584189	0.4001401466283576	368.15760013682694	NA	NA	NA	-583.6080756118076	1907.2161512236153	3990.1274202893933	NA	NA	2058	Event study assets weighted with fixed effects	0.004198621001537117	NA	treat_b
0.010097902000336244	0.009177918637882976	0.4631729586544268	10.976178931550754	3.606896461259946e-7	3	-2096.484000888899	4202.968001777798	4233.372283876003	692.5002241214287	3228	3232	Linear model	NA	NA	treat_c
0.01360433547019527	-0.19678722947645477	NA	18.364002732311743	1.19981020933723e-8	NA	NA	NA	NA	363.15800382438863	2663	3232	Linear model with fixed effect	NA	NA	treat_c
0.003309811184288746	0.0023835191872481065	465.0397427114371	3.5731833966644855	0.013442439146930813	3	-3475.3786537200795	6960.757307440159	6991.161589538364	698093614.3080143	3228	3232	Linear model assets weighted	NA	NA	treat_c
0.48306375669774226	0.3718612252314424	369.00823958119923	NA	NA	NA	-1035.3072915582634	3216.614583116527	6700.945311570812	NA	NA	3232	Linear model assets weighted with fixed effect	1.8868891305168223e-4	NA	treat_c
0.010871629144402017	0.008724017917358218	0.4632790374710712	5.062196084422095	9.953276160148466e-6	7	-2095.2204092987813	4208.440818597563	4263.168526374331	691.9589521898339	3224	3232	Event study	NA	NA	treat_c
0.03147363202609196	-0.17864734272078975	NA	8.627797424254227	5.141419085902372e-14	NA	NA	NA	NA	356.5791244757259	2655	3232	Event study with fixed effects	NA	NA	treat_c
0.007235663149151361	0.005080157454996237	464.4107973284718	NA	NA	NA	-2152.6156208716993	4321.231241743399	4369.878093100527	NA	NA	3232	Event study assets weighted	NA	NA	treat_c
0.4835900942150584	0.3715554027905287	369.0980583222613	NA	NA	NA	-1036.2296656288413	3226.4593312576826	6735.113485390531	NA	NA	3232	Event study assets weighted with fixed effects	0.001206683317739321	NA	treat_c
0.0011905629735631652	3.3346105391807157e-4	0.22825344253710425	1.3890564777361891	0.24416074933197618	3	206.26164810241997	-402.52329620483994	-371.72070496745243	182.14032056901686	3496	3500	Linear model	NA	NA	cit_m22
0.002491977457375579	-0.5194952420011505	NA	2.8691860567703555	0.056948489654538956	NA	NA	NA	NA	93.16724930548187	2297	3500	Linear model with fixed effect	NA	NA	cit_m22
0.0019575561477576013	0.001101112403033233	293.2723928679955	2.2856797773534883	0.07679134311851032	3	-1476.6449626534304	2963.289925306861	2994.092516544248	300686402.67914563	3496	3500	Linear model assets weighted	NA	NA	cit_m22
0.4870131248583516	0.2168668952353281	259.6738454860828	NA	NA	NA	1378.289206985607	-340.5784139712141	7101.327628981611	NA	NA	3500	Linear model assets weighted with fixed effect	1.1481192430662368e-5	NA	cit_m22
0.0011072038424961555	-8.951585782090987e-4	0.22839366456933174	0.5529487724336242	0.7944799382814274	7	206.11560183283183	-394.23120366566366	-338.7865394383661	182.1555217258062	3492	3500	Event study	NA	NA	cit_m22
0.005181206491766972	-0.5206950452098329	NA	1.1921549670197729	0.2910317946589878	NA	NA	NA	NA	92.91607531366903	2289	3500	Event study with fixed effects	NA	NA	cit_m22
0.0019437647635029975	-5.6920702320439887e-5	293.4423403822658	NA	NA	NA	205.09234817817924	-394.1846963563585	-344.90055037653843	NA	NA	3500	Event study assets weighted	NA	NA	cit_m22
0.4873878274590049	0.2164132845255824	259.74903946314055	NA	NA	NA	1380.2852065408115	-338.570413081623	7121.817184613636	NA	NA	3500	Event study assets weighted with fixed effects	7.419059201920764e-4	NA	cit_m22
