r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.013423870689196036	0.013040237716035685	0.20097159373493234	34.991441373272536	1.8727071209527087e-22	3	1435.057356194383	-2860.114712388766	-2825.3575118840167	311.60562118268734	7715	7719	Linear model	NA	NA	all
0.024086240237020783	-0.1874668765332923	NA	78.27485794469564	2.6205119710660534e-34	NA	NA	NA	NA	151.14981385630995	6343	7719	Linear model with fixed effect	NA	NA	all
0.006452012910737467	0.006065668910573252	234.7291302884638	16.70017628847133	8.220512786795057e-11	3	-2566.6763688447318	5143.3527376894635	5178.109938194213	425079253.93512505	7715	7719	Linear model assets weighted	NA	NA	all
0.5467238696570234	0.44811718346945995	174.90876762263414	NA	NA	NA	4220.93032669235	-5681.8606533847	3911.1266859260995	NA	NA	7719	Linear model assets weighted with fixed effect	0.003716034186933559	NA	all
0.01874829331640058	0.017857518845283304	0.20048052968822108	21.04718301242445	2.8231507493772936e-28	7	1455.9429833838942	-2893.8859667677884	-2831.32300585924	309.9239263079614	7711	7719	Event study	NA	NA	all
0.053283485729377196	-0.15339511557074448	NA	35.6549058780967	1.6477552655555957e-68	NA	NA	NA	NA	146.62773577601055	6335	7719	Event study with fixed effects	NA	NA	all
0.011086688398294409	0.010188958767739176	234.24174290490978	NA	NA	NA	1379.4756385959035	-2742.951277191807	-2687.339756384208	NA	NA	7719	Event study assets weighted	NA	NA	all
0.5485706007752831	0.450018610384157	174.6071970872343	NA	NA	NA	4216.012890662089	-5664.025781324179	3956.7673183904208	NA	NA	7719	Event study assets weighted with fixed effects	0.007775080051312	NA	all
0.01353541124899838	0.011591000101657367	0.21306081577336844	6.961187847286396	1.1873241563766009e-4	3	196.16949357885147	-382.33898715770295	-355.68696109848094	69.09105487381616	1522	1526	Linear model	NA	NA	treat_a
0.016881823365430336	-0.19844541915884806	NA	10.74090660313525	2.3707264857499168e-5	NA	NA	NA	NA	36.443624114165914	1251	1526	Linear model with fixed effect	NA	NA	treat_a
0.023599567685154654	0.021674993902668138	242.336468914827	12.262230681883212	6.281123401344484e-8	3	-585.2885808150822	1180.5771616301645	1207.2291876893864	89382439.46081471	1522	1526	Linear model assets weighted	NA	NA	treat_a
0.49085486284224455	0.3773485692336993	193.3301970279383	NA	NA	NA	678.6785212691618	-799.3570425383236	687.8260115662647	NA	NA	1526	Linear model assets weighted with fixed effect	0.006106502340190945	NA	treat_a
0.024734833379792886	0.020237563177986972	0.21212684488100866	5.499966039367649	2.9231953807588386e-6	7	204.88144985031974	-391.7628997006395	-343.78925279403984	68.30665784850235	1518	1526	Event study	NA	NA	treat_a
0.042717346016982294	-0.1744618240740965	NA	5.546706699236941	4.0191227841099576e-8	NA	NA	NA	NA	35.485916181708454	1243	1526	Event study with fixed effects	NA	NA	treat_a
0.038094222479702844	0.03365855683896368	240.84769873128775	NA	NA	NA	181.1017202086457	-346.2034404172914	-303.5601987225362	NA	NA	1526	Event study assets weighted	NA	NA	treat_a
0.5002247883326838	0.3868405488393747	191.85093131163077	NA	NA	NA	670.688609091533	-775.3772181830659	733.1274567688997	NA	NA	1526	Event study assets weighted with fixed effects	0.02439737332933878	NA	treat_a
0.017126683454767453	0.015665523915800228	0.21321473595949028	11.721295996790234	1.2979936898566465e-7	3	257.8192292161345	-505.638458432269	-477.5792464343669	91.73933668589528	2018	2022	Linear model	NA	NA	treat_b
0.024330324988662028	-0.18784844168549042	NA	20.69775279256714	1.3222989328034258e-9	NA	NA	NA	NA	46.405345410256416	1660	2022	Linear model with fixed effect	NA	NA	treat_b
0.02682043986823237	0.02537369126545952	238.2607747167209	18.538424586573594	7.296452220505181e-12	3	-730.1216926649995	1470.243385329999	1498.3025973279011	114558221.07905906	2018	2022	Linear model assets weighted	NA	NA	treat_b
0.5295940023076884	0.4259115209322696	182.86176196518156	NA	NA	NA	944.0158326139754	-1156.0316652279507	897.9026530184819	NA	NA	2022	Linear model assets weighted with fixed effect	0.006321975574454797	NA	treat_b
0.027527042044148686	0.02414704665899925	0.2122941657464085	8.144106398811454	8.285130256865682e-10	7	268.57421602394993	-519.1484320478999	-468.6418504516761	90.76858899926661	2014	2022	Event study	NA	NA	treat_b
0.04825970127886398	-0.16432635818124441	NA	8.37676271770886	2.1180431258840077e-13	NA	NA	NA	NA	45.26720306491205	1652	2022	Event study with fixed effects	NA	NA	treat_b
0.042386263731104656	0.039057914101570224	236.5822139165854	NA	NA	NA	240.76356360911586	-465.5271272182317	-420.6323880215884	NA	NA	2022	Event study assets weighted	NA	NA	treat_b
0.53709184114845	0.4336940744316087	181.6180620897624	NA	NA	NA	934.1804927174512	-1128.3609854349024	948.0207024098518	NA	NA	2022	Event study assets weighted with fixed effects	0.022160289123386967	NA	treat_b
0.015567694516304362	0.014633993309712157	0.21621465692618286	16.673100994613872	9.551440212640595e-11	3	358.43143586266945	-706.8628717253389	-676.5601714926457	147.8663844018831	3163	3167	Linear model	NA	NA	treat_c
0.02333951129156011	-0.19018749316817574	NA	31.04254294942425	4.752918808842095e-14	NA	NA	NA	NA	75.88282027790163	2598	3167	Linear model with fixed effect	NA	NA	treat_c
0.021492828165051842	0.02056474675009612	243.7201931428592	23.158343458561777	7.967898362889191e-15	3	-1334.5346884724422	2679.0693769448844	2709.3720771775775	187880721.44170934	3163	3167	Linear model assets weighted	NA	NA	treat_c
0.5446924540072666	0.4442931030790308	183.58049697126077	NA	NA	NA	1394.5030191752926	-1643.0060383505852	1829.6834083160547	NA	NA	3167	Linear model assets weighted with fixed effect	0.009327073638828232	NA	treat_c
0.025223106405788117	0.02306310695812752	0.21528788849164715	11.677367062805247	9.614385180809657e-15	7	374.03923161534215	-730.0784632306843	-675.5336028118365	146.4160959076352	3159	3167	Event study	NA	NA	treat_c
0.052663796130428084	-0.15801792334017928	NA	14.398186348274432	3.593877345760678e-25	NA	NA	NA	NA	73.60443442945963	2590	3167	Event study with fixed effects	NA	NA	treat_c
0.030123278864194747	0.02797413766509682	242.79657598948788	NA	NA	NA	324.72291040532355	-633.4458208106471	-584.961500438338	NA	NA	3167	Event study assets weighted	NA	NA	treat_c
0.5489006293908487	0.44857891608163214	182.8712070837644	NA	NA	NA	1391.960525519226	-1629.9210510384519	1867.0105558143432	NA	NA	3167	Event study assets weighted with fixed effects	0.018483358129577687	NA	treat_c
0.007026631099869896	0.0061669138973589055	0.20146054567603694	8.17318890368548	2.0247971042597267e-5	3	637.6023884781223	-1265.2047769562446	-1234.4466687213958	140.63170782305994	3465	3469	Linear model	NA	NA	cit_m22
0.01104040199220728	-0.5122186445727626	NA	12.65958274168494	3.407810037113956e-6	NA	NA	NA	NA	53.67056777523742	2268	3469	Linear model with fixed effect	NA	NA	cit_m22
0.0064725335469900565	0.005612336606338086	254.43005245375593	7.524478687501983	5.124482521763788e-5	3	-966.5333226215735	1943.066645243147	1973.8247534779957	224305567.76496676	3465	3469	Linear model assets weighted	NA	NA	cit_m22
0.6190824035045436	0.4162517787687835	194.94106246360246	NA	NA	NA	2302.7255252513655	-2193.451050502731	5225.404655742787	NA	NA	3469	Linear model assets weighted with fixed effect	0.006919229767342827	NA	cit_m22
0.010069806158648841	0.00806763587350312	0.20126780518844703	5.02944541398774	1.0928273203480212e-5	7	642.9262896327141	-1267.8525792654282	-1212.4879844427005	140.20071247200173	3461	3469	Event study	NA	NA	cit_m22
0.0395158205258629	-0.4738757231930564	NA	9.297993272241651	2.985998001560305e-15	NA	NA	NA	NA	52.12521457434066	2260	3469	Event study with fixed effects	NA	NA	cit_m22
0.011054190761500715	0.009054011430478015	253.9893669224658	NA	NA	NA	612.2224153827851	-1208.4448307655703	-1159.2318575898123	NA	NA	3469	Event study assets weighted	NA	NA	cit_m22
0.6221623539475569	0.4202031165885519	194.2801731622146	NA	NA	NA	2301.757865464458	-2185.515730928916	5251.79484025751	NA	NA	3469	Event study assets weighted with fixed effects	0.014948891789696828	NA	cit_m22
