term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.003890428574861833	0.0010005211900321596	3.8884019785096045	1.0175312871326719e-4	0.0019291353807497189	0.005851721768973948	Linear model	all
treatment	0.23935378656159667	0.01994819943849367	11.998766470106574	7.066179372270306e-33	0.20024989932433468	0.27845767379885866	Linear model	all
postPost	0.0011334983964531573	0.001480975582453908	0.7653727785133384	0.44407301033091295	-0.0017696158598473127	0.004036612652753627	Linear model	all
treatment:postPost	0.031960442654128944	0.013544998533465875	2.3595752022537098	0.018320640273700336	0.005408567788698769	0.05851231751955912	Linear model	all
postPost	0.0011849870201467157	0.001488510354222635	0.796089202057024	0.4260099819850657	-0.001732996469527673	0.004102970509821105	Linear model with fixed effect	all
treatment:postPost	0.029565887608999402	0.012410472971891004	2.3823336689878305	0.01723259545277772	0.005237165186413036	0.05389461003158577	Linear model with fixed effect	all
(Intercept)	0.005664577246890133	0.0015874255786354752	3.5684049212305813	3.6134188568848603e-4	0.002552792094756405	0.008776362399023862	Linear model assets weighted	all
treatment	0.2855158099886503	0.027179023959114035	10.50500600824215	1.219597115367424e-25	0.2322375433765188	0.33879407660078176	Linear model assets weighted	all
postPost	0.0013178146089596657	0.002757606650159334	0.4778834606028828	0.6327466931987046	-0.004087843171083917	0.006723472389003249	Linear model assets weighted	all
treatment:postPost	0.04555804521862382	0.019700840820785912	2.3124924277626038	0.020776749914095737	0.006939048034914443	0.0841770424023332	Linear model assets weighted	all
treatment:postPost	0.045368455181953884	0.018288796422266197	2.4806692651856967	0.013113598565963919	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	-0.4886614302794744	1.0464909950662522	-0.46695235084037945	0.6405471624660726	-2.5400680909594606	1.562745230400512	Event study	all
anio_fiscal	2.447827112295821e-4	5.195801102866106e-4	0.471116400307462	0.6375709414670919	-7.737354642959664e-4	0.0012633008867551304	Event study	all
treatment	0.22997253059706846	0.019974413242489233	11.513356002261673	2.001501492882165e-30	0.19081725399937274	0.2691278071947642	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.028473170454060337	0.018037499885718195	1.5785541585286407	0.11447937487486212	-0.00688522974434197	0.06383157065246264	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	4.8148521836224173e-4	0.015266907496627445	0.03153783557466401	0.9748414349419479	-0.02944580118373815	0.030408771620462634	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.030375498335352084	0.010890730749783443	2.7891148016817957	0.005298196036662129	0.009026707275412105	0.05172428939529206	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	0.05669130597100538	0.018307725595330074	3.096578309293983	0.0019647081247347277	0.02080318996692651	0.09257942197508424	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	0.03769691050154026	0.019379202209628767	1.9452250971822844	0.05178419008689612	-2.9159076499948866e-4	0.07568541176808001	Event study	all
anio_fiscal2013	-3.235700572281349e-5	4.4128314501612416e-4	-0.073324816703867507	0.9415499589031228	-8.974213555414963e-4	8.327073440958693e-4	Event study with fixed effects	all
anio_fiscal2014	-0.005162824880309919	0.0015466038549770548	-3.3381688941842924	8.481886408428584e-4	-0.008194692000872405	-0.0021309577597474327	Event study with fixed effects	all
anio_fiscal2015	-0.002903801698171644	0.0016256742830159112	-1.7862137136010923	0.0741124719211323	-0.006090673625044642	2.83070228701355e-4	Event study with fixed effects	all
anio_fiscal2016	-9.244966597928686e-4	0.002132378479301246	-0.43355186181386274	0.664628660019648	-0.005104680343664778	0.0032556870240790414	Event study with fixed effects	all
