term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	694853.3730289309	101731.48073004403	6.830268939786719	1.2847310711371714e-11	495282.1267386804	894424.6193191813	Linear model	all
treatment	-244103.71807843845	115982.93016327704	-2.1046521047088316	0.03550840085327714	-471632.6772066662	-16574.75895021067	Linear model	all
postPost	134229.3741999943	127658.51783084616	1.051472134259422	0.2932323741900915	-116204.11325384653	384662.8616538351	Linear model	all
treatment:postPost	461064.8005211548	156972.31567314736	2.937236407222266	0.0033684009064412204	153125.11019966233	769004.4908426472	Linear model	all
postPost	137182.14255714967	142185.92654877086	0.9648081627128908	0.33490626255776457	-141881.4081243061	416245.6932386054	Linear model with fixed effect	all
treatment:postPost	103763.94449037309	165252.762867137	0.6279104971685052	0.5302256666971974	-220572.11242455465	428100.0014053008	Linear model with fixed effect	all
(Intercept)	950036.128000621	147838.32984362287	6.426182770094393	1.8172799318797162e-10	660014.9907417042	1240057.2652595378	Linear model assets weighted	all
treatment	-320762.14585498814	170401.52813780753	-1.8823900780724256	0.06000073071237194	-655046.5295696761	13522.237859699933	Linear model assets weighted	all
postPost	128982.26837283393	182072.88959016232	0.7084100695230744	0.4788144988025854	-228198.35290996157	486162.8896556294	Linear model assets weighted	all
treatment:postPost	715651.4139383738	224656.26687870568	3.1855395083403644	0.001478320708080713	274933.05570595054	1156369.772170797	Linear model assets weighted	all
treatment	-1791755.8415357885	4386481099040.6133	-4.084722585326246e-7	0.9999996740862914	-8597346764741.115	8597343181229.432	Linear model assets weighted with fixed effect	all
treatment:postPost	182445.27253116	250072.88928992228	0.7295683792401898	0.46565405643207586	-307688.58398695977	672579.1290492798	Linear model assets weighted with fixed effect	all
(Intercept)	-30385813.545237355	72767400.1724655	-0.41757453850515686	0.6763256659593182	-173137303.6457703	112365676.55529559	Event study	all
anio_fiscal	15463.346315389359	36118.31928697799	0.42813028459395885	0.6686256395823996	-55391.78779580413	86318.48042658284	Event study	all
treatment	-481654.919544338	88816.28950644088	-5.4230470809007265	6.952775976689938e-8	-655890.3277380507	-307419.5113506253	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	299150.675931607	107763.1368917675	2.776001929417298	0.005580394697087583	87746.2787324827	510555.07313073135	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	264276.5781412522	83108.13483783515	3.1799122752173683	0.0015072096480894925	101239.14572703032	427314.0105554741	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	461695.0255004815	88828.27396054698	5.197613382711264	2.334489303689206e-7	287436.1067968752	635953.9442040878	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	965316.038525615	131587.58998211473	7.335920041219843	3.8174646465590727e-13	707174.0064595491	1223458.070591681	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	798094.6727305558	153377.46307308614	5.203467685146509	2.2635231419945105e-7	497206.3443083549	1098983.0011527566	Event study	all
anio_fiscal2013	-7313.877835580739	48412.320001151114	-0.1510747230334517	0.8799517529382637	-102332.3184132076	87704.56274204611	Event study with fixed effects	all
anio_fiscal2014	-277109.6896362742	145003.68362787948	-1.9110527588210526	0.05632580387500552	-561707.1618500634	7487.7825775149395	Event study with fixed effects	all
anio_fiscal2015	-60464.24730794757	191566.49316993335	-0.31563060067248505	0.7523585190689857	-436450.1419624254	315521.6473465303	Event study with fixed effects	all
anio_fiscal2016	-19822.521693844585	207529.03559205713	-0.0955168593025701	0.9239262703169174	-427137.95991426497	387492.9165265758	Event study with fixed effects	all
anio_fiscal2017	212969.3405180351	199350.3007210197	1.0683171269256049	0.2856734772221391	-178293.76570661733	604232.4467426876	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-104043.47017226099	159596.48982816006	-0.6519157801295389	0.5146274893866809	-417282.1165493461	209195.17620482406	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-210764.45230579813	147508.39281757837	-1.428830239960974	0.15341154472835355	-500277.89552242245	78748.99091082619	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-76178.41471267572	126302.82910479525	-0.6031410005033965	0.546571909614201	-324071.8819498334	171715.05252448196	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	238941.2638720307	199108.54901192064	1.2000552716484578	0.23044417856347543	-151847.35836992846	629729.8861139899	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-66086.98138652623	199666.02582003642	-0.33098761351664274	0.7407334511542504	-457969.758524679	325795.7957516266	Event study with fixed effects	all
(Intercept)	-16917741.257021785	102342131.28656265	-0.16530573522698422	0.8687033448658112	-217504632.6797544	183669150.16571084	Event study assets weighted	all
anio_fiscal	8903.919815637695	50795.06377826806	0.17529104510047117	0.8608509478080992	-90652.57578218271	108460.4154134581	Event study assets weighted	all
treatment	-616668.9475934161	127336.32331372655	-4.842836133049718	1.2799884678048704e-6	-866243.5552120681	-367094.33997476404	Event study assets weighted	all
anio_fiscal::2012:treatment	406328.03799671493	161559.0923629285	2.515042836982113	0.011901792172321825	89678.03559039504	722978.0404030348	Event study assets weighted	all
anio_fiscal::2013:treatment	303515.9103160526	117254.42204330918	2.5885242110864333	0.009638817087516335	73701.46608310725	533330.354548998	Event study assets weighted	all
anio_fiscal::2015:treatment	593413.6529123392	126045.7146667745	4.707924061370429	2.502522883213733e-6	346368.59175984917	840458.7140648293	Event study assets weighted	all
anio_fiscal::2016:treatment	1410689.4096083217	182342.5766917856	7.736478419918436	1.0220832247905441e-14	1053304.5264441893	1768074.2927724542	Event study assets weighted	all
anio_fiscal::2017:treatment	1219744.8945961813	221133.75352306542	5.5158693558238525	3.4706001328065625e-8	786330.701924816	1653159.0872675467	Event study assets weighted	all
anio_fiscal::2012:treatment	-150182.1628567815	234332.03970729842	-0.6408947024246978	0.5215910979741278	-609464.5211068962	309100.19539333315	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-320489.9839571853	213986.2185439657	-1.4977131991859434	0.13420778102938397	-739895.265491275	98915.29757690441	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	-75289.81740416831	190328.96657016384	-0.39557729315160806	0.6924168909837476	-448327.7370964173	297748.10228808067	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	336999.83188470884	295888.7780447244	1.138940902428447	0.2547278040675745	-242931.51651251665	916931.1802819343	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	-118896.6538247721	288901.21211384615	-0.41154778463829694	0.6806709101331996	-685132.6246578773	447339.31700833305	Event study assets weighted with fixed effects	all
(Intercept)	596452.9116666224	235629.5611585241	2.5313161418882744	0.011611152972328663	133718.2722796012	1059187.5510536437	Linear model	treat_a
treatment	-209391.95510257958	241705.0484633316	-0.8663118806736296	0.3866564465469775	-684057.7732995428	265273.8630943836	Linear model	treat_a
postPost	269736.085637368	379701.02027158655	0.7103907317510906	0.4777307213820684	-475929.3301380774	1015401.5014128134	Linear model	treat_a
treatment:postPost	358793.16260638303	393353.6152584202	0.91213897289508306	0.36205238889840885	-413683.5267073571	1131269.8519201232	Linear model	treat_a
postPost	-47697.982107236494	403074.50160501845	-0.11833539933016352	0.905857426206996	-839949.8289941762	744553.8647797032	Linear model with fixed effect	treat_a
treatment:postPost	340634.296430304	416216.5246088536	0.8184064694462113	0.4135805429262722	-477448.4873061758	1158717.0801667839	Linear model with fixed effect	treat_a
(Intercept)	799412.3246074362	355133.2485241338	2.2510207870697596	0.02473596883019456	101993.65233991551	1496830.9968749569	Linear model assets weighted	treat_a
treatment	-321746.7747442895	363159.8877564664	-0.8859645175351846	0.3759823724778565	-1034928.3419236431	391434.79243506416	Linear model assets weighted	treat_a
postPost	458865.57495358656	529882.6520475122	0.86597584046296	0.3868405597313095	-581729.9119076079	1499461.061814781	Linear model assets weighted	treat_a
treatment:postPost	455225.8172387836	547947.0248008661	0.8307843580393942	0.4064173434668268	-620844.891706928	1531296.526184495	Linear model assets weighted	treat_a
treatment	18805.12723596952	1908474099289.6985	9.853488314548501e-9	0.9999999921380538	-3740540481230.1997	3740540518840.4546	Linear model assets weighted with fixed effect	treat_a
treatment:postPost	-18531.434001178746	566127.4703322992	-0.03273367743540403	0.9738869675639347	-1128120.886511253	1091058.0185088955	Linear model assets weighted with fixed effect	treat_a
(Intercept)	-74487076.49305996	196545302.39498782	-0.3789817186440142	0.7048328842056554	-460472134.5721004	311497981.58598053	Event study	treat_a
anio_fiscal	37335.671845876546	97578.964173472	0.3826200878654817	0.702134317692677	-154294.56146338157	228965.90515513468	Event study	treat_a
treatment	-412483.943467005	201501.9605027331	-2.047046800129819	0.041080011932566114	-808203.1236251942	-16764.763308815775	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	215494.9036247148	208003.12301108817	1.0360176352411172	0.3006030930722502	-192991.5701690444	623981.377418474	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	172028.8253239532	118015.32643721573	1.457682069925661	0.14544112921795613	-59735.31288750924	403792.96353541565	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	428758.07553254004	137878.10098039013	3.1096894465751355	0.001959876435700295	157986.4713972644	699529.6796678157	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	896170.7345171839	237082.8080369381	3.7799903836871973	1.7218908272562095e-4	430576.1855018358	1361765.283532532	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	648472.0939571125	321937.0512746556	2.0142822685043438	0.04441691640093454	16236.726742292405	1280707.4611719325	Event study	treat_a
anio_fiscal2013	-61775.19437827761	224727.22486623298	-0.27488967754151183	0.78353616772465	-503505.3838684396	379954.99511188443	Event study with fixed effects	treat_a
anio_fiscal2014	-310686.2538747783	267640.28611857776	-1.1608351581911291	0.24636830182316652	-836767.5703362478	215395.06258669123	Event study with fixed effects	treat_a
anio_fiscal2015	-27758.956538324815	425394.6038736231	-0.0652546042793046	0.9480023337316021	-863926.6219782359	808408.7089015862	Event study with fixed effects	treat_a
anio_fiscal2016	-1021208.9843218048	795954.9488506598	-1.2829984734643671	0.2002001393079834	-2585760.5449559004	543342.5763122909	Event study with fixed effects	treat_a
anio_fiscal2017	-211005.76341357274	770572.3181857999	-0.27382992930547395	0.7843499372036387	-1725664.5072782654	1303652.98045112	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-187831.34758320206	276473.4277290309	-0.6793830030106686	0.4972694509889014	-731275.337035011	355612.6418686069	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-194718.045990543	137663.5247927737	-1.4144490799843608	0.15797097566212176	-465313.3640646761	75877.27208359007	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-114133.61381200246	277906.6360868935	-0.4106904945454995	0.681508938814029	-660394.7581495818	432127.5305255769	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	1284663.2631726784	669851.7851782065	1.9178321109212364	0.055810141493602784	-32016.352184209274	2601342.8785295663	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	376395.97965614573	629407.2933216816	0.5980165524770538	0.5501512106243407	-860784.798556064	1613576.7578683554	Event study with fixed effects	treat_a
(Intercept)	-129719962.8234458	276775923.4808297	-0.4686822509416379	0.6392967755695443	-672190804.6336858	412750878.98679423	Event study assets weighted	treat_a
