term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	11.007121657549856	0.05152263767457004	213.63661012608884	0	10.906133059052893	11.10811025604682	Linear model	all
treatment	-0.8892156632555918	0.16040514978322568	-5.543560568082093	3.001084715308248e-8	-1.203622921878896	-0.5748084046322874	Linear model	all
postPost	0.39261285256187783	0.03430590057657724	11.444470075504706	3.1099284385798154e-30	0.3253704718187302	0.4598552333050255	Linear model	all
treatment:postPost	0.31275823058076163	0.10791405619294016	2.8982158730238017	0.003756979662738039	0.10123782353400704	0.5242786376275163	Linear model	all
postPost	0.36944703249288996	0.030684423001346217	12.040214426606008	3.0395901759310135e-33	0.30930212239366867	0.42959194259211125	Linear model with fixed effect	all
treatment:postPost	0.21761048694549834	0.10175311464004837	2.1386125399236713	0.032482146062609525	0.018162971439895786	0.4170580024511009	Linear model with fixed effect	all
(Intercept)	12.370766187644502	0.09766635626299854	126.6635375884422	0	12.179332113527341	12.562200261761664	Linear model assets weighted	all
treatment	-1.0360476629530069	0.2163302296426038	-4.789195040677612	1.6864528789704143e-6	-1.4600726680803278	-0.612022657825686	Linear model assets weighted	all
postPost	0.2188821221410831	0.06264861260977826	3.4938063753213866	4.772110529007674e-4	0.09608569962090298	0.34167854466126324	Linear model assets weighted	all
treatment:postPost	0.39488719225865715	0.1553394190054208	2.5420926303636873	0.011026539885039823	0.09040918172324608	0.6993652027940682	Linear model assets weighted	all
treatment	0.4942469513030783	63181788.09105415	7.82261734332046e-9	0.9999999937584544	-123834028.64306085	123834029.63155474	Linear model assets weighted with fixed effect	all
treatment:postPost	0.16736205005918034	0.14567890262824507	1.1488420563289665	0.25062111405180987	-0.11816335239949735	0.452887452517858	Linear model assets weighted with fixed effect	all
(Intercept)	-232.69220894493873	21.65715548602345	-10.744356944526153	7.453108340755105e-27	-275.1420116903077	-190.24240619956973	Event study	all
anio_fiscal	0.12106890595809697	0.010746155680645105	11.26625274712464	2.3589826133897628e-29	0.10000555859427515	0.14213225332191878	Event study	all
treatment	-1.1143354226467808	0.1612076457050947	-6.912422905085352	4.9073333265206174e-12	-1.430315642932077	-0.7983552023614846	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.4039854787954561	0.08951070123792852	4.51326459527584	6.419955936149888e-6	0.22853715578729908	0.5794338018036131	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	0.2385694957842286	0.07627115690543909	3.1279123782009344	0.0017630422546024125	0.08907176659784305	0.38806722497061413	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.09741641618169179	0.08311172152466889	1.1721140459444945	0.24116517335988816	-0.065489381249882	0.2603222136132656	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	0.7770315014635831	0.12885732852074647	6.030169260714406	1.6665154010865813e-9	0.52446055873147	1.0296024441956964	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	0.7791632860062712	0.13895772232302628	5.607196728476876	2.083336196674244e-8	0.5067947422072023	1.05153182980534	Event study	all
anio_fiscal2013	0.02044142320279892	0.02386205952406371	0.8566495772162814	0.3916514033219858	-0.026330891173821893	0.06721373757941973	Event study with fixed effects	all
anio_fiscal2014	-0.12352211368416491	0.03132070830184819	-3.9437841728782375	8.054758300020725e-5	-0.1849142166464075	-0.062130010721922306	Event study with fixed effects	all
anio_fiscal2015	0.02019625674905435	0.03706526481490184	0.5448836491499874	0.5858411345782419	-0.05245582161103073	0.09284833510913942	Event study with fixed effects	all
anio_fiscal2016	0.4346660643678283	0.04407258704844948	9.862503961702886	7.032972322857831e-23	0.34827884809497184	0.5210532806406847	Event study with fixed effects	all
anio_fiscal2017	0.5741774548668573	0.04725422797286234	12.150816540619434	8.003350798993577e-34	0.48155386535052247	0.6668010443831922	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.051715811333061114	0.08246069355950625	-0.62715712299632	0.5305651922018008	-0.21334802413472423	0.10991640146860202	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.0970597572832436	0.07013074352860142	-1.3839830065919625	0.16638295660817243	-0.23452388440429173	0.04040436983780453	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.01369474614121811	0.07934826964287733	0.17259035644827592	0.8629756148943277	-0.14183676651949215	0.16922625880192835	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	0.2797728805304672	0.1257820704319216	2.224266778005469	0.026144395581653233	0.033225907698919976	0.5263198533620145	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	0.21814704351111874	0.13688672562244214	1.5936318333218589	0.11103826666910753	-0.05016629961596902	0.4864603866382065	Event study with fixed effects	all
(Intercept)	-121.55221331102143	38.19879515543059	-3.1820954775255728	0.0014621360898839344	-196.42047606848848	-46.683950553554396	Event study assets weighted	all
