term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	11.496882661108867	0.25698835046372687	44.736979868399196	1.0857851361879279e-222	10.992453818544062	12.001311503673671	Linear model	all
treatment	1.193136906572667	0.3001874415695653	3.97463964626305	7.66671683128836e-5	0.6039148526150154	1.7823589605303183	Linear model	all
postPost	-0.4278772855562318	0.5297006557165076	-0.8077718631053177	0.41945504702522673	-1.4675986899963536	0.6118441188838899	Linear model	all
treatment:postPost	0.6524426753999082	0.5449030811254962	1.1973554527390249	0.2315123720791572	-0.4171187659111313	1.7220041167109477	Linear model	all
postPost	-0.7370053066593085	0.7460173940153256	-0.9879197356143254	0.323577337604398	-2.202032461009582	0.728021847690965	Linear model with fixed effect	all
treatment:postPost	0.9357558003107547	0.7531091451414897	1.2425234859350305	0.21451321599391315	-0.5431981177518286	2.414709718373338	Linear model with fixed effect	all
(Intercept)	11.644191052541652	0.31314712449313314	37.18440995231617	1.9337853120144318e-178	11.029531122332623	12.258850982750682	Linear model assets weighted	all
treatment	1.802498916833961	0.34769373532975195	5.184157014288667	2.731920477234581e-7	1.1200292711751558	2.484968562492766	Linear model assets weighted	all
postPost	0.08781405073822814	0.5123183571442427	0.17140523956182227	0.8639472180567274	-0.917788559079096	1.0934166605555522	Linear model assets weighted	all
treatment:postPost	0.12520413713067438	0.5423834084980662	0.23084064735199358	0.8174959042072969	-0.9394115720302373	1.189819846291586	Linear model assets weighted	all
treatment	0.4397476105836405	5679460.660098392	7.742770606250176e-8	0.9999999382216288	-11131537.905657316	11131538.785152538	Linear model assets weighted with fixed effect	all
treatment:postPost	0.04628595280354984	0.41272051180255653	0.11214841879652644	0.9107057268962778	-0.762631386010399	0.8552032916174988	Linear model assets weighted with fixed effect	all
(Intercept)	261.8264159803379	322.6260454088411	0.8115476716969452	0.41728673096324365	-371.4437308307435	895.0965627914193	Event study	all
anio_fiscal	-0.12437546377925608	0.16023854072811503	-0.7761894436513269	0.43786095368870603	-0.43890147820284575	0.19015055064433362	Event study	all
treatment	1.3149933359323447	0.30328157654165183	4.335882683436748	1.632375458033059e-5	0.719693696505388	1.9102929753593014	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.14866718454187244	0.3555782931411346	-0.4180997192729763	0.6759836757099222	-0.8466180198966842	0.5492836508129393	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.0961119931551601	0.22115393767369196	-0.4345931805065635	0.6639720846325476	-0.5302064767576603	0.3379824904473401	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.15166430878830317	0.21478113374108765	0.706134222064076	0.4803052435041675	-0.2699212452363497	0.5732498628129561	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	0.7177751349037691	0.3492082868290169	2.055435572338562	0.040153150147285786	0.032327737786097765	1.4032225320214404	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	0.7043339314624438	0.5149999938148621	1.3676387182941319	0.17179989885494448	-0.3065395746661673	1.7152074375910549	Event study	all
anio_fiscal2013	0.17174965423052557	0.17113338493538616	1.0036011050407967	0.3159675574283802	-0.16433026586240213	0.5078295743234533	Event study with fixed effects	all
anio_fiscal2014	-0.08543198641833206	0.18639941304700333	-0.458327550617282	0.6468798352432716	-0.45149206210641624	0.28062808926975213	Event study with fixed effects	all
anio_fiscal2015	-0.42136358001564356	0.36694384083522646	-1.1483053620863306	0.25129115957037806	-1.1419854315208717	0.2992582714895846	Event study with fixed effects	all
anio_fiscal2016	-0.9582326952122231	1.1501842119589096	-0.8331123703917229	0.4051063655485676	-3.2170194199255002	1.300554029501054	Event study with fixed effects	all
anio_fiscal2017	-0.9691474739363823	1.3681222373823008	-0.7083778389500506	0.4789803658247124	-3.6559313086066574	1.717636360733893	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.018741794179375427	0.23433078238441693	-0.07998007768620741	0.9362792466737584	-0.4789317836942951	0.44144819533554425	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.22242894283570872	0.22007825769261027	-1.0106811330103391	0.3125684827595796	-0.6546291432083556	0.20977125753693818	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.432334181072132	0.2758601429060536	1.5672223486789352	0.11757960908591814	-0.1094131513942625	0.9740815135385266	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	1.2550142899365042	1.0658561632033123	1.1774705943104913	0.23946542347141314	-0.8381649824490216	3.34819356232203	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	1.1221175803732666	1.2882635992163212	0.8710310382563593	0.38407874811941345	-1.407836044085916	3.652071204832449	Event study with fixed effects	all
(Intercept)	-53.25538549638077	312.5996116011736	-0.17036292919111493	0.8647247241431428	-665.9393658158901	559.4285948231286	Event study assets weighted	all
anio_fiscal	0.03224093140797457	0.15524149355078762	0.20768243509218026	0.8354769334152423	-0.27202680485777614	0.3365086676737253	Event study assets weighted	all
treatment	1.7444576918493215	0.33659072992389866	5.182726488764958	2.1866558489942086e-7	1.084751983668432	2.4041634000302112	Event study assets weighted	all
anio_fiscal::2012:treatment	0.11556554015425213	0.369754715329247	0.31254649464401596	0.7546252338397865	-0.6091403850049321	0.8402714653134363	Event study assets weighted	all
anio_fiscal::2013:treatment	0.05673348694446734	0.26979197689427653	0.21028604185179126	0.8334444287246213	-0.472049071086177	0.5855160449751117	Event study assets weighted	all
anio_fiscal::2015:treatment	-0.04117926826963014	0.27889743391315314	-0.1476502228502149	0.8826188173419404	-0.58780819412005	0.5054496575807897	Event study assets weighted	all
anio_fiscal::2016:treatment	0.39890905941074806	0.3600087217867054	1.1080538755588538	0.26783854918639466	-0.3066950694114947	1.1045131882329908	Event study assets weighted	all
anio_fiscal::2017:treatment	0.18227054619394067	0.5016388430051348	0.3633501447017629	0.7163433391386729	-0.8009235193424658	1.165464611730347	Event study assets weighted	all
anio_fiscal::2012:treatment	0.28134636230446275	0.25961884983204325	1.0836900421000857	0.2785022522627635	-0.22749723307405456	0.7901899576829801	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-0.042531868665537265	0.2692209344364424	-0.15798128312186724	0.8744715473988665	-0.5701952040451834	0.4851314667141089	Event study assets weighted with fixed effects	all
