term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.15888577134678109	0.0012006051349855694	132.33807412350507	0	0.15653253303579337	0.1612390096577688	Linear model	all
treatment	-0.00500225846339808	0.003083700893225235	-1.62216072070668	0.10477950792559786	-0.01104644640671545	0.0010419294799192888	Linear model	all
postPost	-0.013440059487064346	0.0013288432306696471	-10.114104641441763	5.230058067382104e-24	-0.01604465004609615	-0.010835468928032544	Linear model	all
treatment:postPost	0.00870294866105279	0.003153265357554005	2.7599797905380488	0.005784021277130207	0.0025224113404326417	0.014883485981672936	Linear model	all
postPost	-0.014071651202412213	0.0013169673933358635	-10.684889598343721	1.3705806660613927e-26	-0.016652987147884775	-0.011490315256939653	Linear model with fixed effect	all
treatment:postPost	0.008822364899364506	0.0031340909821227377	2.8149677050501793	0.004882098074348003	0.002679356538282318	0.014965373260446693	Linear model with fixed effect	all
(Intercept)	0.17503224637396994	0.0018026902847500302	97.09501840369698	0	0.1714988949686637	0.1785655977792762	Linear model assets weighted	all
treatment	-0.015990643349562576	0.004320892048668492	-3.7007736294847233	2.153295259060808e-4	-0.024459779796068913	-0.007521506903056238	Linear model assets weighted	all
postPost	-0.009844864520393218	0.0017914976808738536	-5.495326410688462	3.93174825090576e-8	-0.013356277935036569	-0.0063334511057498676	Linear model assets weighted	all
treatment:postPost	0.01065737218954684	0.003758308056287095	2.835683512350359	0.004575850294092834	0.0032909248499267936	0.018023819529166887	Linear model assets weighted	all
treatment:postPost	0.009725067388103565	0.003738794885996409	2.6011235397075767	0.009291898580403486	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	7.275222277247856	0.8253794139227882	8.814397541938732	1.2672813283310415e-18	5.657442699337336	8.893001855158376	Event study	all
anio_fiscal	-0.003535875090700156	4.0977219584848736e-4	-8.62887996433887	6.497818203832146e-18	-0.004339046430882439	-0.002732703750517873	Event study	all
treatment	0.011523227847060561	0.003362573590053698	3.426907259708937	6.113208537086993e-4	0.00493243724646167	0.018114018447659454	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.021094558865006687	0.003900844857015063	-5.407689779579775	6.433295139576236e-8	-0.028740384578399874	-0.0134487331516135	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.024821299449276458	0.0034719081624964413	-7.149180879090116	8.930341464009834e-13	-0.03162639057091306	-0.018016208327639862	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.0078102674162827054	0.0035951988453033516	-2.1724159781831762	0.02983214970182548	-0.014857013642744003	-7.635211898214074e-4	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.015177698119620758	0.00398732973773792	-3.8064818106142697	1.4123938865322962e-4	-0.022993037963692946	-0.0073623582755485695	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.004936983824197681	0.004277069078164494	-1.1542913462404003	0.24838999201317033	-0.013320225387106806	0.003446257738711444	Event study	all
anio_fiscal2013	-0.0014396306948731242	0.0017108494875675677	-0.8414712722157378	0.40009217248006024	-0.004792999482057683	0.0019137380923114344	Event study with fixed effects	all
anio_fiscal2014	0.011485613444401728	0.001926946288048883	5.9605259968254805	2.548605506137072e-9	0.007708681818399139	0.015262545070404317	Event study with fixed effects	all
anio_fiscal2015	-0.001775107099767665	0.0020215334647009147	-0.8780992898528601	0.3798984359949811	-0.005737435330297869	0.0021872211307625384	Event study with fixed effects	all
anio_fiscal2016	-0.016890089247761628	0.002126766039506994	-7.941677144551792	2.0796594184554033e-15	-0.021058679709022303	-0.012721498786500952	Event study with fixed effects	all
anio_fiscal2017	-0.012922690422509292	0.0021360154910431855	-6.049904823582585	1.470294508589938e-9	-0.017109410369914386	-0.008735970475104198	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.005728401301751172	0.00425648726347324	-1.3458048731659702	0.17837788750804076	-0.014071374565093876	0.0026145719615915317	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.009074886323940675	0.0038172819645651505	-2.377316218236043	0.01744674899031689	-0.016556990556297807	-0.0015927820915835438	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.0012094515259395225	0.003915169250972923	0.3089142380342747	0.7573893884307529	-0.006464517726273165	0.00888342077815221	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	0.0044587070934669374	0.0043038625419214395	1.03597804298749	0.30022259522247685	-0.00397712458973492	0.012894538776668796	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	0.00602145571350844	0.004495785687298917	1.339355594845125	0.18046734324064695	-0.0027905569779726157	0.014833468404989496	Event study with fixed effects	all
(Intercept)	5.744619126387331	1.0829028974934274	5.304833092315368	1.1277613649341004e-7	3.6221684485461436	7.867069804228518	Event study assets weighted	all
anio_fiscal	-0.002767188069962976	5.376120944088818e-4	-5.1471834408888615	2.6442671331538386e-7	-0.003820888412657531	-0.0017134877272684205	Event study assets weighted	all
treatment	-0.002360704099473282	0.0045208339989898545	-0.5221833183878822	0.6015426995880703	-0.011221375917577582	0.006499967718631018	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.0211741427240926	0.00467981760832301	-4.52456580496526	6.051962123415268e-6	-0.030346416690622068	-0.012001868757563127	Event study assets weighted	all
anio_fiscal::2013:treatment	-0.017674071420082565	0.0038034538420062022	-4.6468478793895525	3.3704552004073325e-6	-0.025128703967275217	-0.010219438872889914	Event study assets weighted	all
anio_fiscal::2015:treatment	-0.0026920460887901176	0.004351985657339824	-0.6185788053436845	0.5361938679438698	-0.011221781238411044	0.005837689060830809	Event study assets weighted	all
anio_fiscal::2016:treatment	-0.012121061622623996	0.00467579740547759	-2.5922982908593197	0.009533706955700771	-0.0212854561363659	-0.0029566671088820957	Event study assets weighted	all
anio_fiscal::2017:treatment	0.0035706469707284527	0.004873856950697524	0.7326121810402002	0.46379499957137454	-0.0059819371184389025	0.013123231059895808	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.013347415252656626	0.00510428969005884	-2.614940777881822	0.008924292782344991	-0.023351639211831067	-0.003343191293482187	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-0.008982769809027149	0.004253980130419696	-2.1116153657588694	0.03471945352478131	-0.017320417655598754	-6.451219624555443e-4	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	4.407250958117417e-5	0.004798092799545954	0.009185422504822077	0.9926711962567181	-0.009360016572009855	0.009448161591172202	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	0.0016176252172474441	0.005181112082696255	0.3122158315489733	0.7548765012282999	-0.008537167864702523	0.011772418299197413	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	0.005625969134772802	0.005266838232074593	1.0681871906585496	0.2854360816644879	-0.004696844112492009	0.01594878238203761	Event study assets weighted with fixed effects	all
(Intercept)	0.16609409346375995	0.002683985077341213	61.88338931760928	0	0.16083274943733974	0.17135543749018015	Linear model	treat_a
treatment	-0.012610829271685773	0.004483113137871717	-2.812962529353554	0.004921214463860225	-0.02139895582530768	-0.003822702718063868	Linear model	treat_a
postPost	-0.019622622271045987	0.0031785888140133567	-6.173375488058183	7.024758463688974e-10	-0.025853524748947195	-0.013391719793144779	Linear model	treat_a
treatment:postPost	0.01625069330445305	0.004636158534732648	3.505206558987995	4.588584191848814e-4	0.007162555960404904	0.025338830648501197	Linear model	treat_a
postPost	-0.019456076979119347	0.0031621370261749656	-6.152825389307723	8.077591064984791e-10	-0.025654939201726436	-0.01325721475651226	Linear model with fixed effect	treat_a
treatment:postPost	0.016146626440812707	0.004616159892539706	3.497848171790514	4.722564606032919e-4	0.007097385710725804	0.02519586717089961	Linear model with fixed effect	treat_a
(Intercept)	0.18135278173796426	0.004263872671810379	42.53241025158579	0	0.1729944263951436	0.18971113708078494	Linear model assets weighted	treat_a
treatment	-0.024241539216829734	0.006434427103651791	-3.767474372826713	1.6614220405018312e-4	-0.03685477424970497	-0.011628304183954495	Linear model assets weighted	treat_a
postPost	-0.01983041344013753	0.00449123372852533	-4.415359929764494	1.0222372782295563e-5	-0.028634458570016466	-0.011026368310258591	Linear model assets weighted	treat_a
treatment:postPost	0.01962223359478591	0.005952987821515103	3.2961991831845925	9.844764169572478e-4	0.00795275108592363	0.03129171610364819	Linear model assets weighted	treat_a
treatment:postPost	0.019136446210737783	0.005950478632308127	3.2159507483711374	0.0013001314296302309	NA	NA	Linear model assets weighted with fixed effect	treat_a
(Intercept)	11.490518504672513	1.9553922781566258	5.87632396477743	4.370218563114752e-9	7.6574151035309885	15.323621905814038	Event study	treat_a
anio_fiscal	-0.005626290150859491	9.707919448628673e-4	-5.795567403120812	7.078650155841874e-9	-0.0075293077434024185	-0.003723272558316563	Event study	treat_a
treatment	0.00652315278666401	0.00469342333136116	1.3898496526142683	0.16461487842306907	-0.002677239960819487	0.015723545534147506	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-0.02639223946222475	0.0051190485439794415	-5.1556923587421135	2.590108714993116e-7	-0.03642697397750776	-0.01635750494694174	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.027489064264670064	0.004415968309110961	-6.224923355531114	5.071406827441098e-10	-0.03614556932203052	-0.018832559207309606	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-0.002709426982930985	0.004490581019966545	-0.6033577772862831	0.546288548017746	-0.0115121933500776	0.00609333938421563	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	-0.013339153961915628	0.005012837319001232	-2.660998774357463	0.0078071512385741865	-0.02316568544180199	-0.003512622482029269	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	0.002923642063343947	0.005761628063876611	0.5074333210909878	0.6118654023858648	-0.008370723969735431	0.014218008096423325	Event study	treat_a
anio_fiscal2013	-0.0069673303446660334	0.00397141396556436	-1.7543702079609163	0.07941562857456781	-0.014752652036343038	8.179913470109717e-4	Event study with fixed effects	treat_a
anio_fiscal2014	0.0067580448152924225	0.004460026119361189	1.515247811207971	0.1297597481015412	-0.001985122830685874	0.01550121246127072	Event study with fixed effects	treat_a
anio_fiscal2015	-0.008824827779376739	0.0047115238871038795	-1.8730304654788157	0.06111037498080375	-0.018061016561804928	4.1136100305145043e-4	Event study with fixed effects	treat_a
anio_fiscal2016	-0.028416205839959033	0.005026368563579007	-5.653426620137338	1.641630451102488e-8	-0.03826959723851453	-0.01856281444140354	Event study with fixed effects	treat_a
anio_fiscal2017	-0.02101113101956978	0.005081973148215571	-4.134443533403438	3.604288524667873e-5	-0.030973526310109675	-0.01104873572902988	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-0.011263214314171223	0.006465846343568039	-1.7419551464249394	0.08156501848497662	-0.02393847159787705	0.0014120429695346059	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.008808111473818792	0.005830557133984067	-1.5106809300400659	0.1309198365685134	-0.02023798590226249	0.0026217629546249066	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	0.006782685873737563	0.0058808453258110335	1.1533521964892277	0.24880953955629495	-0.004745770509158739	0.018311142256633866	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	0.009777690308950263	0.006411015525615303	1.5251390781824445	0.12727452852256552	-0.0027900799285596224	0.02234546054646015	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	0.011837444999966905	0.0067157039573256016	1.7626514026209306	0.07800770512353258	-0.0013276181607097415	0.025002508160643554	Event study with fixed effects	treat_a
(Intercept)	11.272326877024454	2.7460245496535536	4.104962163738341	4.04381060597402e-5	5.890217659040669	16.65443609500824	Event study assets weighted	treat_a
anio_fiscal	-0.005510484060494057	0.0013633396932800188	-4.04190099331484	5.301961940665641e-5	-0.008182580758016778	-0.002838387362971337	Event study assets weighted	treat_a
treatment	-0.00419201291868343	0.00650189690010575	-0.6447369103338517	0.519097692631439	-0.016935496674083318	0.00855147083671646	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.031627250423687275	0.006292566905027934	-5.026128589656509	5.004803648434136e-7	-0.043960454927850695	-0.019294045919523852	Event study assets weighted	treat_a
anio_fiscal::2013:treatment	-0.023859987053037948	0.004667388221996524	-5.112063946296627	3.1865791399791574e-7	-0.03300789987001757	-0.014712074236058324	Event study assets weighted	treat_a
anio_fiscal::2015:treatment	-0.0012744569822897844	0.005430389913589193	-0.23468977413583872	0.8144495251530801	-0.011917825634934176	0.009368911670354607	Event study assets weighted	treat_a
anio_fiscal::2016:treatment	-0.011568206736528558	0.00594882329634944	-1.9446210049015094	0.05182060934072211	-0.023227686147766304	9.12726747091877e-5	Event study assets weighted	treat_a
anio_fiscal::2017:treatment	0.006527357817636359	0.006971185688225826	0.9363339479912174	0.3491012745281446	-0.0071359150608273254	0.020190630696100043	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.013273950336642224	0.008448473475366954	-1.5711655336724222	0.11614420363312954	-0.029832654072703392	0.0032847533994189437	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2013:treatment	-0.010105848712422127	0.006792810616294146	-1.487727140247497	0.1368228671028032	-0.023419512874159977	0.0032078154493157245	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2015:treatment	0.005669721008364671	0.007775593436652724	0.7291689122580206	0.46589834506486166	-0.009570162085900691	0.020909604102630035	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2016:treatment	0.01417268319540471	0.008496297843290776	1.6681010313917342	0.0952956724814508	-0.0024797545793705435	0.03082512097017996	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2017:treatment	0.01477434934276371	0.00917974146290481	1.6094515736054902	0.10751763587253926	-0.00321761331191874	0.03276631199744616	Event study assets weighted with fixed effects	treat_a
(Intercept)	0.16609409346376336	0.002683702401509396	61.88990752862425	0	0.16083345891237744	0.17135472801514928	Linear model	treat_b
treatment	-0.011659630138655444	0.003928849394093637	-2.9676958745692144	0.0030079386860258593	-0.019361020895743916	-0.0039582393815669695	Linear model	treat_b
postPost	-0.01962262227104674	0.0031782540467879625	-6.174025733052379	6.931525027368959e-10	-0.025852684532127267	-0.013392560009966215	Linear model	treat_b
treatment:postPost	0.013445214418502403	0.0043051239675830095	3.1230725339718477	0.0017951494728384422	0.005006244479388048	0.021884184357616757	Linear model	treat_b
postPost	-0.019456076979119497	0.0031620599416870353	-6.152975382477794	7.980933375953237e-10	-0.025654565646358148	-0.013257588311880845	Linear model with fixed effect	treat_b
treatment:postPost	0.012778737716284816	0.0042819246464873605	2.9843443711153914	0.0028507056429295206	0.004385012775997548	0.021172462656572084	Linear model with fixed effect	treat_b
(Intercept)	0.18135278173796643	0.00426342360308549	42.53689021347053	0	0.1729955534920285	0.18971000998390436	Linear model assets weighted	treat_b
treatment	-0.022053631951384225	0.005839577503405517	-3.7765800588352527	1.5997250056001185e-4	-0.03350046121331474	-0.010606802689453706	Linear model assets weighted	treat_b
postPost	-0.019830413440138216	0.004490760714259475	-4.415825002024906	1.0174547228368018e-5	-0.028633271373325178	-0.011027555506951255	Linear model assets weighted	treat_b
treatment:postPost	0.01936648152769958	0.005603098739802777	3.456387693139468	5.498778149324103e-4	0.008383201560123723	0.030349761495275435	Linear model assets weighted	treat_b
treatment:postPost	0.01853442830036384	0.005603057314728832	3.307913387150643	9.399387470845128e-4	NA	NA	Linear model assets weighted with fixed effect	treat_b
(Intercept)	11.490518504937597	1.9550909200558315	5.877229742650261	4.313325322939886e-9	7.65811913068373	15.322917879191465	Event study	treat_b
anio_fiscal	-0.0056262901509917095	9.706423304118237e-4	-5.796460729880376	6.990303843927772e-9	-0.007528958216980354	-0.0037236220850030647	Event study	treat_b
treatment	0.0064647531160175985	0.004024768608583872	1.606242183023844	0.10825416929324683	-0.001424660383285526	0.014354166615320723	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2012	-0.02441876867615645	0.004347762288574093	-5.616399208468436	2.005046696304888e-8	-0.032941319368407676	-0.015896217983905222	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2013	-0.026517898671199042	0.0036346758854928435	-7.29580834897562	3.208178088273205e-13	-0.03364264639842014	-0.019393150943977942	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2015	-0.0064705932675383415	0.0037640618700704002	-1.7190454065031935	0.08563890196313412	-0.01384896539720825	9.077788621315664e-4	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2016	-0.012296963233322824	0.0044177575933928995	-2.7835305521773965	0.005387778660659555	-0.02095671980159574	-0.0036372066650499097	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2017	2.797462581966827e-4	0.00509360013888434	0.054921126623409436	0.9562024633974074	-0.00970480729105836	0.010264299807451725	Event study	treat_b
anio_fiscal2013	-0.006967330344666034	0.003970929468899537	-1.7545842602429524	0.07936987904150011	-0.014751422270046607	8.167615807145381e-4	Event study with fixed effects	treat_b
anio_fiscal2014	0.006758044815291357	0.0044594820139613285	1.515432687952077	0.1297035632732098	-0.001983741763425257	0.01549983139400797	Event study with fixed effects	treat_b
