r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.11207405537951844	0.11198297359623666	0.14050965969337245	1230.4771749218953	0	3	15900.559969468746	-31791.119938937492	-31749.70176467419	577.402738806191	29246	29250	Linear model	NA	NA	all
0.022424859995366572	-0.1932185147934533	NA	274.846862445058	9.63846835748149e-119	NA	NA	NA	NA	266.7465521837391	23963	29250	Linear model with fixed effect	NA	NA	all
0.1278410170310856	0.12775155259325122	197.67286810819238	1428.9590380887357	0	3	-5182.214813054423	10374.429626108846	10415.847800372147	1142774663.242831	29246	29250	Linear model assets weighted	NA	NA	all
0.592618948480308	0.5026717151842952	149.26175407771694	NA	NA	NA	27215.252077763715	-43848.50415552743	-19.792150103356107	NA	NA	29250	Linear model assets weighted with fixed effect	0.02092305190641308	NA	all
0.11525272850156813	0.11504093618570443	0.1402675225425843	544.1780455136494	0	7	15953.009731571838	-31888.019463143675	-31813.466749469735	575.335703173814	29242	29250	Event study	NA	NA	all
0.03201814076321498	-0.1819036276692434	NA	79.23646033898743	4.832855131902142e-161	NA	NA	NA	NA	264.12887660635806	23955	29250	Event study with fixed effects	NA	NA	all
0.13152405872330808	0.13131616146631686	197.26854074369885	NA	NA	NA	15779.217402672995	-31542.43480534599	-31476.165726524712	NA	NA	29250	Event study assets weighted	NA	NA	all
0.5944108389357753	0.5047765655617822	148.9455577192182	NA	NA	NA	27279.61055727104	-43969.22111454208	-107.37456970736821	NA	NA	29250	Event study assets weighted with fixed effects	0.02522958170673717	NA	all
0.0957534120742867	0.09539353680713669	0.17227621851473482	266.073889524506	3.77552285829431e-164	3	2564.1509373404233	-5118.301874680847	-5083.660661291755	223.72102162072295	7538	7542	Linear model	NA	NA	treat_a
0.03299207277991039	-0.17939621205995415	NA	105.47482613954845	9.0563052265987e-46	NA	NA	NA	NA	102.30778311744125	6183	7542	Linear model with fixed effect	NA	NA	treat_a
0.09107783004622326	0.09071609397433933	243.7536106419492	251.77978400627535	1.0186171167493742e-155	3	-2852.2334235173184	5714.466847034637	5749.108060423729	447876471.52003974	7538	7542	Linear model assets weighted	NA	NA	treat_a
0.5941875011007457	0.5047366800130642	179.8951221520405	NA	NA	NA	5525.040511456564	-8324.081022913128	1119.1137469532187	NA	NA	7542	Linear model assets weighted with fixed effect	0.018807656722080623	NA	treat_a
0.1004215566137108	0.09958573910591895	0.171876566581888	120.14770649996473	6.182020607191429e-168	7	2583.6690303389737	-5149.338060677947	-5086.983876577583	222.5660688905956	7534	7542	Event study	NA	NA	treat_a
0.04457667359496742	-0.16677689140410545	NA	28.810366236779664	1.1036939508621248e-54	NA	NA	NA	NA	101.08215218482826	6175	7542	Event study with fixed effects	NA	NA	treat_a
0.09460976623390482	0.09376854886778296	243.34412775873665	NA	NA	NA	2535.8343999508525	-5055.668799901705	-5000.242858479159	NA	NA	7542	Event study assets weighted	NA	NA	treat_a
0.5951302171417445	0.505567120237392	179.74423794963354	NA	NA	NA	5539.060729385077	-8344.121458770154	1126.7862818074645	NA	NA	7542	Event study assets weighted with fixed effects	0.02108699943287029	NA	treat_a
0.08802756592207878	0.08773255650842404	0.2031115031547355	298.3890067491543	6.217235416575272e-185	3	1626.2223356009006	-3242.444671201801	-3206.767664775243	382.5922178875598	9274	9278	Linear model	NA	NA	treat_b
0.035434480711478415	-0.17616644616714172	NA	139.7445398275099	2.499839894172172e-60	NA	NA	NA	NA	163.41253569587982	7608	9278	Linear model with fixed effect	NA	NA	treat_b
0.08324494796094616	0.08294839144206356	290.1783738584361	280.70516970798093	2.0649514181065483e-174	3	-4988.70040313145	9987.4008062629	10023.077812689458	780903153.7876413	9274	9278	Linear model assets weighted	NA	NA	treat_b
0.6239707110555192	0.5412383333064243	205.2398625160147	NA	NA	NA	5593.155562939495	-7838.31112587899	4106.350625732777	NA	NA	9278	Linear model assets weighted with fixed effect	0.014826715543636237	NA	treat_b
0.09357549196045248	0.09289102900939772	0.20253643580556957	136.71374296631248	2.0243343631025293e-192	7	1654.5295859643593	-3291.0591719287186	-3226.8405603609135	380.2647425731948	9270	9278	Event study	NA	NA	treat_b
0.04983674967223123	-0.15982427280140943	NA	39.862549659580935	2.3566336888059955e-77	NA	NA	NA	NA	160.9725653220821	7600	9278	Event study with fixed effects	NA	NA	treat_b
0.08917005587753524	0.08848226627571676	289.30151989696606	NA	NA	NA	1568.4609429456887	-3120.9218858913773	-3063.838675608884	NA	NA	9278	Event study assets weighted	NA	NA	treat_b
0.6251062870285431	0.5423830295741836	204.98364664407978	NA	NA	NA	5621.645152601406	-7887.290305202812	4085.913051550202	NA	NA	9278	Event study assets weighted with fixed effects	0.01780185376819865	NA	treat_b
0.10737563290410458	0.10718865670655608	0.16839601487153416	574.2743424671993	0	3	5195.151052674863	-10380.302105349727	-10342.452948613854	406.13207368412105	14322	14326	Linear model	NA	NA	treat_c
