r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.06526834711572492	0.06513808303068513	0.13300569173242138	501.0463712677121	9.227151074e-315	3	12886.685060381587	-25763.370120763175	-25723.483875582682	380.82369559312485	21527	21531	Linear model	NA	NA	all
0.02803168411156105	-0.18778963793155223	NA	254.0526283648298	1.6881849949212176e-109	NA	NA	NA	NA	225.2043117429224	17618	21531	Linear model with fixed effect	NA	NA	all
0.07084982740209636	0.07072034115144399	188.60849733215233	547.161007791494	0	3	-2929.140235123865	5868.28047024773	5908.16671542822	765783528.678868	21527	21531	Linear model assets weighted	NA	NA	all
0.448271774528022	0.32560981637267594	160.67328003534297	NA	NA	NA	18564.569268287836	-29295.138536575672	1951.7459378209023	NA	NA	21531	Linear model assets weighted with fixed effect	0.02448835241042091	NA	all
0.07065747656776487	0.07035522327296284	0.13263404317028127	233.76908633544346	0	7	12948.932405998505	-25879.86481199701	-25808.069570672127	378.6280834218417	21523	21531	Event study	NA	NA	all
0.040463668763228794	-0.17312988140418417	NA	74.26140977924709	7.638048039945865e-150	NA	NA	NA	NA	222.3238304543187	17610	21531	Event study with fixed effects	NA	NA	all
0.07640258168034575	0.0761021968860216	188.06154806265218	NA	NA	NA	12847.467176420265	-25678.93435284053	-25615.116360551743	NA	NA	21531	Event study assets weighted	NA	NA	all
0.4510955803488681	0.32890902015395396	160.27978097607505	NA	NA	NA	18625.939767058815	-29409.87953411763	1868.9139364233342	NA	NA	21531	Event study assets weighted with fixed effects	0.029481128457740535	NA	all
0.07166226542997226	0.07119902304745218	0.15833454756027987	154.69712645924048	1.3942120360230737e-96	3	2553.425740006124	-5096.851480012248	-5063.3405906841	150.71981165412458	6012	6016	Linear model	NA	NA	treat_a
0.03837996160611384	-0.1732544687503501	NA	98.3825228071208	1.2695183018933837e-42	NA	NA	NA	NA	84.34651632870106	4930	6016	Linear model with fixed effect	NA	NA	treat_a
0.07440249668476838	0.073940621683114	222.35719481392286	161.0879489435008	1.9644889510713626e-100	3	-1703.3372348727207	3416.6744697454415	3450.18535907359	297249645.1781273	6012	6016	Linear model assets weighted	NA	NA	treat_a
0.4923112394835586	0.3800755390770615	181.92867472801814	NA	NA	NA	4301.513626682428	-6423.027253364857	882.3466201714891	NA	NA	6016	Linear model assets weighted with fixed effect	0.024671101664178074	NA	treat_a
0.0774023377459246	0.07632740704755925	0.15789681959015378	72.00681668468161	1.9797065169843373e-100	7	2572.0824612589763	-5126.164922517953	-5065.845321727285	149.7878850652069	6008	6016	Event study	NA	NA	treat_a
0.05035860784422179	-0.160522749658067	NA	26.100912392474818	6.05292123854442e-49	NA	NA	NA	NA	83.29583410476229	4922	6016	Event study with fixed effects	NA	NA	treat_a
0.0793136202541983	0.07824091641627873	221.84031968309915	NA	NA	NA	2535.661005549244	-5055.322011098488	-5001.70458817345	NA	NA	6016	Event study assets weighted	NA	NA	treat_a
