r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.008481510575077147	0.008343332683672267	1280053.801446311	61.38109714107376	1.655268229989042e-39	3	-333326.9725142538	666663.9450285076	666703.8312736881	35272801812672876	21527	21531	Linear model	NA	NA	all
0.020070783440001797	-0.1975182218490612	NA	180.42479837844647	2.7174910936651595e-78	NA	NA	NA	NA	6488855438278027	17618	21531	Linear model with fixed effect	NA	NA	all
0.012669352979283349	0.012531758705066842	1590690002.8283286	92.0776177018336	3.3095958373447313e-59	3	-346300.36723544484	692610.7344708897	692650.6207160702	544696536861044e8	21527	21531	Linear model assets weighted	NA	NA	all
0.6758971334790576	0.6038415626095213	1007531047.9595047	NA	NA	NA	-315484.5458212683	638803.0916425366	670049.9761169332	NA	NA	21531	Linear model assets weighted with fixed effect	0.011590269311462564	NA	all
0.00940109937601587	0.009078923457028432	1279578.9544172287	29.180018809477566	2.2725163815423206e-40	7	-333316.9833642706	666651.9667285412	666723.7619698661	35240087875544504	21523	21531	Event study	NA	NA	all
0.0421581088970613	-0.1710582575494759	NA	77.50802137317012	1.5680635249445313e-156	NA	NA	NA	NA	6342598484727679	17610	21531	Event study with fixed effects	NA	NA	all
0.01669081439900566	0.016371009339338993	1587594710.7803185	NA	NA	NA	-340262.52560855105	680541.0512171021	680604.8692093908	NA	NA	21531	Event study assets weighted	NA	NA	all
0.6764671493469367	0.60444847958203	1006758980.5038812	NA	NA	NA	-315464.6403677503	638771.2807355006	670050.0742060416	NA	NA	21531	Event study assets weighted with fixed effects	0.01332863477705215	NA	all
0.04837009727786516	0.04789523205694579	1190845.5577240947	101.86068624741958	2.5719071288338266e-64	3	-92699.22133006227	185408.44266012454	185441.95354945268	8525696211815477	6012	6016	Linear model	NA	NA	treat_a
0.05980722513741654	-0.14711146872179293	NA	156.80274716564585	9.542929861759563e-67	NA	NA	NA	NA	1680043024553116.8	4930	6016	Linear model with fixed effect	NA	NA	treat_a
0.034173327690778264	0.033691378253498216	1536880565.706724	70.90645832816037	4.6489348056048476e-45	3	-96447.73011045202	192905.46022090403	192938.97111023217	14200355261961084e6	6012	6016	Linear model assets weighted	NA	NA	treat_a
0.6905090201150701	0.6220892724303992	961118201.0206536	NA	NA	NA	-87942.3101512117	178064.6203024234	185369.99417595976	NA	NA	6016	Linear model assets weighted with fixed effect	0.029031517666419537	NA	treat_a
0.05094004690897974	0.04983428464672324	1189632.3041404132	46.067811000374554	5.467829032249008e-64	7	-92691.08700643478	185400.17401286957	185460.49361366025	8502671914479007	6008	6016	Event study	NA	NA	treat_a
0.0827639203370221	-0.12092137732076647	NA	44.41212299983839	3.398423574822654e-85	NA	NA	NA	NA	1639021399341706.5	4922	6016	Event study with fixed effects	NA	NA	treat_a
0.04289684838862984	0.04178171488974847	1530433341.8127158	NA	NA	NA	-94664.42900393305	189344.8580078661	189398.47543079115	NA	NA	6016	Event study assets weighted	NA	NA	treat_a
0.6909527440524916	0.6223244119211169	960819146.25311	NA	NA	NA	-87936.76444217002	178061.52888434005	185393.71146933892	NA	NA	6016	Event study assets weighted with fixed effects	0.030423616260870978	NA	treat_a
0.04078242147151908	0.04038561331713619	1232960.6416760935	102.77616783085774	3.7184462538561724e-65	3	-112058.70125982816	224127.40251965632	224161.8504396153	11024431977324694	7252	7256	Linear model	NA	NA	treat_b
0.041657827161783845	-0.1693192842148099	NA	129.2322550986264	1.1501228597228642e-55	NA	NA	NA	NA	2459026040349879	5946	7256	Linear model with fixed effect	NA	NA	treat_b
0.028115472518090174	0.02771342431311985	1601231338.6734416	69.93060078493914	1.4110040877713362e-44	3	-116496.80722565833	233003.61445131665	233038.06237127562	18593705933236983e6	7252	7256	Linear model assets weighted	NA	NA	treat_b
0.6443541007047686	0.5657672501873268	1070084871.060491	NA	NA	NA	-106766.05913975966	216160.11827951932	225213.0316447379	NA	NA	7256	Linear model assets weighted with fixed effect	0.01489798019859534	NA	treat_b
0.044285138001764306	0.0433621242001655	1231046.971424088	47.9788470389703	5.116104487810607e-67	7	-112045.42886496392	224108.85772992784	224170.863985854	10984174729138336	7248	7256	Event study	NA	NA	treat_b
0.0676456542280804	-0.1391429401440345	NA	43.08232128995943	3.363082503573737e-83	NA	NA	NA	NA	2392343444822565.5	5938	7256	Event study with fixed effects	NA	NA	treat_b
0.043771308585154545	0.042847798535498915	1588720274.662757	NA	NA	NA	-114262.35737756656	228540.71475513311	228595.83142706746	NA	NA	7256	Event study assets weighted	NA	NA	treat_b
0.6451124825875559	0.5664013238754999	1069303308.0209175	NA	NA	NA	-106737.65867737419	216111.31735474837	225191.78905593415	NA	NA	7256	Event study assets weighted with fixed effects	0.016998618856302383	NA	treat_b
0.0332283890898305	0.032968387760137	1207434.2906462173	127.80084289956133	2.1457413583900897e-81	3	-172102.66274328253	344215.32548656507	344251.925494696	16262847351277066	11155	11159	Linear model	NA	NA	treat_c
0.032574794205900426	-0.18231439717968922	NA	153.71104108031938	2.2050797317625284e-66	NA	NA	NA	NA	3345775518468810.5	9130	11159	Linear model with fixed effect	NA	NA	treat_c
0.020570645605642774	0.020307240131578808	1538328709.8742313	78.09498143022887	5.454118845242257e-50	3	-179604.60793085728	359219.21586171456	359255.8158698455	263978079748981e8	11155	11159	Linear model assets weighted	NA	NA	treat_c
0.6566104869858517	0.5801511959005186	1007049124.7468233	NA	NA	NA	-163545.22646980535	331156.4529396107	346038.0162456462	NA	NA	11159	Linear model assets weighted with fixed effect	0.016148851420995758	NA	treat_c
