r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.016274521028401885	0.015776936061800195	551699.7117779152	32.70701914398566	5.838235970845556e-21	3	-86884.60523481449	173779.21046962898	173812.6535811642	1805233724388675.8	5931	5935	Linear model	NA	NA	all
0.014053644827535768	-0.2833089869693799	NA	32.49191319213869	9.740137536757118e-15	NA	NA	NA	NA	347672700013693.6	4559	5935	Linear model with fixed effect	NA	NA	all
0.016778746724502157	0.01628141680377615	793559606.2713283	33.737657891174685	1.2956001150547534e-21	3	-90891.5735378649	181793.1470757298	181826.590187265	37349692496723543e5	5931	5935	Linear model assets weighted	NA	NA	all
0.7148853679167781	0.6285685561401013	487622176.6391902	NA	NA	NA	-82026.60510918117	166813.21021836234	176043.50900208275	NA	NA	5935	Linear model assets weighted with fixed effect	0.0070613095989612296	NA	all
0.018965877587005884	0.017807241032780974	551130.3810213654	16.369134495064902	1.6920024007851217e-21	7	-86876.4753795616	173770.9507591232	173831.1483598866	1800294818435945	5927	5935	Event study	NA	NA	all
0.022696418553159847	-0.2742956388278508	NA	10.569018961591713	6.59794160678267e-18	NA	NA	NA	NA	344625012417880.6	4551	5935	Event study with fixed effects	NA	NA	all
0.020820283129533435	0.019663836694896464	792194143.0604163	NA	NA	NA	-88124.7769961883	176265.5539923766	176319.06297083295	NA	NA	5935	Event study assets weighted	NA	NA	all
0.7155927239068094	0.6291644086273362	487230896.48372346	NA	NA	NA	-82024.76504952266	166817.5300990453	176074.58337199388	NA	NA	5935	Event study assets weighted with fixed effects	0.00952474378070467	NA	all
0.06982388728659453	0.06742033143978976	562502.8005530329	29.050245443399948	4.107891711021824e-18	3	-17075.836321285376	34161.67264257075	34186.97502440075	367351314131435.9	1161	1165	Linear model	NA	NA	treat_a
0.010732439396903227	-0.2938285848786568	NA	4.827749055786639	0.008215364879616082	NA	NA	NA	NA	85456436348542.03	890	1165	Linear model with fixed effect	NA	NA	treat_a
0.01920585866314746	0.016671506876747344	824721592.3738334	7.578213398080776	5.07284873284301e-5	3	-17943.77545838595	35897.5509167719	35922.8532986019	7896723834209801e5	1161	1165	Linear model assets weighted	NA	NA	treat_a
0.6567553029529969	0.549055499590619	558495400.4167335	NA	NA	NA	-16266.265819614226	33090.53163922845	34502.4045453424	NA	NA	1165	Linear model assets weighted with fixed effect	0.02736780508945802	NA	treat_a
0.07095710143071494	0.06533627144801413	563130.9696069409	12.623954406928767	1.117632379860547e-15	7	-17075.126241067082	34168.252482134165	34213.79676942816	366903777692534.5	1157	1165	Event study	NA	NA	treat_a
0.02851891546126607	-0.2820906829966965	NA	2.5892097990543843	0.004263906501777539	NA	NA	NA	NA	83919977537811.17	882	1165	Event study with fixed effects	NA	NA	treat_a
0.01993824670720712	0.014008746039057107	825837471.6136531	NA	NA	NA	-17392.122119790914	34800.24423958183	34840.728050509824	NA	NA	1165	Event study assets weighted	NA	NA	treat_a
0.6672559972155074	0.5608684589102615	551131671.8580422	NA	NA	NA	-16288.382153810455	33142.764307620906	34574.87911919886	NA	NA	1165	Event study assets weighted with fixed effects	0.05712300129932546	NA	treat_a
0.041638437099729475	0.03974941956444633	553596.8778229739	22.042377226260236	5.667462447787082e-14	3	-22343.414634228313	44696.829268456626	44723.48129451585	466446583771994.6	1522	1526	Linear model	NA	NA	treat_b
0.009136657668667355	-0.2981671796007579	NA	5.366567250992542	0.004786403433272954	NA	NA	NA	NA	97567566022951.31	1164	1526	Linear model with fixed effect	NA	NA	treat_b
0.01732811462057613	0.015391179235465513	795570064.4496943	8.94615006457071	7.095314613409401e-6	3	-23452.252447056184	46914.50489411237	46941.15692017159	9633220891766028e5	1522	1526	Linear model assets weighted	NA	NA	treat_b
