r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.003899792420746176	0.003751046745149589	909952.8264208126	26.21785409963622	6.431745209605707e-17	3	-304222.89936372737	608455.7987274547	608495.3396101649	16634804199392522	20090	20094	Linear model	NA	NA	all
0.0226325563662946	-0.22639380783938323	NA	185.4037227524724	2.502210853434901e-80	NA	NA	NA	NA	2487687382251662	16013	20094	Linear model with fixed effect	NA	NA	all
0.017983804381871502	0.017837161843949456	1329294881.7975464	122.63702358607985	1.0325356497114045e-78	3	-320627.58217115776	641265.1643423155	641304.7052250257	35499529894912636e6	20090	20094	Linear model assets weighted	NA	NA	all
0.8063304925364185	0.7569089571798012	661323662.1275109	NA	NA	NA	-285185.8344425828	578543.6688851656	610856.4782358685	NA	NA	20094	Linear model assets weighted with fixed effect	0.0017980944051009251	NA	all
0.005013316080310417	0.004666561784410939	909534.6242364694	14.457834090577757	6.822832867301963e-19	7	-304211.661709136	608441.323418272	608512.4970071502	16616208431710420	20086	20094	Event study	NA	NA	all
0.035862012748231906	-0.21039828665103277	NA	59.53209204747962	3.4004126451792904e-119	NA	NA	NA	NA	2454014527758971.5	16005	20094	Event study with fixed effects	NA	NA	all
0.020337246066165493	0.019995832181990636	1327833266.7982109	NA	NA	NA	-309292.52533263364	618601.0506652673	618664.3160776035	NA	NA	20094	Event study assets weighted	NA	NA	all
0.8064790430914014	0.7570498852130914	661131938.5790815	NA	NA	NA	-285176.7496968119	578531.4993936238	610868.0332739528	NA	NA	20094	Event study assets weighted with fixed effects	0.002563746411981427	NA	all
0.03739632246129589	0.036822204959781835	794115.4790324824	65.13705358688671	2.581737597172145e-41	3	-75527.74608909598	151065.49217819195	151098.11202907044	3172015552016115	5030	5034	Linear model	NA	NA	treat_a
0.032251410277009424	-0.21797415655809238	NA	66.63579315299688	3.4057513332722025e-29	NA	NA	NA	NA	626956691140234.9	3999	5034	Linear model with fixed effect	NA	NA	treat_a
0.017780568432705215	0.01719475167431528	1221355279.3443346	30.351757914147818	1.935910068293416e-19	3	-79693.72182631926	159397.44365263853	159430.063503517	7503294853462856e6	5030	5034	Linear model assets weighted	NA	NA	treat_a
0.772028544120985	0.7127240016426934	660325321.9716597	NA	NA	NA	-71454.44114671499	144988.88229342998	151773.81127615305	NA	NA	5034	Linear model assets weighted with fixed effect	0.001957778377341346	NA	treat_a
0.04264230878854859	0.041308941530593946	792263.7201953533	31.98091788601454	1.0081406532568858e-43	7	-75513.99145771633	151045.98291543266	151104.69864701392	3154728738549687.5	5026	5034	Event study	NA	NA	treat_a
0.05122482568183798	-0.19648846212561	NA	21.547599982591745	1.2756942856771732e-39	NA	NA	NA	NA	614664748926969.1	3991	5034	Event study with fixed effects	NA	NA	treat_a
0.026055255362231966	0.024698786358558267	1216683624.3492255	NA	NA	NA	-76578.19209281848	153172.38418563697	153224.57594704253	NA	NA	5034	Event study assets weighted	NA	NA	treat_a
0.772588760414637	0.7132145405078597	659761311.0036577	NA	NA	NA	-71436.6750672136	144959.3501344272	151763.85102767736	NA	NA	5034	Event study assets weighted with fixed effects	0.004410363996667166	NA	treat_a
0.029444332243658743	0.028956207012599267	800937.0426505202	60.321266695756336	2.066201385305834e-38	3	-89607.469515046	179224.939030092	179258.41070353286	3826548372618426	5965	5969	Linear model	NA	NA	treat_b
0.032109130504758325	-0.21941581362626206	NA	78.57339912730836	2.6903688573045816e-34	NA	NA	NA	NA	740794801360782.25	4737	5969	Linear model with fixed effect	NA	NA	treat_b
0.01962350428798115	0.019130439830791435	1229515804.9485493	39.7990648115904	1.8581294368223933e-25	3	-94661.76519273453	189333.53038546906	189367.00205890991	9017344868698034e6	5965	5969	Linear model assets weighted	NA	NA	treat_b
0.7704523610294285	0.7104944401148836	667969975.0937209	NA	NA	NA	-84731.32741328151	171936.65482656303	180217.54683582764	NA	NA	5969	Linear model assets weighted with fixed effect	0.0020825855852175668	NA	treat_b
0.03430769274541447	0.033173680641609415	799195.8201351962	30.25337439547415	2.1159025453490614e-41	7	-89592.47687967216	179202.95375934432	179263.20277153785	3807373909131472	5961	5969	Event study	NA	NA	treat_b
0.048672600526629195	-0.20057558047305513	NA	24.194901567835508	4.380146114525407e-45	NA	NA	NA	NA	728117615459545.75	4729	5969	Event study with fixed effects	NA	NA	treat_b
0.027570235574771118	0.026428311677610172	1224933339.8159556	NA	NA	NA	-90840.92173364262	181697.84346728525	181751.39814479058	NA	NA	5969	Event study assets weighted	NA	NA	treat_b
0.7709365856135763	0.7109218741682857	667476688.2344619	NA	NA	NA	-84717.66022444784	171915.32044889568	180216.2954622248	NA	NA	5969	Event study assets weighted with fixed effects	0.004187665590290934	NA	treat_b
0.017137970401627855	0.016821020375959228	807580.6401614806	54.071522365315715	1.2163259208498701e-34	3	-139795.9962815306	279601.9925630612	279637.6851734821	6067290919852820	9303	9307	Linear model	NA	NA	treat_c
0.02962392496982148	-0.22727911854183747	NA	112.31358930669774	8.965106231588678e-49	NA	NA	NA	NA	1076910946226155.1	7358	9307	Linear model with fixed effect	NA	NA	treat_c
0.02102673120233178	0.020711035211103845	1199035749.4456086	66.60436554974724	1.3193529867152528e-42	3	-148124.2806419838	296258.5612839676	296294.2538943885	13374799634757254e6	9303	9307	Linear model assets weighted	NA	NA	treat_c
0.7789227951753791	0.7202033907115569	640911294.6390358	NA	NA	NA	-131869.57128618236	267647.1425723647	281595.81472486357	NA	NA	9307	Linear model assets weighted with fixed effect	2.284444958942089e-4	NA	treat_c
0.020390001362535045	0.019652581210856	806416.8833220473	27.65045315904673	6.823886273735949e-38	7	-139780.57354967916	279579.1470993583	279643.393798116	6047215856083946	9299	9307	Event study	NA	NA	treat_c
0.044818367234239556	-0.2093769080977097	NA	34.487158030649276	2.0599966675817995e-66	NA	NA	NA	NA	1060048348706066.5	7350	9307	Event study with fixed effects	NA	NA	treat_c
0.02723036167011561	0.026498090730411428	1195487681.2310116	NA	NA	NA	-142341.73241151214	284699.4648230243	284756.57299969776	NA	NA	9307	Event study assets weighted	NA	NA	treat_c
0.7795605769937095	0.7208966978916274	640116746.042734	NA	NA	NA	-131867.3421669455	267648.684333891	281618.7720526425	NA	NA	9307	Event study assets weighted with fixed effects	0.003112668227102766	NA	treat_c
0.0067616406102436275	0.006428823110168902	968373.1050883199	20.316361395434154	4.0725255640708694e-13	3	-136165.1015479969	272340.2030959938	272375.70404913614	8395644151804603	8953	8957	Linear model	NA	NA	cit_m22
0.03451272184803169	-0.5353167725726258	NA	100.66194234074783	1.11250158681045e-43	NA	NA	NA	NA	987624928804864.1	5632	8957	Linear model with fixed effect	NA	NA	cit_m22
0.01492010447653725	0.01459002074074256	1425446974.8925335	45.20096829555635	5.533312462183361e-29	3	-142617.94030445023	285245.88060890045	285281.3815620428	18191592447395653e6	8953	8957	Linear model assets weighted	NA	NA	cit_m22
0.8463945734412606	0.7555197795876896	710009979.3014463	NA	NA	NA	-126562.64029488781	259785.28058977562	283428.915382598	NA	NA	8957	Linear model assets weighted with fixed effect	2.623343255973021e-4	NA	cit_m22
0.006524600498851219	0.00574749380575601	968705.0732044567	8.396016347336705	2.8762805436556006e-10	7	-136166.17023153437	272350.34046306874	272414.242178725	8397647804207012	8949	8957	Event study	NA	NA	cit_m22
0.052488397067628006	-0.5088751628489196	NA	31.15473670135131	2.914632299825046e-59	NA	NA	NA	NA	969237089461238.4	5624	8957	Event study with fixed effects	NA	NA	cit_m22
0.016045274125846665	0.015275614601752419	1424951014.9576514	NA	NA	NA	-138093.3132872621	276202.6265745242	276259.428099552	NA	NA	8957	Event study assets weighted	NA	NA	cit_m22
0.8467019458553698	0.7558788454979893	709488395.0704685	NA	NA	NA	-126560.43250715366	259786.86501430732	283451.80037901516	NA	NA	8957	Event study assets weighted with fixed effects	0.0022628611732400383	NA	cit_m22
