r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.017195498886311788	0.01696504605659943	661642.3998383102	74.61613254117027	7.715735576140433e-48	3	-189682.52056975392	379375.04113950784	379412.32636044634	5600837891385035	12794	12798	Linear model	NA	NA	all
0.03511719893734848	-0.22922899006458453	NA	182.79539387436927	1.0556107390871282e-78	NA	NA	NA	NA	1779362951035141	10045	12798	Linear model with fixed effect	NA	NA	all
0.02945585534543713	0.02922827738436462	1033707051.1737192	129.4319327170342	1.3427743601426386e-82	3	-201332.10873025443	402674.21746050887	402711.50268144737	13671032124266328e6	12794	12798	Linear model assets weighted	NA	NA	all
0.6454384564676398	0.5480752915753373	705296880.9703553	NA	NA	NA	-182454.59994732868	370425.19989465736	390991.7277643323	NA	NA	12798	Linear model assets weighted with fixed effect	0.0034635757864515115	NA	all
0.021373485000157417	0.020837880183503854	660337.7870047331	39.90532634433465	6.6278614489077045e-56	7	-189655.25988777544	379328.51977555087	379395.6331732402	5577028249783282	12790	12798	Event study	NA	NA	all
0.05700787652901678	-0.20229851589699832	NA	60.67792534847409	3.320151807596333e-120	NA	NA	NA	NA	1738993840261493.3	10037	12798	Event study with fixed effects	NA	NA	all
0.0358778163201422	0.03535014976144335	1030442519.0375655	NA	NA	NA	-191781.90345257343	383579.80690514686	383639.46325864847	NA	NA	12798	Event study assets weighted	NA	NA	all
0.6458469314197335	0.5484610123919826	704995828.8733385	NA	NA	NA	-182455.04937745817	370432.09875491634	391020.9977571544	NA	NA	12798	Event study assets weighted with fixed effects	0.004611642111087333	NA	all
0.04795168342704599	0.04715209077594895	646328.7512953161	59.970140247352695	8.058177853193014e-38	3	-52915.65435249214	105841.30870498429	105872.21870566576	1492170333170438.5	3572	3576	Linear model	NA	NA	treat_a
0.05698361285247037	-0.19974504770548696	NA	84.89987782704202	1.583185409015156e-36	NA	NA	NA	NA	476249656469809	2810	3576	Linear model with fixed effect	NA	NA	treat_a
0.05665361110329745	0.05586132690209644	1004397540.2936926	71.50667780250473	6.604772542450741e-45	3	-55903.7516188009	111817.5032376018	111848.41323828328	36034851044823264e5	3572	3576	Linear model assets weighted	NA	NA	treat_a
0.6670589114552021	0.5756633185213361	673353364.8413852	NA	NA	NA	-50890.709797231204	103323.41959446241	108089.74169954463	NA	NA	3576	Linear model assets weighted with fixed effect	0.006760398485673447	NA	treat_a
0.06167493329608152	0.05983404891633737	642013.1775733094	33.502882622454756	1.8656926443886157e-45	7	-52889.69376497973	105797.38752995947	105853.02553118611	1470661523194310.8	3568	3576	Event study	NA	NA	treat_a
0.08682727192208606	-0.1650936841108288	NA	26.64227790045493	5.141026488656374e-49	NA	NA	NA	NA	461177773760859.2	2802	3576	Event study with fixed effects	NA	NA	treat_a
0.07800744143978422	0.07619859953677932	993521008.7067952	NA	NA	NA	-53485.86996480723	106987.73992961446	107037.19593070481	NA	NA	3576	Event study assets weighted	NA	NA	treat_a
0.6678090753627153	0.5761661114995387	672954321.2206328	NA	NA	NA	-50871.55684162032	103291.11368324063	108075.98178873173	NA	NA	3576	Event study assets weighted with fixed effects	0.008998309414076089	NA	treat_a
0.040226934593855915	0.039526370312537584	653289.2852266162	57.420761615415316	2.344680025352614e-36	3	-60921.04781790559	121852.09563581119	121883.70639116225	1754094118688721.8	4110	4114	Linear model	NA	NA	treat_b
0.05344233342754969	-0.2079403296967075	NA	90.98475809757538	3.639277598003115e-39	NA	NA	NA	NA	575156375160803.5	3223	4114	Linear model with fixed effect	NA	NA	treat_b
0.05593781817313516	0.055248721690049796	1025053809.1075666	81.17559666345105	5.1380558187061475e-51	3	-64476.73197443223	128963.46394886446	128995.07470421553	43185221305359784e5	4110	4114	Linear model assets weighted	NA	NA	treat_b
0.651280244942926	0.5542932403512291	704064634.5177475	NA	NA	NA	-58665.557326302136	119123.11465260427	124787.76201151503	NA	NA	4114	Linear model assets weighted with fixed effect	0.006406119664470911	NA	treat_b
0.05340324494111078	0.05178946576784915	649105.3675636454	33.092039992793445	4.522700093501756e-45	7	-60892.61251463499	121803.22502926998	121860.1243889019	1730012917288933.5	4106	4114	Event study	NA	NA	treat_b
0.07938728110345354	-0.17775431191959434	NA	27.723939014608373	2.0532402393876443e-51	NA	NA	NA	NA	559391459206931.06	3215	4114	Event study with fixed effects	NA	NA	treat_b
0.07676413408642835	0.07519018107585962	1014177884.0700389	NA	NA	NA	-61565.32702319734	123146.65404639467	123197.23125495638	NA	NA	4114	Event study assets weighted	NA	NA	treat_b
0.6519320667349687	0.5547112256550315	703734419.9850063	NA	NA	NA	-58649.70128189945	119097.4025637989	124781.0163759203	NA	NA	4114	Event study assets weighted with fixed effects	0.008263330603199948	NA	treat_b
0.031699386487680066	0.031241921630902558	642085.4065381861	69.29359931816509	4.348951555838872e-44	3	-93982.65116354242	187975.30232708485	188009.086526159	2617937799987104	6350	6354	Linear model	NA	NA	treat_c
0.04837929677109	-0.22158947820029606	NA	125.80072023850926	5.1153540198578753e-54	NA	NA	NA	NA	781520393798662.4	4949	6354	Linear model with fixed effect	NA	NA	treat_c
0.052440455036191755	0.051992789109437165	990369714.3768537	117.14193978614693	7.764493577571575e-74	3	-100033.21495866441	200076.42991732882	200110.21411640296	6228284286833558e6	6350	6354	Linear model assets weighted	NA	NA	treat_c
0.6697723758452796	0.5757459866016301	662528416.6393894	NA	NA	NA	-90293.36687462995	183404.7337492599	192925.1210483546	NA	NA	6354	Linear model assets weighted with fixed effect	0.0021213370328192482	NA	treat_c
0.040563590377066916	0.03950527728734732	639341.0975728896	38.32853507256018	4.994963724424673e-53	7	-93953.43371956285	187924.8674391257	187985.67899745915	2593972169784058	6346	6354	Event study	NA	NA	treat_c
0.07131695799075956	-0.19407475528935514	NA	37.94374113583102	1.7035453498574966e-72	NA	NA	NA	NA	762682793935198.9	4941	6354	Event study with fixed effects	NA	NA	treat_c
0.06690900045931758	0.06587974785976114	983089199.0928555	NA	NA	NA	-95374.47178510185	190764.9435702037	190818.99828872233	NA	NA	6354	Event study assets weighted	NA	NA	treat_c
0.6704872951275276	0.576321753884878	662078695.8522127	NA	NA	NA	-90272.7352884339	183371.4705768678	192918.88523522185	NA	NA	6354	Event study assets weighted with fixed effects	0.004281673253404339	NA	treat_c
0.01844626937398225	0.017930747456636587	705389.7554573826	35.78173643704884	6.667171810670679e-23	3	-85083.19895787901	170176.39791575802	170209.65303845325	2842146726979339.5	5712	5716	Linear model	NA	NA	cit_m22
