r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.34109186556450244	0.3410000402101425	600918.0615047101	3714.5717317623235	0	3	-317045.2561492927	634100.5122985854	634140.3985437659	7773453875764788	21527	21531	Linear model	NA	NA	all
0.03807076938052776	-0.17552141759775441	NA	348.63833720601974	3.2193055321051113e-149	NA	NA	NA	NA	2571978814794230.5	17618	21531	Linear model with fixed effect	NA	NA	all
0.5568230846587615	0.5567613235798363	851521306.1581475	9015.760319419755	0	3	-332845.6745439624	665701.3490879248	665741.2353331053	1560898088952818e7	21527	21531	Linear model assets weighted	NA	NA	all
0.7766461466465339	0.7269894139491242	668292270.363038	NA	NA	NA	-305385.90437538846	618605.8087507769	649852.6932251735	NA	NA	21531	Linear model assets weighted with fixed effect	0.050106813352231216	NA	all
0.3444466202975752	0.3442334123963572	599442.0516080047	1615.543412461247	0	7	-316990.30484017363	633998.6096803473	634070.4049216722	7733876232358724	21523	21531	Event study	NA	NA	all
0.059077175357859835	-0.15037299344379762	NA	110.56688506281179	4.275904959664575e-224	NA	NA	NA	NA	2515812488385405.5	17610	21531	Event study with fixed effects	NA	NA	all
0.5654420395525492	0.5653007067586482	843278759.4233809	NA	NA	NA	-320796.3618505092	641608.7237010184	641672.5416933071	NA	NA	21531	Event study assets weighted	NA	NA	all
0.7856927832058315	0.7379878263726037	654692595.8763348	NA	NA	NA	-305362.8801217207	618567.7602434414	649846.5537139825	NA	NA	21531	Event study assets weighted with fixed effects	0.08858091308560889	NA	all
0.31648784627167115	0.316146772342665	860198.9787932001	927.9156785564884	0	3	-90742.48632770966	181494.97265541932	181528.48354474746	4448533006098588	6012	6016	Linear model	NA	NA	treat_a
0.07587665832363358	-0.1275054564266418	NA	202.39285637833586	3.344273480489068e-85	NA	NA	NA	NA	1243039307589001	4930	6016	Linear model with fixed effect	NA	NA	treat_a
0.4677372084985396	0.4674716083031796	1192017590.4473867	1761.0574716051735	0	3	-94919.01981274667	189848.03962549334	189881.5505148215	8542486486847196e6	6012	6016	Linear model assets weighted	NA	NA	treat_a
0.7770756419981075	0.7277933387370314	852237529.5979732	NA	NA	NA	-87044.04360788823	176268.08721577647	183573.46108931283	NA	NA	6016	Linear model assets weighted with fixed effect	0.0567990772250595	NA	treat_a
0.31998025594541907	0.31918795597731275	858284.1395527093	403.86251271756674	0	7	-90727.07753340431	181472.15506680863	181532.4746675993	4425803198560068.5	6008	6016	Event study	NA	NA	treat_a
0.09724169539374865	-0.10322860670593292	NA	53.01791435048468	6.388905943119611e-102	NA	NA	NA	NA	1214301173090516.3	4922	6016	Event study with fixed effects	NA	NA	treat_a
0.4761134676623625	0.47550308055744184	1182994571.1330402	NA	NA	NA	-91797.14395134902	183610.28790269804	183663.90532562308	NA	NA	6016	Event study assets weighted	NA	NA	treat_a
0.7819387923508083	0.733515204386451	843232813.5982203	NA	NA	NA	-86994.75834678218	176177.51669356436	183509.69927856323	NA	NA	6016	Event study assets weighted with fixed effects	0.07737524010548247	NA	treat_a
0.259212168853624	0.25890572049545535	978764.3731951248	845.8592188343874	0	3	-110383.41675564325	220776.8335112865	220811.28143124547	6947268771607801	7252	7256	Linear model	NA	NA	treat_b
0.04805882422582681	-0.16150912045772392	NA	150.09213600536125	2.557786334459e-64	NA	NA	NA	NA	2022022323385753.8	5946	7256	Linear model with fixed effect	NA	NA	treat_b
0.40838038187894043	0.4081356412757464	1335575280.1806645	1668.6253794804948	0	3	-115180.49046506098	230370.98093012196	230405.42885008093	12935837158123099e6	7252	7256	Linear model assets weighted	NA	NA	treat_b
0.7311583899964632	0.6717526286476507	994621646.0460647	NA	NA	NA	-106058.13627160186	214744.27254320373	223797.1859084223	NA	NA	7256	Linear model assets weighted with fixed effect	0.029716140584291284	NA	treat_b
0.26347340101338845	0.26276207565564746	976214.5046036042	370.39787510196766	0	7	-110362.48716498108	220742.97432996216	220804.98058588832	6907306013220841	7248	7256	Event study	NA	NA	treat_b
