r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.23337179599920654	0.23307369041113113	230432.01284141245	782.8494511149916	0	3	-106262.76833051504	212535.53666103008	212570.29386153482	409658110262647.7	7715	7719	Linear model	NA	NA	all
0.01034457010780062	-0.20418738891817667	NA	33.150734190845746	4.7593046341441686e-15	NA	NA	NA	NA	154535830341629.78	6343	7719	Linear model with fixed effect	NA	NA	all
0.357417931559594	0.35716806166907933	373923045.86322445	1430.4161690842454	0	3	-112802.70619671734	225615.41239343467	225650.1695939394	10786992972161736e5	7715	7719	Linear model assets weighted	NA	NA	all
0.6975653025611874	0.6317729934007327	283003188.38119835	NA	NA	NA	-102519.72976511218	207799.45953022435	217392.44686953514	NA	NA	7719	Linear model assets weighted with fixed effect	0.010753349135245949	NA	all
0.24000118125014713	0.2393112588365498	229493.0243683424	347.86691448210377	0	7	-106229.24832487479	212476.49664974958	212539.05961065812	406115608930281.2	7711	7719	Event study	NA	NA	all
0.036743037358706036	-0.17354652528263714	NA	24.16459477532671	2.526383539611847e-45	NA	NA	NA	NA	150413679405923.3	6335	7719	Event study with fixed effects	NA	NA	all
0.3702271822067953	0.3696554781833803	370273389.02158	NA	NA	NA	-106981.66377783605	213979.3275556721	214034.9390764797	NA	NA	7719	Event study assets weighted	NA	NA	all
0.7081850835887964	0.644478685893975	278077807.7271053	NA	NA	NA	-102464.79417055493	207697.58834110986	217318.38144082445	NA	NA	7719	Event study assets weighted with fixed effects	0.045490047349592944	NA	all
0.22879246205296586	0.227272342070153	388749.81135045004	150.5094759886063	2.048202254185245e-85	3	-21803.97243434101	43617.94486868202	43644.59689474124	230014404885665.97	1522	1526	Linear model	NA	NA	treat_a
0.011261462945596058	-0.20529677778414546	NA	7.1242748294768115	8.384056434298069e-4	NA	NA	NA	NA	83596614779801.9	1251	1526	Linear model with fixed effect	NA	NA	treat_a
0.22930647826390257	0.22778737145364747	632620429.0613812	150.94822609964646	1.2345372808162344e-85	3	-23132.021037023187	46274.042074046374	46300.6941001056	609117500258557e6	1522	1526	Linear model assets weighted	NA	NA	treat_a
0.6525392191107264	0.5750780345981219	469277090.8060887	NA	NA	NA	-21043.886226695267	42645.772453390535	44132.95550749512	NA	NA	1526	Linear model assets weighted with fixed effect	0.0034097498570374585	NA	treat_a
0.23887318513813502	0.23536337769147309	386709.2052124252	68.05877210309897	1.4367578840498667e-85	7	-21793.933238046808	43605.866476093615	43653.84012300021	227007806263166.8	1518	1526	Event study	NA	NA	treat_a
0.05126292108782969	-0.16397751033069974	NA	6.716277072804424	3.0834565612788254e-10	NA	NA	NA	NA	80214541196517.39	1243	1526	Event study with fixed effects	NA	NA	treat_a
0.24939793213485129	0.24593665777710683	625141998.5943238	NA	NA	NA	-21913.381990364975	43842.76398072995	43885.40722242471	NA	NA	1526	Event study assets weighted	NA	NA	treat_a
0.6582220650879761	0.5806827427668251	466171942.1319225	NA	NA	NA	-21008.228893510546	42582.45778702109	44090.96246197306	NA	NA	1526	Event study assets weighted with fixed effects	0.019709341654121082	NA	treat_a
0.15424754269040705	0.15299022982027377	411439.38837175054	122.68031796577978	5.473976384308848e-73	3	-29006.32889493838	58022.65778987676	58050.71700187466	341611823272907.3	2018	2022	Linear model	NA	NA	treat_b
0.009971940637517026	-0.20532934215155296	NA	8.360076919909373	2.4402141362738291e-4	NA	NA	NA	NA	109968067886599.53	1660	2022	Linear model with fixed effect	NA	NA	treat_b
0.1687889761482713	0.1675532808699981	654331810.4947371	136.59433609243155	1.4387488302408375e-80	3	-30707.80713947358	61425.61427894716	61453.67349094507	8640069385786969e5	2018	2022	Linear model assets weighted	NA	NA	treat_b
0.6668070894611089	0.5933678307976455	457320508.56450313	NA	NA	NA	-27877.076489844032	56486.152979688064	58540.0872979345	NA	NA	2022	Linear model assets weighted with fixed effect	0.002717341560205422	NA	treat_b
0.16258206953302168	0.15967148089684047	409813.44947457855	55.85882783708584	2.654424080194647e-73	7	-28996.31650930238	58010.63301860476	58061.139600200986	338245385627689.44	2014	2022	Event study	NA	NA	treat_b
0.04464692638900241	-0.16874610276502788	NA	7.72036270484274	3.5776078614041046e-12	NA	NA	NA	NA	106116519285499.97	1652	2022	Event study with fixed effects	NA	NA	treat_b
0.18907688399816336	0.1862583826019305	646938615.9049934	NA	NA	NA	-29215.39374492113	58446.78748984226	58491.6822290389	NA	NA	2022	Event study assets weighted	NA	NA	treat_b
0.6709990915210071	0.5975116004624428	454984388.1577316	NA	NA	NA	-27844.89214960816	56429.78429921632	58506.165987061075	NA	NA	2022	Event study assets weighted with fixed effects	0.015264460140006375	NA	treat_b
0.20147167920551637	0.200714301727684	335336.7315771424	266.01223973831475	5.982588554396472e-154	3	-44785.17120442041	89580.34240884082	89610.64510907352	355681638572330.3	3163	3167	Linear model	NA	NA	treat_c
0.009201296042862187	-0.20741674238964514	NA	12.063483240280096	6.096398390130819e-6	NA	NA	NA	NA	119287976613481.95	2598	3167	Linear model with fixed effect	NA	NA	treat_c
0.27150514462731756	0.2708141915555129	537343489.7534976	392.9429590901167	6.263858218632966e-217	3	-47592.139771095695	95194.27954219139	95224.58224242409	9132783761762175e5	3163	3167	Linear model assets weighted	NA	NA	treat_c
0.6914440919374656	0.6234047783631518	386162671.4573257	NA	NA	NA	-43074.40758069542	87294.81516139084	90767.50460805748	NA	NA	3167	Linear model assets weighted with fixed effect	0.004610628337453848	NA	treat_c
0.2090299240018535	0.20727722044630204	333957.17229298543	119.2614252078053	8.37243521210189e-156	7	-44770.11164743411	89558.22329486822	89612.76815528706	352315034253002.6	3159	3167	Event study	NA	NA	treat_c
0.041549316009398124	-0.1716041951792453	NA	11.22777940084369	5.137946961374195e-19	NA	NA	NA	NA	115393411719678.69	2590	3167	Event study with fixed effects	NA	NA	treat_c
0.288332973247586	0.2867559966134401	531437201.06885993	NA	NA	NA	-45103.18116283219	90222.36232566438	90270.84664603669	NA	NA	3167	Event study assets weighted	NA	NA	treat_c
0.7011874476601518	0.6347333819660389	380310117.6580409	NA	NA	NA	-43035.86670484166	87225.73340968332	90722.66501653612	NA	NA	3167	Event study assets weighted with fixed effects	0.03604231535841296	NA	treat_c
0.2604684779658168	0.25982819093375265	270395.6650118976	406.79955226656676	2.226303202978946e-226	3	-48309.30529781667	96628.61059563333	96659.36870386818	253339371252289.38	3465	3469	Linear model	NA	NA	cit_m22
0.006842800224203683	-0.5186371996571701	NA	7.813199618347168	4.1534280078354605e-4	NA	NA	NA	NA	78880163386418.47	2268	3469	Linear model with fixed effect	NA	NA	cit_m22
0.3522355870226024	0.3516747520330116	449874107.72857326	628.0556555139148	0	3	-50869.66764889808	101749.33529779616	101780.09340603101	7012699598678696e5	3465	3469	Linear model assets weighted	NA	NA	cit_m22
0.764120684340985	0.638519899820829	335920670.01916885	NA	NA	NA	-46280.951851613296	94973.90370322659	102392.75940947211	NA	NA	3469	Linear model assets weighted with fixed effect	0.004675927473757668	NA	cit_m22
0.26996569261396985	0.26848917133350114	268809.0180310564	182.83901233598954	4.6821626416096744e-231	7	-48286.886229797135	96591.77245959427	96647.137054417	250085935373054.75	3461	3469	Event study	NA	NA	cit_m22
0.04440693499676558	-0.4663702431111578	NA	10.502344226655802	1.4719484483400834e-17	NA	NA	NA	NA	75896682937403.83	2260	3469	Event study with fixed effects	NA	NA	cit_m22
0.36324167343876723	0.3619538062657165	446293531.1878403	NA	NA	NA	-48491.834849463434	96999.66969892687	97048.88267210263	NA	NA	3469	Event study assets weighted	NA	NA	cit_m22
0.7713535218012175	0.6491389440737266	330949793.09693795	NA	NA	NA	-46231.80508878705	94881.6101775741	102318.92074876052	NA	NA	3469	Event study assets weighted with fixed effects	0.035195844901556694	NA	cit_m22
