r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.006613550844691253	0.006428470770944883	1294983.8782904884	35.733456934700406	5.2299144671540476e-23	3	-249527.4095620739	499064.8191241478	499103.2538599096	27002784211509680	16102	16106	Linear model	NA	NA	all
0.004227249705527828	-0.2725694448097504	NA	26.74897499118535	2.556561668901814e-12	NA	NA	NA	NA	2708648995953017.5	12602	16106	Linear model with fixed effect	NA	NA	all
0.08438253861173517	0.0842119478538067	1460602638.611862	494.64894602965467	1.6934288837786113e-307	3	-257435.81381943915	514881.6276388783	514920.0623746401	34351363813646774e6	16102	16106	Linear model assets weighted	NA	NA	all
0.812488607123858	0.760270621396343	747300416.1531857	NA	NA	NA	-231172.76268983266	469363.5253796653	496337.0229372807	NA	NA	16106	Linear model assets weighted with fixed effect	0.006750509426436513	NA	all
0.008523004903566335	0.008091874392591514	1293899.4152511295	19.768967137798306	1.459568216382715e-26	7	-249511.91546012525	499041.8309202505	499111.0134446217	26950880366880588	16098	16106	Event study	NA	NA	all
0.014222613125963552	-0.2605959040500523	NA	18.170389389473836	1.877954347701506e-33	NA	NA	NA	NA	2681460130737655.5	12594	16106	Event study with fixed effects	NA	NA	all
0.08902643106105068	0.08863030638826075	1457074928.8515663	NA	NA	NA	-255215.59167276457	510447.18334552913	510508.67892274796	NA	NA	16106	Event study assets weighted	NA	NA	all
0.8149313966110469	0.7633373147864785	742505180.6152353	NA	NA	NA	-231178.9985516272	469381.9971032544	496378.5555023269	NA	NA	16106	Event study assets weighted with fixed effects	0.019689986737724263	NA	all
0.014411301707208217	0.013587689981615192	1114252.57835185	17.49768884948123	2.823464668963107e-11	3	-55139.42166534521	110288.84333069042	110319.77843602713	4457196122025846.5	3590	3594	Linear model	NA	NA	treat_a
0.01716539919930207	-0.26889138364243914	NA	24.302820603150508	3.43976464942873e-11	NA	NA	NA	NA	508249824331928.06	2783	3594	Linear model with fixed effect	NA	NA	treat_a
0.18836790528360922	0.18768966119331698	1349136529.4803174	277.72878227725266	4.1436910059141546e-162	3	-57334.94507201715	114679.8901440343	114710.82524937102	653440805688972e7	3590	3594	Linear model assets weighted	NA	NA	treat_a
0.8267904091447865	0.7759747804381634	708505729.9457978	NA	NA	NA	-51278.52191125443	104189.04382250886	109237.65301346115	NA	NA	3594	Linear model assets weighted with fixed effect	0.029408201312527082	NA	treat_a
0.01816382662916769	0.016247247372727203	1112749.444807034	9.47721132227076	1.0480042623189129e-11	7	-55132.56671951318	110283.13343902637	110338.81662863246	4440225818329247.5	3586	3594	Event study	NA	NA	treat_a
0.04188546850429983	-0.2405425267257839	NA	12.131344560444504	8.430718022159158e-21	NA	NA	NA	NA	495466421232867.56	2775	3594	Event study with fixed effects	NA	NA	treat_a
