r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.02544402186103915	0.025215503185533783	3.128990987528658	111.34329307991713	3.6023893663416305e-71	3	-32756.38909421619	65522.77818843238	65560.06340937088	125260.73937285502	12794	12798	Linear model	NA	NA	all
0.043116272733933925	-0.21903843283462887	NA	226.30908399385342	7.331224820916804e-97	NA	NA	NA	NA	27444.372178367343	10045	12798	Linear model with fixed effect	NA	NA	all
0.012091910996015044	0.011860261451931087	3876.9096313953323	52.199157325451836	1.5892003646862442e-33	3	-41438.71353511675	82887.4270702335	82924.712291172	192299299542.33536	12794	12798	Linear model assets weighted	NA	NA	all
0.8085551718411428	0.7559841169373609	1926.573326909842	NA	NA	NA	-22905.368822286786	51326.73764457357	71893.26551424853	NA	NA	12798	Linear model assets weighted with fixed effect	4.1499892556695617e-4	NA	all
0.02982992887600724	0.02929895229290569	3.1224303145585717	56.17936802743347	1.1957152917706014e-79	7	-32727.525937287108	65473.051874574216	65540.1652722635	124697.01397601882	12790	12798	Event study	NA	NA	all
0.07946993565060177	-0.17365978215395517	NA	86.65004816423877	3.56752445465341e-172	NA	NA	NA	NA	26401.71315229888	10037	12798	Event study with fixed effects	NA	NA	all
0.013328023275447687	0.01278801515683381	3875.089209756852	NA	NA	NA	-33273.94708049408	66563.89416098816	66623.55051448975	NA	NA	12798	Event study assets weighted	NA	NA	all
0.8086201504350465	0.7559940286058873	1926.534198821369	NA	NA	NA	-22904.060161066038	51330.120322132076	71919.01932437014	NA	NA	12798	Event study assets weighted with fixed effects	7.54269662112228e-4	NA	all
0.053712544003347136	0.05291778970099836	3.3139340124529975	67.58383546286615	1.670615326682517e-42	3	-9356.657436561467	18723.314873122934	18754.2248738044	39228.27065812516	3572	3576	Linear model	NA	NA	treat_a
0.0601910014977763	-0.19566447318343405	NA	89.9846215977459	1.3201904681715684e-38	NA	NA	NA	NA	8394.239009765848	2810	3576	Linear model with fixed effect	NA	NA	treat_a
0.046287662672226004	0.045486672467303424	3747.5553748215775	57.788050824793935	1.791347045712001e-36	3	-11208.061664406578	22426.123328813155	22457.03332949462	50165779838.42882	3572	3576	Linear model assets weighted	NA	NA	treat_a
0.8071586182473899	0.7542217683545165	1901.642032134169	NA	NA	NA	-6524.18983448264	14590.37966896528	19356.7017740475	NA	NA	3576	Linear model assets weighted with fixed effect	0.0022410281770676166	NA	treat_a
0.0656178952617104	0.0637847465136252	3.294866883361854	35.795183195172065	1.188335518045667e-48	7	-9334.01969854758	18686.03939709516	18741.6773983218	38734.73527573838	3568	3576	Event study	NA	NA	treat_a
0.11227587720400474	-0.13262446074078627	NA	35.438600782274435	9.0603203462248e-66	NA	NA	NA	NA	7929.02437980503	2802	3576	Event study with fixed effects	NA	NA	treat_a
0.053034324628473684	0.05117648838194877	3736.369165630408	NA	NA	NA	-9621.342014103471	19258.684028206942	19308.14002929729	NA	NA	3576	Event study assets weighted	NA	NA	treat_a
0.8074170294214459	0.7542883226915307	1901.3845416864333	NA	NA	NA	-6524.145568085887	14596.291136171774	19381.15924166287	NA	NA	3576	Event study assets weighted with fixed effects	0.0035780444595189254	NA	treat_a
0.042708097864667366	0.0420093446514298	3.307815328237068	61.120431442156615	1.1823747995658128e-38	3	-10757.040778153092	21524.081556306184	21555.692311657247	44970.14962990961	4110	4114	Linear model	NA	NA	treat_b
0.0503466347932764	-0.21189087530104067	NA	85.43496494819301	7.017416717791013e-37	NA	NA	NA	NA	9884.054567732253	3223	4114	Linear model with fixed effect	NA	NA	treat_b
0.038779620238368985	0.038077999523214445	3884.3299972341965	55.27148700253372	5.093780412383769e-35	3	-13120.414563452268	26250.829126904537	26282.4398822556	62011760257.66913	4110	4114	Linear model assets weighted	NA	NA	treat_b
0.7893177942293217	0.7307222149363579	2055.163854191024	NA	NA	NA	-7590.4606749871555	16972.921349974313	22637.568708885072	NA	NA	4114	Linear model assets weighted with fixed effect	3.2329823381282985e-4	NA	treat_b
0.052939757218258665	0.05132518788083229	3.291692848563083	32.78877902057073	1.2091390987171998e-44	7	-10734.936960994271	21487.873921988543	21544.77328162046	44489.5028689092	4106	4114	Event study	NA	NA	treat_b
0.08995986642656387	-0.16422863744558103	NA	31.7811226001352	2.911438275034034e-59	NA	NA	NA	NA	9471.757452371194	3215	4114	Event study with fixed effects	NA	NA	treat_b
0.042731073675637554	0.041099100347758655	3878.2254580837193	NA	NA	NA	-11019.56041152621	22055.12082305242	22105.698031614123	NA	NA	4114	Event study assets weighted	NA	NA	treat_b
0.7894054813957622	0.7305831244108147	2055.694564358734	NA	NA	NA	-7590.295194721588	16978.590389443176	22662.204201564575	NA	NA	4114	Event study assets weighted with fixed effects	7.393695247593923e-4	NA	treat_b
0.044946878708267766	0.044495672509232254	3.0675183487294233	99.61494058448213	5.23089292488082e-63	3	-16135.935668890283	32281.871337780565	32315.655536854712	59751.397005677216	6350	6354	Linear model	NA	NA	treat_c
0.05608163936249347	-0.21170202972925423	NA	147.0190880795852	9.446187792831626e-63	NA	NA	NA	NA	13351.249319840827	4949	6354	Linear model with fixed effect	NA	NA	treat_c
0.050026274802420334	0.04957746831807486	3472.9936837668674	111.46513374332166	2.4466923075733827e-70	3	-20221.785988906	40453.571977812	40487.35617688615	76591700559.52693	6350	6354	Linear model assets weighted	NA	NA	treat_c
0.7913726297692122	0.7319697304193742	1844.3254249535782	NA	NA	NA	-11296.320921417037	25410.641842834073	34931.02914192878	NA	NA	6354	Linear model assets weighted with fixed effect	4.4509495555011824e-5	NA	treat_c
0.052704094989714685	0.05165917356912353	3.055997986653918	50.43833340108352	2.7068508284052637e-70	7	-16110.025793908046	32238.05158781609	32298.863146149557	59266.07896487056	6346	6354	Event study	NA	NA	treat_c
0.09730107656999054	-0.160665100293635	NA	53.25857900722326	2.091683397285627e-102	NA	NA	NA	NA	12768.22116197229	4941	6354	Event study with fixed effects	NA	NA	treat_c
0.05282405432380022	0.05177926522519749	3468.968494764021	NA	NA	NA	-16675.746383947044	33367.49276789409	33421.547486412725	NA	NA	6354	Event study assets weighted	NA	NA	treat_c
0.7914498012412714	0.7318519707115558	1844.73053474457	NA	NA	NA	-11298.157952471098	25422.315904942196	34969.73056329622	NA	NA	6354	Event study assets weighted with fixed effects	4.1439402753473686e-4	NA	treat_c
0.03539610471248058	0.03488948501957745	3.1690795227238095	69.8672104703401	2.2787781212748547e-44	3	-14701.721708224397	29413.443416448794	29446.698539144043	57365.987401936174	5712	5716	Linear model	NA	NA	cit_m22
0.053145478093501404	-0.5268830679163767	NA	99.45961602640712	9.417430721477499e-43	NA	NA	NA	NA	9267.905773605096	3544	5716	Linear model with fixed effect	NA	NA	cit_m22
0.01946534918571507	0.018950362499362994	3966.032286938597	37.79777167367144	3.5235009284486996e-24	3	-18123.263255696977	36256.52651139395	36289.7816340892	89846401921.13702	5712	5716	Linear model assets weighted	NA	NA	cit_m22
0.8544756187195077	0.7649980675281114	1941.0935718974931	NA	NA	NA	-9418.93242314774	23191.86484629548	37671.1452678068	NA	NA	5716	Linear model assets weighted with fixed effect	3.179024132726749e-5	NA	cit_m22
0.037225370718482254	0.03604467303015524	3.167182341654445	31.52828288435838	3.4197473037049346e-43	7	-14696.296677543309	29410.593355086618	29470.452575938067	57257.19906802239	5708	5716	Event study	NA	NA	cit_m22
