r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.006987953810225892	0.006850961437441572	1.9507038001943413	51.0098019925837	7.622418909088565e-33	3	-45393.0504295853	90796.1008591706	90836.03770435319	82748.86464375064	21746	21750	Linear model	NA	NA	all
0.0037871107913676	-0.27811668991260885	NA	32.22157775245659	1.0786433126516722e-14	NA	NA	NA	NA	12299.754550100191	16952	21750	Linear model with fixed effect	NA	NA	all
0.06375229198338216	0.0636231306146684	1919.5575917743736	493.5863766251703	2.54097849578794e-310	3	-52666.365373669134	105342.73074733827	105382.66759252085	80127515516.6227	21746	21750	Linear model assets weighted	NA	NA	all
0.72958145822717	0.652957286539371	1168.6037436421261	NA	NA	NA	-24653.918184405702	58913.836368811404	97277.16985120173	NA	NA	21750	Linear model assets weighted with fixed effect	0.002854690458334086	NA	all
0.009248058051587807	0.008929078031643	1.9486618545287318	28.992593495948345	4.264825625183833e-40	7	-45368.27062270688	90754.54124541375	90826.42756674241	82560.52749248764	21742	21750	Event study	NA	NA	all
0.012943868136418167	-0.2669667027798066	NA	22.219699024553297	7.25163223110574e-42	NA	NA	NA	NA	12186.700534197471	16944	21750	Event study with fixed effects	NA	NA	all
0.06781855528998404	0.0675184324809982	1915.5607775503333	NA	NA	NA	-50452.92075794283	100921.84151588567	100985.7404681778	NA	NA	21750	Event study assets weighted	NA	NA	all
0.731716928713944	0.6556368910882653	1164.083458660464	NA	NA	NA	-24606.11881666077	58824.23763332154	97211.53322282142	NA	NA	21750	Event study assets weighted with fixed effects	0.010729055749972072	NA	all
0.008650562970586032	0.008002480967734038	2.0240493347703583	13.347945063304472	1.1328287279229934e-8	3	-9753.708690398113	19517.417380796225	19549.578824217853	18800.103731282496	4589	4593	Linear model	NA	NA	treat_a
0.008259471152849989	-0.2835604589814298	NA	14.774329977406365	4.0753165643832337e-7	NA	NA	NA	NA	2537.406809179588	3548	4593	Linear model with fixed effect	NA	NA	treat_a
0.11445711047639691	0.11387819814940403	2236.840466497307	197.71061202119438	1.365680871827804e-120	3	-12094.000839206332	24198.001678412664	24230.163121834292	22960856245.777332	4589	4593	Linear model assets weighted	NA	NA	treat_a
0.8108412704100929	0.7548357645281248	1176.5675269817712	NA	NA	NA	-5160.901563651562	12421.803127303125	19175.70624584521	NA	NA	4593	Linear model assets weighted with fixed effect	0.011746083930273765	NA	treat_a
0.011941067725051609	0.010432580805547875	2.0215686541916926	7.915923943828416	1.4183766845162299e-9	7	-9746.073428017022	19510.146856034044	19568.037454192974	18737.702091253737	4585	4593	Event study	NA	NA	treat_a
0.0286731164503845	-0.25998108736153513	NA	10.449914848792181	1.3021505089676546e-17	NA	NA	NA	NA	2485.177701795653	3540	4593	Event study with fixed effects	NA	NA	treat_a
0.12134201849844728	0.12000055593126924	2229.099727884757	NA	NA	NA	-10873.76288478092	21763.52576956184	21814.984079036443	NA	NA	4593	Event study assets weighted	NA	NA	treat_a
0.8139553356623535	0.7586674862603184	1167.3369114862337	NA	NA	NA	-5115.064718958839	12336.129437917678	19109.32942251274	NA	NA	4593	Event study assets weighted with fixed effects	0.028015421259379503	NA	treat_a
0.012032221487534614	0.011449578803135574	2.150764636182078	20.6511157004352	2.6947337825168086e-13	3	-11120.622336229098	22251.244672458197	22283.920820227708	23531.386202519003	5087	5091	Linear model	NA	NA	treat_b
0.007576474617792022	-0.29192730030573877	NA	14.925087423818116	3.4892657744673954e-7	NA	NA	NA	NA	3412.7475273085297	3910	5091	Linear model with fixed effect	NA	NA	treat_b
0.09490304039166976	0.0943692698237858	2557.66522008762	177.79743976503084	1.255130241290237e-109	3	-13867.203145474312	27744.406290948624	27777.082438718135	33277380560.119263	5087	5091	Linear model assets weighted	NA	NA	treat_b
0.8091151904327201	0.7511898384897683	1340.6091494535908	NA	NA	NA	-6213.328564295279	14798.657128590557	22549.439379518728	NA	NA	5091	Linear model assets weighted with fixed effect	0.006655546701280546	NA	treat_b
0.016921246629316565	0.015567410061621434	2.1462804298656284	12.49873657802245	5.637760071130584e-16	7	-11107.994487195816	22233.988974391632	22292.806040376752	23414.939551861742	5083	5091	Event study	NA	NA	treat_b
0.026133448420691093	-0.27036923309551053	NA	10.4709126288575	1.1169732653604649e-17	NA	NA	NA	NA	3348.93377759337	3902	5091	Event study with fixed effects	NA	NA	treat_b
0.10298000556184927	0.10174468390907188	2547.22917634059	NA	NA	NA	-12174.395315794885	24364.79063158977	24417.07246802099	NA	NA	5091	Event study assets weighted	NA	NA	treat_b
0.8123050375153351	0.7551595696958113	1329.8715325389003	NA	NA	NA	-6164.675739459926	14707.351478919853	22477.73941850973	NA	NA	5091	Event study assets weighted with fixed effects	0.023255175103193082	NA	treat_b
0.00849368366145038	0.008173567545542548	2.0137667439616624	26.53313357049376	4.4132405103183925e-17	3	-19695.716970079204	39401.43394015841	39437.12063755387	37681.4433895067	9292	9296	Linear model	NA	NA	treat_c
0.006580344273167004	-0.2844395187064839	NA	23.80972366868705	4.9392961523561e-11	NA	NA	NA	NA	5660.732419741922	7189	9296	Linear model with fixed effect	NA	NA	treat_c
0.09094962553501647	0.0906561310103291	2171.1224473649618	309.88525469733696	9.236605702424936e-192	3	-24435.164171237702	48880.328342475404	48916.015039870865	43800375756.052185	9292	9296	Linear model assets weighted	NA	NA	treat_c
0.7773887027725478	0.7119749432448264	1221.8992028786204	NA	NA	NA	-10900.416871077967	26024.833742155934	41098.89472199759	NA	NA	9296	Linear model assets weighted with fixed effect	0.006975776189106164	NA	treat_c
0.012008117907401748	0.011263507315816157	2.010627448795513	16.12670843404103	3.1531236116921234e-21	7	-19679.212678687105	39376.42535737421	39440.66141268604	37547.879989150366	9288	9296	Event study	NA	NA	treat_c
0.020086019009782866	-0.2683888669132526	NA	14.719424899264942	2.7381449491516494e-26	NA	NA	NA	NA	5583.773995986884	7181	9296	Event study with fixed effects	NA	NA	treat_c
0.09747104056985412	0.09679084001903471	2163.7865292194388	NA	NA	NA	-21985.707292549705	43987.41458509941	44044.51330093214	NA	NA	9296	Event study assets weighted	NA	NA	treat_c
0.7804359892809254	0.7157989862646151	1213.7606606381883	NA	NA	NA	-10847.23162818833	25924.46325637666	41019.93625465559	NA	NA	9296	Event study assets weighted with fixed effects	0.02056910841168047	NA	treat_c
0.014974533633273208	0.014673670631939473	1.9301125406423612	49.77193462436207	6.443157280372443e-32	3	-20401.85411801667	40813.70823603334	40849.67217209698	36590.23466877011	9822	9826	Linear model	NA	NA	cit_m22
0.001233208682397206	-0.6545074565327007	NA	3.6615958594542626	0.025749574535961203	NA	NA	NA	NA	4660.866184422904	5931	9826	Linear model with fixed effect	NA	NA	cit_m22
0.06029112696493358	0.060004105317702394	2084.952277351688	210.05776932344295	4.5616214434539176e-132	3	-23463.99007260945	46937.9801452189	46973.94408128254	42696489360.54744	9822	9826	Linear model assets weighted	NA	NA	cit_m22
0.7652350239345661	0.6107718714406196	1341.6376876640277	NA	NA	NA	-10273.37220667676	28346.74441335352	56398.61454299503	NA	NA	9826	Linear model assets weighted with fixed effect	3.7620035063268276e-4	NA	cit_m22
0.01584373655058871	0.015142056590907949	1.92965373575307	22.579719332153438	1.4831629123622286e-30	7	-20397.516890887793	40813.033781775586	40877.768866690145	36557.946834794944	9818	9826	Event study	NA	NA	cit_m22
0.007212228818625027	-0.6468242194592284	NA	4.302836168286336	5.1782420207945595e-6	NA	NA	NA	NA	4632.964362885428	5923	9826	Event study with fixed effects	NA	NA	cit_m22
0.06438910769254569	0.06372203942546972	2080.8249213442714	NA	NA	NA	-22243.107391581514	44502.21478316303	44559.75708086486	NA	NA	9826	Event study assets weighted	NA	NA	cit_m22
0.7663412918975211	0.6124097911350911	1338.8118236796245	NA	NA	NA	-10257.482240898806	28320.96448179761	56394.41297307731	NA	NA	9826	Event study assets weighted with fixed effects	0.005086663568328209	NA	cit_m22
