r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.07218881730497442	0.06881086396991964	2.0485530532686593	21.370578615114393	2.4518655600319707e-13	3	-1766.6629760261449	3543.3259520522897	3566.921017824216	3457.97336033443	824	828	Linear model	NA	NA	all
0.01788412371683743	-0.3100158543325411	NA	5.645034853933205	0.003719176659632844	NA	NA	NA	NA	789.7235428000791	620	828	Linear model with fixed effect	NA	NA	all
0.14411673500007663	0.14100065515177584	2641.4216737720394	46.24937165158607	1.2517964856997584e-27	3	-1884.399741248355	3778.79948249671	3802.3945482686363	5749137369.94629	824	828	Linear model assets weighted	NA	NA	all
0.7301117338583791	0.6370770795136254	1716.9139103579455	NA	NA	NA	-1163.4130114431655	2752.826022886331	3757.9758247703912	NA	NA	828	Linear model assets weighted with fixed effect	3.7872502007374464e-5	NA	all
0.07572376768253715	0.06783360472372957	2.0496277234710827	9.597237481389206	1.6759980419116606e-11	7	-1765.082628120826	3548.165256241652	3590.6363746311195	3444.7985199534273	820	828	Event study	NA	NA	all
0.027611741700856205	-0.31399524446632654	NA	1.7378229093882631	0.06906110861537926	NA	NA	NA	NA	781.9015239091739	612	828	Event study with fixed effects	NA	NA	all
0.14864425910666534	0.14137658814781984	2640.8436138250877	NA	NA	NA	-1812.6066237006519	3641.2132474013038	3678.965352636386	NA	NA	828	Event study assets weighted	NA	NA	all
0.73075500663565	0.6361673047184355	1719.064542392956	NA	NA	NA	-1164.8432335999814	2761.686467199963	3780.993308547179	NA	NA	828	Event study assets weighted with fixed effects	0.002421260354014576	NA	all
0.06096611062909425	0.05309711155615371	1.9755984634677144	7.74763220378827	5.009530130454356e-5	3	-758.1200538565529	1526.2401077131058	1545.6983287722346	1397.2701654104458	358	362	Linear model	NA	NA	treat_a
0.010037121204316077	-0.2948427508885576	NA	2.7983326564338613	0.09549545698849775	NA	NA	NA	NA	337.9056713871976	276	362	Linear model with fixed effect	NA	NA	treat_a
0.030426416593829757	0.022301498297129907	2813.2875527967544	3.744827391826035	0.011315661331095721	3	-814.2107766956506	1638.4215533913011	1657.87977445043	2833422093.9901724	358	362	Linear model assets weighted	NA	NA	treat_a
0.6432227332018072	0.5229755803179719	1965.087783823918	NA	NA	NA	-497.20098442112715	1178.4019688422543	1536.433236330225	NA	NA	362	Linear model assets weighted with fixed effect	-8.881784197001252e-16	NA	treat_a
0.05924858803433053	0.040646158984161795	1.988544748401516	3.1849920176845683	0.002780068185668547	7	-758.4508061780414	1534.9016123560828	1569.9264102625148	1399.825816603918	354	362	Event study	NA	NA	treat_a
0.03747186479828933	-0.2869357659548797	NA	1.5016115411551567	0.16667103713326073	NA	NA	NA	NA	328.5413248525728	270	362	Event study with fixed effects	NA	NA	treat_a
