r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
9.993174877843947e-4	8.466895570685695e-4	2.084712033117925	6.547409003695194	2.0222531493281672e-4	3	-42294.100166884156	84598.20033376831	84637.62695167786	85338.53238951975	19636	19640	Linear model	NA	NA	all
0.003477172702196027	-0.3244932190918768	NA	25.778989923878388	6.665215128023787e-12	NA	NA	NA	NA	16665.048528504758	14776	19640	Linear model with fixed effect	NA	NA	all
0.004089232138665198	0.003937076286985475	1481.272645212973	26.875286711098138	2.442055647581359e-17	3	-41259.60739617143	82529.21479234286	82568.6414102524	43084695600.722694	19636	19640	Linear model assets weighted	NA	NA	all
0.7288627860177441	0.6395299387085347	891.0995320141303	NA	NA	NA	-26248.522749720094	62233.04549944019	100618.80069617055	NA	NA	19640	Linear model assets weighted with fixed effect	6.901821334457381e-4	NA	all
0.001755247773774716	0.001399312908983319	2.084135434971118	4.931373538817837	1.3920829435155306e-5	7	-42286.66669312697	84591.33338625394	84662.30129849112	85273.95787788581	19632	19640	Event study	NA	NA	all
0.005031666402675176	-0.3231434929250989	NA	7.468343154806521	5.911428957742434e-12	NA	NA	NA	NA	16639.05242259949	14768	19640	Event study with fixed effects	NA	NA	all
0.004098749195445617	0.003743649931201909	1481.416463065509	NA	NA	NA	-45456.58400076277	90929.16800152554	90992.2505901808	NA	NA	19640	Event study assets weighted	NA	NA	all
0.7289908703452568	0.6396026342572113	891.0096740166646	NA	NA	NA	-26248.96644573941	62241.93289147882	100659.22938253683	NA	NA	19640	Event study assets weighted with fixed effects	0.0011622528024561873	NA	all
0.009513694557245577	0.008932536936215318	2.041853685775917	16.370248299210505	1.3826996526509417e-10	3	-10911.519409689614	21833.038819379228	21865.740437423254	21316.94818215867	5113	5117	Linear model	NA	NA	treat_a
0.0036043841495970964	-0.3202693526782341	NA	6.983434581713625	9.388696155610009e-4	NA	NA	NA	NA	4483.876041911593	3861	5117	Linear model with fixed effect	NA	NA	treat_a
0.005783033362623906	0.0051996868146262365	1619.7710845566412	9.913546900164263	1.6291266593296424e-6	3	-11351.838274406866	22713.67654881373	22746.378166857758	13414765227.228325	5113	5117	Linear model assets weighted	NA	NA	treat_a
0.7284019483370487	0.6397470489220487	974.7415045762197	NA	NA	NA	-6925.381765020229	16370.763530040458	24611.571277134877	NA	NA	5117	Linear model assets weighted with fixed effect	0.0016484218405740103	NA	treat_a
0.009864909306319098	0.008508294384640402	2.04229066336198	7.271709273338299	1.0644986994021327e-8	7	-10910.612034916549	21839.224069833097	21898.086982312343	21309.389444026034	5109	5117	Event study	NA	NA	treat_a
0.005885416457439066	-0.3199818866866704	NA	2.281076043538604	0.011639689177287091	NA	NA	NA	NA	4473.611177280261	3853	5117	Event study with fixed effects	NA	NA	treat_a
0.005732663028330975	0.004370386387344216	1620.4460928978608	NA	NA	NA	-11718.985728526219	23453.971457052437	23506.294045922878	NA	NA	5117	Event study assets weighted	NA	NA	treat_a
0.7290293656414473	0.6402061340829599	974.1202299779515	NA	NA	NA	-6921.5309483508	16371.0618967016	24638.030938231237	NA	NA	5117	Event study assets weighted with fixed effects	0.00395470884143978	NA	treat_a
0.008457945444062087	0.007981395273657155	2.0876119242328057	17.74827913055742	1.812535683783679e-11	3	-13457.875308945371	26925.750617890742	26959.449100579957	27203.407175374137	6242	6246	Linear model	NA	NA	treat_b
0.0031985422365817997	-0.32419168341470894	NA	7.542297885433293	5.366186712055385e-4	NA	NA	NA	NA	5302.629046294213	4701	6246	Linear model with fixed effect	NA	NA	treat_b
0.002696816504177019	0.0022174974477067178	1597.2157324615578	5.626349438381345	7.560274564077139e-4	3	-13635.255595379436	27280.511190758873	27314.209673448087	15923954315.373756	6242	6246	Linear model assets weighted	NA	NA	treat_b
0.7353281165200694	0.6480996567314952	948.5396349134024	NA	NA	NA	-8354.241500468694	19806.483000937387	30246.27293805623	NA	NA	6246	Linear model assets weighted with fixed effect	0.0014585500598451873	NA	treat_b
0.009647236554444116	0.008535907708000057	2.087028382463653	8.680811791497527	1.2017501571514848e-10	7	-13454.127222467927	26926.254444935854	26986.91171377644	27170.778432924813	6238	6246	Event study	NA	NA	treat_b
0.0049886143763844815	-0.32406693015543975	NA	2.3528944097157094	0.009075016084068896	NA	NA	NA	NA	5293.106499502645	4693	6246	Event study with fixed effects	NA	NA	treat_b
0.0024867160692401136	0.0013673520122482463	1597.8960292932275	NA	NA	NA	-14411.196180602485	28838.39236120497	28892.309933507713	NA	NA	6246	Event study assets weighted	NA	NA	treat_b
0.7356010128315525	0.6481628649335277	948.4544429285643	NA	NA	NA	-8352.168618758442	19810.337237516884	30277.0859607871	NA	NA	6246	Event study assets weighted with fixed effects	0.002488120239227287	NA	treat_b
0.005307989126002884	0.004996303724642659	2.109226238677457	17.029957459796766	4.997111658365115e-11	3	-20736.857007156454	41483.71401431291	41519.55013471742	42593.149410410275	9574	9578	Linear model	NA	NA	treat_c
0.0023957187325013077	-0.33120470972534966	NA	8.617682214292975	1.8275735944892177e-4	NA	NA	NA	NA	8217.70372680876	7177	9578	Linear model with fixed effect	NA	NA	treat_c
0.002726801964688205	0.002414307751808953	1518.0434733112306	8.72592788059683	8.900162975137061e-6	3	-21017.397623611905	42044.79524722381	42080.631367628324	22062861618.224693	9574	9578	Linear model assets weighted	NA	NA	treat_c
0.732170402793356	0.6424084689184402	908.8719818636213	NA	NA	NA	-12858.616788888994	30527.233577777988	47764.40749234863	NA	NA	9578	Linear model assets weighted with fixed effect	5.836215645447229e-4	NA	treat_c
0.00636431545189571	0.005637518190470869	2.1085465003281616	8.756658547966937	9.028879393229181e-11	7	-20731.76856297064	41481.53712594128	41546.0421426694	42547.91705252155	9570	9578	Event study	NA	NA	treat_c
0.00391299664325025	-0.3306633046655869	NA	2.816247259619606	0.0017251804256143977	NA	NA	NA	NA	8205.205243616683	7169	9578	Event study with fixed effects	NA	NA	treat_c
0.00268934203800264	0.0019598567082498297	1518.3892069636909	NA	NA	NA	-22329.48261496541	44674.96522993082	44732.303022578046	NA	NA	9578	Event study assets weighted	NA	NA	treat_c
0.7324045182065362	0.64252170049714	908.7280730339179	NA	NA	NA	-12857.177647674518	30532.355295349036	47798.19810624329	NA	NA	9578	Event study assets weighted with fixed effects	0.001457232176727441	NA	treat_c
0.0014464690289150443	0.0011719903233156082	2.0985945883755552	5.2698770411191	0.0012468641179992767	3	-23583.13322076037	47176.26644152074	47212.75728193245	48066.33917476394	10914	10918	Linear model	NA	NA	cit_more_stat
0.003117550181714718	-0.6385073328314095	NA	10.385762288584628	3.137320506142702e-5	NA	NA	NA	NA	7058.564599600423	6642	10918	Linear model with fixed effect	NA	NA	cit_more_stat
6.364596064203676e-4	3.6175824842332727e-4	1468.158821214517	2.3169146707567565	0.07354609324085697	3	-22798.386925022016	45606.77385004403	45643.26469045574	23525021399.519344	10914	10918	Linear model assets weighted	NA	NA	cit_more_stat
0.7983714367896341	0.6683472917632116	845.6553132713769	NA	NA	NA	-13107.799855797384	34777.59971159477	66021.0572720996	NA	NA	10918	Linear model assets weighted with fixed effect	3.2926300476132653e-4	NA	cit_more_stat
0.002240592612861515	0.0016004170077552615	2.09814446565903	3.4999656266023966	9.386033524790927e-4	7	-23578.790093197415	47175.58018639483	47241.2636991359	48028.11326864198	10910	10918	Event study	NA	NA	cit_more_stat
0.005043742681669257	-0.6373134551016304	NA	3.3629809053493447	2.187804226129538e-4	NA	NA	NA	NA	7044.925926159388	6634	10918	Event study with fixed effects	NA	NA	cit_more_stat
0.0014447398077893636	8.040535730188259e-4	1467.8339878901554	NA	NA	NA	-25362.84507364958	50741.69014729916	50800.07549195789	NA	NA	10918	Event study assets weighted	NA	NA	cit_more_stat
