r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
3.5785215920227964e-4	1.4813702329163903e-4	2.091604042631309	1.7063725879792118	0.16333115019429195	3	-30849.86518685845	61709.7303737169	61747.571846203966	62559.74683746837	14300	14304	Linear model	NA	NA	all
0.002682530159519816	-0.3325204830572992	NA	14.396862697218086	5.700536268973923e-7	NA	NA	NA	NA	12721.652647402685	10705	14304	Linear model with fixed effect	NA	NA	all
0.010342220749174949	0.010134600236045399	1515.016742183791	49.81309694924979	5.103533126982926e-32	3	-30558.075453589874	61126.15090717975	61163.992379666815	32822442926.089783	14300	14304	Linear model assets weighted	NA	NA	all
0.7262589224958718	0.6340823708839677	921.1302119447894	NA	NA	NA	-19457.737713499773	46123.47542699955	73399.60879567706	NA	NA	14304	Linear model assets weighted with fixed effect	7.636555514923815e-4	NA	all
0.001010594760736226	5.214421420544069e-4	2.091213545089311	2.0660111428201406	0.04362061613513188	7	-30845.19357518	61708.38715036	61776.50180083672	62518.896807294885	14296	14304	Event study	NA	NA	all
0.0038808667171154904	-0.33191473902450186	NA	4.167536782088288	8.796722149039523e-6	NA	NA	NA	NA	12706.366821272715	10697	14304	Event study with fixed effects	NA	NA	all
0.010352301035604694	0.009867722559614767	1515.2209603023741	NA	NA	NA	-33113.542207391874	66243.08441478375	66303.63077076306	NA	NA	14304	Event study assets weighted	NA	NA	all
0.7265183036035205	0.6343265678639951	920.8228001957476	NA	NA	NA	-19458.955175903182	46131.910351806364	73430.74860397613	NA	NA	14304	Event study assets weighted with fixed effects	0.0017104737352635624	NA	all
0.0018021010153118687	0.0010612317186879938	2.0288645212424883	2.4324142241064455	0.06316297203445255	3	-8601.473374956404	17212.946749912808	17244.474170001446	16638.049214539416	4042	4046	Linear model	NA	NA	treat_a
0.0027306319328918205	-0.32783232186683753	NA	4.159187115214477	0.015709285083558067	NA	NA	NA	NA	3661.7614677181086	3038	4046	Linear model with fixed effect	NA	NA	treat_a
0.014483486755118917	0.013752029669583443	1659.4921006320892	19.800870128306716	9.719414848805852e-13	3	-9093.900852330196	18197.801704660393	18229.32912474903	11131320517.587748	4042	4046	Linear model assets weighted	NA	NA	treat_a
0.7265551890696226	0.6354369610371204	1008.9472156042445	NA	NA	NA	-5544.301090960733	13112.602181921466	19493.75200786189	NA	NA	4046	Linear model assets weighted with fixed effect	0.0015424241390032956	NA	treat_a
0.002238907097751914	5.09256862408658e-4	2.029424979791062	1.2944276547955953	0.24862896396215162	7	-8600.587927186709	17219.175854373418	17275.925210532965	16630.76849284661	4038	4046	Event study	NA	NA	treat_a
0.004098331741712647	-0.3295122931038852	NA	1.2469047470426438	0.2554564467340365	NA	NA	NA	NA	3656.739564288865	3030	4046	Event study with fixed effects	NA	NA	treat_a
0.014767767762589479	0.013059836701256655	1660.0743514037022	NA	NA	NA	-9233.802246210194	18483.60449242039	18534.04836456221	NA	NA	4046	Event study assets weighted	NA	NA	treat_a
0.7276214560378969	0.6363791385060372	1007.642609521026	NA	NA	NA	-5542.0595883645055	13116.119176729011	19522.490938740346	NA	NA	4046	Event study assets weighted with fixed effects	0.0054357959998242444	NA	treat_a
0.002585940624808356	0.0019622969861827766	2.0731380807110393	4.146503651520213	0.006061264366745569	3	-10312.704643598348	20635.409287196697	20667.7932260806	20621.331405129014	4798	4802	Linear model	NA	NA	treat_b
0.002361648311727118	-0.33528344757607975	NA	4.245642962617604	0.01439858050087381	NA	NA	NA	NA	4233.644382953298	3587	4802	Linear model with fixed effect	NA	NA	treat_b
0.00590890446208785	0.00528733854157637	1648.503894210594	9.506480756258577	2.938990075140017e-6	3	-10655.968636418362	21321.937272836723	21354.321211720628	13038877298.113514	4798	4802	Linear model assets weighted	NA	NA	treat_b
0.7319976670610712	0.6408933294893113	990.4963752654313	NA	NA	NA	-6515.926103173875	15469.85220634775	23365.056506244033	NA	NA	4802	Linear model assets weighted with fixed effect	0.0012947981898383532	NA	treat_b
0.0037472465568744997	0.0022925595994064407	2.0727950392359444	2.5759814079839765	0.011936551826994856	7	-10309.907490292368	20637.814980584735	20696.106070575766	20597.32164282139	4794	4802	Event study	NA	NA	treat_b
