r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.044435245998991506	0.04430207861561242	0.33938828684235567	333.6796509132862	8.367035520467664e-212	3	-7282.542028958035	14575.08405791607	14614.970303096561	2479.5747778341015	21527	21531	Linear model	NA	NA	all
0.07881671166454306	-0.12572801667966793	NA	753.7006172870315	8.40155649e-315	NA	NA	NA	NA	1186.899382436255	17618	21531	Linear model with fixed effect	NA	NA	all
0.01695129036096124	0.01681429281699709	325.03831821595344	123.7342646477821	1.8434412289609402e-79	3	-14647.810147106618	29305.620294213237	29345.50653939373	2274325576.1604247	21527	21531	Linear model assets weighted	NA	NA	all
0.5667430608335338	0.47042001247564325	238.55172784012316	NA	NA	NA	1208.4296711663192	5417.140657667362	36664.025132063936	NA	NA	21531	Linear model assets weighted with fixed effect	0.0012353760407651793	NA	all
0.05465870663728815	0.054351250007007135	0.33759923614953097	177.7769651196801	5.025783687335432e-257	7	-7166.742800644018	14351.485601288035	14423.28084261292	2453.046135965777	21523	21531	Event study	NA	NA	all
0.16092141279971495	-0.025858147780927876	NA	337.7307111194508	0	NA	NA	NA	NA	1081.11151122065	17610	21531	Event study with fixed effects	NA	NA	all
0.022503928763038306	0.022186014322734482	324.1491643532829	NA	NA	NA	-7813.65752267459	15643.31504534918	15707.133037637965	NA	NA	21531	Event study assets weighted	NA	NA	all
0.56692776540272	0.47052554168770944	238.52795859779314	NA	NA	NA	1195.0656345206007	5451.868730958799	36730.66220149976	NA	NA	21531	Event study assets weighted with fixed effects	0.0016611658502531101	NA	all
0.06617213754468347	0.06570615557739035	0.33338145495395577	142.00579032936167	6.682532219908262e-89	3	-1925.950458268135	3861.90091653627	3895.4118058644185	668.1928853773853	6012	6016	Linear model	NA	NA	treat_a
0.10742288713744653	-0.08901649774204023	NA	296.6661512803239	2.1966731096800173e-122	NA	NA	NA	NA	347.2474451359076	4930	6016	Linear model with fixed effect	NA	NA	treat_a
0.04594544740873206	0.045469372282688436	314.5511024715396	96.50881740149853	5.2623632149869256e-61	3	-3790.0558771153446	7590.111754230689	7623.622643558838	594841685.1491587	6012	6016	Linear model assets weighted	NA	NA	treat_a
0.5435443859731591	0.4426348927382363	240.362197687781	NA	NA	NA	218.23529325221898	1743.529413495562	9048.903287031908	NA	NA	6016	Linear model assets weighted with fixed effect	0.006077895377674891	NA	treat_a
0.08921574200542315	0.08815457526008985	0.3293520003614122	84.07325464897369	4.3382072009829355e-117	7	-1850.7923612846093	3719.5847225692187	3779.904323359886	651.7042227735186	6008	6016	Event study	NA	NA	treat_a
0.19277963496530465	0.01352488913374783	NA	117.5467572920367	2.7339194844609687e-220	NA	NA	NA	NA	314.0403281471327	4922	6016	Event study with fixed effects	NA	NA	treat_a
0.06531957731120697	0.06423056882937916	311.4445278726191	NA	NA	NA	-2049.403111169516	4114.806222339032	4168.423645264069	NA	NA	6016	Event study assets weighted	NA	NA	treat_a
0.5447951128130212	0.44371040300087816	240.13018025808762	NA	NA	NA	197.86672117052512	1792.2665576589498	9124.449142657815	NA	NA	6016	Event study assets weighted with fixed effects	0.0088013256845485	NA	treat_a
0.056754513447130214	0.05636431261154584	0.33273045534197404	145.44949234185697	1.583060815007163e-91	3	-2309.1513486846734	4628.302697369347	4662.750617328322	802.8656994743852	7252	7256	Linear model	NA	NA	treat_b
0.09088248231697216	-0.1092579197427459	NA	297.2042829149401	9.491567551853657e-124	NA	NA	NA	NA	411.0073852165812	5946	7256	Linear model with fixed effect	NA	NA	treat_b
0.027039017928374355	0.026636524416761787	321.8766154169324	67.17876723040598	7.662259080230721e-43	3	-4610.22711923514	9230.45423847028	9264.902158429255	751340236.8649881	7252	7256	Linear model assets weighted	NA	NA	treat_b
0.5227054307056829	0.4172379501463698	249.05630134435341	NA	NA	NA	313.39452181007255	2001.210956379855	11054.12432159845	NA	NA	7256	Linear model assets weighted with fixed effect	5.847979405406711e-4	NA	treat_b
0.08010227669561945	0.07921385450147889	0.328677340217816	90.16239939065238	1.704434621572334e-126	7	-2218.218865372759	4454.437730745518	4516.443986671673	782.992698713825	7248	7256	Event study	NA	NA	treat_b
0.17200578465823982	-0.01163658341267615	NA	123.35476871406593	1.2015602396044455e-234	NA	NA	NA	NA	374.33195467335287	5938	7256	Event study with fixed effects	NA	NA	treat_b
0.044455853888036745	0.04353300496105228	319.0706795543145	NA	NA	NA	-2439.688768257085	4895.37753651417	4950.49420844853	NA	NA	7256	Event study assets weighted	NA	NA	treat_b
0.5233444976913906	0.41762619244712673	248.97332553843165	NA	NA	NA	297.1724728425088	2041.6550543149824	11122.126755500758	NA	NA	7256	Event study assets weighted with fixed effects	0.0019229511518686904	NA	treat_b
0.05723929292191207	0.056985749029376476	0.338633736056436	225.75693837264205	3.383834268366763e-142	3	-3748.5657975963486	7507.131595192697	7543.731603323626	1279.1751642662482	11155	11159	Linear model	NA	NA	treat_c
0.09281549048963049	-0.10869274448156663	NA	467.05241287012564	7.59507659618586e-194	NA	NA	NA	NA	636.1126645102114	9130	11159	Linear model with fixed effect	NA	NA	treat_c
0.02531462377749749	0.025052494137993375	315.68209372288186	96.57291645994059	1.0479763985673753e-61	3	-7764.636783211536	15539.273566423071	15575.873574554	1111653580.8359616	11155	11159	Linear model assets weighted	NA	NA	treat_c
0.5505939421832983	0.4505289510060533	236.99093777168343	NA	NA	NA	470.3238805901383	3125.3522388197234	18006.915544855256	NA	NA	11159	Linear model assets weighted with fixed effect	3.032084015598402e-4	NA	treat_c
0.07374905927214188	0.07316760858744142	0.33571573398831933	126.83630996175096	3.2506284080009144e-180	7	-3649.9910910191256	7317.982182038251	7383.862196673923	1256.7740576816207	11151	11159	Event study	NA	NA	treat_c
0.17853383255519878	-0.004814678398278094	NA	198.2535234085593	0	NA	NA	NA	NA	576.007446225366	9122	11159	Event study with fixed effects	NA	NA	treat_c
0.036857610503804206	0.03625300134530063	313.86352739134594	NA	NA	NA	-3991.4480720313104	7998.896144062621	8057.456157072106	NA	NA	11159	Event study assets weighted	NA	NA	treat_c
0.5508825153966729	0.45064098956326204	236.96677500966203	NA	NA	NA	457.2986590665332	3159.4026818669336	18070.245994407207	NA	NA	11159	Event study assets weighted with fixed effects	9.451350301264982e-4	NA	treat_c
0.0452060922099917	0.044870919998036274	0.3359622312249059	134.87422464491206	2.240865511733619e-85	3	-2803.9556388480223	5617.911277696045	5653.1797105056985	964.5923254389883	8546	8550	Linear model	NA	NA	cit_more_stat
0.08103415621547877	-0.47951770216833745	NA	234.11717226189913	3.629332675256904e-98	NA	NA	NA	NA	325.067402356459	5310	8550	Linear model with fixed effect	NA	NA	cit_more_stat
