r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.006276505017181967	0.006176562998175483	0.47281007447688	62.801463083973225	1.8096013267657418e-40	3	-19982.441248277602	39974.882496555205	40016.39934876694	6668.254054128896	29829	29833	Linear model	NA	NA	all
0.01253421826506815	-0.20011729816330504	NA	155.78510527911024	5.87736307234018e-68	NA	NA	NA	NA	3620.7901551761834	24546	29833	Linear model with fixed effect	NA	NA	all
0.008124218394267455	0.008024462205832972	494.8697271039442	81.44074590008564	1.8118601892269052e-52	3	-32892.51938528387	65795.03877056774	65836.55562277949	7305004180.114493	29829	29833	Linear model assets weighted	NA	NA	all
0.4709970724121607	0.35697109706623664	398.43332260632997	NA	NA	NA	-10721.55009385625	32025.1001877125	75958.23319817608	NA	NA	29833	Linear model assets weighted with fixed effect	8.125818503978977e-5	NA	all
0.005444662414894597	0.005211237859551909	0.47303964476854604	23.325148491345722	8.080651689400597e-32	7	-19994.922577050722	40007.845154101444	40082.57548808258	6673.836027216085	29825	29833	Event study	NA	NA	all
0.023778863386493803	-0.18683792270984245	NA	59.76983368768373	1.7902821654747918e-120	NA	NA	NA	NA	3579.5588526774636	24538	29833	Event study with fixed effects	NA	NA	all
0.008732003058811388	0.008499350050308885	494.75125858226926	NA	NA	NA	-20407.140292806776	40830.28058561355	40896.707549152336	NA	NA	29833	Event study assets weighted	NA	NA	all
0.47151968996261295	0.3575016460577337	398.26891940649057	NA	NA	NA	-10725.831386009882	32041.662772019765	76008.00926425273	NA	NA	29833	Event study assets weighted with fixed effects	0.0010691073182789168	NA	all
0.009372614409845742	0.008985297564182981	0.4693582831428186	24.198829756055133	1.4003526701382182e-15	3	-5084.393226009635	10178.78645201927	10213.51637264341	1690.3403999069826	7673	7677	Linear model	NA	NA	treat_a
0.017342909611604274	-0.19387081763553748	NA	55.753173715370025	9.951607546722875e-25	NA	NA	NA	NA	924.7622101463709	6318	7677	Linear model with fixed effect	NA	NA	treat_a
0.012664893755229114	0.01227886412943291	498.25414431418704	32.808087537600294	4.607553737280629e-21	3	-8439.118196997573	16888.236393995146	16922.966314619287	1904877436.7194138	7673	7677	Linear model assets weighted	NA	NA	treat_a
0.47036775744967163	0.3561201942007728	402.28713880523486	NA	NA	NA	-2733.910531229015	8193.82106245803	17661.197424598453	NA	NA	7677	Linear model assets weighted with fixed effect	4.2486703106303647e-4	NA	treat_a
0.011079198937671545	0.010176545970213335	0.46907610244990583	12.27404034229314	1.0511897309191065e-15	7	-5077.774820479395	10173.54964095879	10236.063498082241	1687.4283980633004	7669	7677	Event study	NA	NA	treat_a
0.028815661229308984	-0.1814280482414936	NA	18.722174060909033	2.577475354258738e-34	NA	NA	NA	NA	913.9653948114617	6310	7677	Event study with fixed effects	NA	NA	treat_a
0.02007157673172144	0.01917713169809543	496.5111864550671	NA	NA	NA	-5128.277799997248	10272.555599994495	10328.123472993118	NA	NA	7677	Event study assets weighted	NA	NA	treat_a
0.4718640297832287	0.35753221753027953	401.8457904447603	NA	NA	NA	-2732.4691971400844	8198.938394280169	17694.098692919906	NA	NA	7677	Event study assets weighted with fixed effects	0.003248782375739223	NA	treat_a
0.00859441962387843	0.008279354291131802	0.4713048542663112	27.27821416896221	1.4729762037763215e-17	3	-6294.20471106117	12598.40942212234	12634.175096613368	2096.890827783094	9440	9444	Linear model	NA	NA	treat_b
0.015701438348335622	-0.19561761225580998	NA	62.00505947867802	1.923391956651223e-27	NA	NA	NA	NA	1157.4530836221843	7774	9444	Linear model with fixed effect	NA	NA	treat_b
0.009444602402092881	0.009129807254551148	511.68220410906054	30.002376071700883	2.688978935150064e-19	3	-10492.043747511401	20994.087495022803	21029.85316951383	2471568320.337995	9440	9444	Linear model assets weighted	NA	NA	treat_b
0.4690036402108202	0.3546719915715284	412.9354689696917	NA	NA	NA	-3441.1618604226132	10230.323720845226	22204.67154044107	NA	NA	9444	Linear model assets weighted with fixed effect	0.0010467258622516296	NA	treat_b
0.01112878788982228	0.010395203904577266	0.47080181812574223	15.17043462461418	7.398424777478312e-20	7	-6282.118225443659	12582.236450887318	12646.614664971166	2091.53046500496	9436	9444	Event study	NA	NA	treat_b
