r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.006494984008650067	0.006359327231627021	0.4751715391132454	47.878065152212265	7.832501889784152e-31	3	-14828.029156607505	29666.05831321501	29706.046616827778	4960.787963075597	21971	21975	Linear model	NA	NA	all
0.012117352385740401	-0.2018454932275351	NA	110.77409817844875	1.527844704114938e-48	NA	NA	NA	NA	2745.474060116962	18062	21975	Linear model with fixed effect	NA	NA	all
0.011386092110016031	0.011251103182626787	498.37098309383197	84.34834123231899	2.942796347344986e-54	3	-24519.982408086624	49049.96481617325	49089.95311978601	5457017173.911169	21971	21975	Linear model assets weighted	NA	NA	all
0.46114914071372914	0.3442956705085549	405.84833432689686	NA	NA	NA	-8206.83368666609	24247.66737333218	55574.50442357376	NA	NA	21975	Linear model assets weighted with fixed effect	5.671354081915325e-6	NA	all
0.005696158804731527	0.005379314133708291	0.4754058086935429	17.977764266435276	5.469475346046632e-24	7	-14836.860078523168	29691.720157046337	29763.699103549316	4964.776672133347	21967	21975	Event study	NA	NA	all
0.0237185822447153	-0.18825788599504945	NA	43.861869749664415	6.9901864958688455e-87	NA	NA	NA	NA	2713.2325021547535	18054	21975	Event study with fixed effects	NA	NA	all
0.012000905994217215	0.011686070392722292	498.2613501613542	NA	NA	NA	-15100.850008135707	30217.700016271414	30281.681302051842	NA	NA	21975	Event study assets weighted	NA	NA	all
0.4615800750593748	0.3446748958322091	405.7309565557378	NA	NA	NA	-8208.234655584522	24258.469311169043	55617.29700430083	NA	NA	21975	Event study assets weighted with fixed effects	8.053952373010542e-4	NA	all
0.011871692146452912	0.011387315524956088	0.4708136865614569	24.509217868043695	9.273374815071271e-16	3	-4074.4136136373436	8158.827227274687	8192.427081058575	1356.5930280159694	6120	6124	Linear model	NA	NA	treat_a
0.02055835167193328	-0.19037737449637793	NA	52.87347944618018	1.883697701042878e-23	NA	NA	NA	NA	760.193635349821	5038	6124	Linear model with fixed effect	NA	NA	treat_a
0.017915700768599645	0.017434286896427342	500.34799411440156	37.21475803711201	7.962576318974596e-24	3	-6739.005171043587	13488.010342087175	13521.610195871062	1532130465.111548	6120	6124	Linear model assets weighted	NA	NA	treat_a
0.46009133588763085	0.34329345443781556	409.05059897998194	NA	NA	NA	-2278.348485481834	6736.696970963668	14061.465095851225	NA	NA	6124	Linear model assets weighted with fixed effect	1.3653807849245414e-4	NA	treat_a
0.013728161209125725	0.012599334709528676	0.4705249940160639	12.161444840305451	1.5995901104186108e-15	7	-4068.65539896662	8155.31079793324	8215.790534744237	1354.0442972821845	6116	6124	Event study	NA	NA	treat_a
0.03169715744104694	-0.17871139264184288	NA	16.46558234891939	1.1675586379398251e-29	NA	NA	NA	NA	751.5482512521321	5030	6124	Event study with fixed effects	NA	NA	treat_a
0.025612199641287248	0.024496974886135003	498.5464988585599	NA	NA	NA	-4103.3122731027925	8222.624546205585	8276.384312259806	NA	NA	6124	Event study assets weighted	NA	NA	treat_a
0.4621848524399863	0.345319652383705	408.41907049579515	NA	NA	NA	-2274.552704803985	6737.10540960797	14088.753417522636	NA	NA	6124	Event study assets weighted with fixed effects	0.0040135470001206874	NA	treat_a
0.010969326806380094	0.010567390743039362	0.4744282494135551	27.29122317417601	1.5156442020679753e-17	3	-4970.946340896387	9951.892681792773	9986.429389769835	1661.5565334787684	7382	7386	Linear model	NA	NA	treat_b
0.017296783783145083	-0.19441462339721416	NA	53.47253195679422	9.53196889102666e-24	NA	NA	NA	NA	942.1011950001896	6076	7386	Linear model with fixed effect	NA	NA	treat_b
0.014739153872875197	0.014338749844375887	518.0455559359091	36.810703249213816	1.32359914421534e-23	3	-8259.03955141631	16528.07910283262	16562.615810809682	1981116183.8201454	7382	7386	Linear model assets weighted	NA	NA	treat_b
0.4559774233221613	0.33833881278559963	424.4455070719	NA	NA	NA	-2843.7517002150717	8315.503400430143	17391.75025680218	NA	NA	7386	Linear model assets weighted with fixed effect	6.724264305768557e-4	NA	treat_b
0.01333979344298635	0.01240368319008589	0.4739877981946757	14.250237513855948	1.6416125130848018e-18	7	-4962.084491525702	9942.168983051404	10004.335057410117	1657.5741854746072	7378	7386	Event study	NA	NA	treat_b
0.028288017916732376	-0.18261255565012058	NA	17.664873530809935	3.6688084770891273e-32	NA	NA	NA	NA	931.5640820235197	6068	7386	Event study with fixed effects	NA	NA	treat_b
0.019920507164191026	0.01899064047269594	516.8216357480243	NA	NA	NA	-5000.086477232715	10016.17295446543	10071.43168722873	NA	NA	7386	Event study assets weighted	NA	NA	treat_b
0.45688127487732155	0.3390026722097923	424.23252581508706	NA	NA	NA	-2840.595858591275	8317.19171718255	17421.067939936234	NA	NA	7386	Event study assets weighted with fixed effects	0.002332732124140313	NA	treat_b
0.008200276213915902	0.007939001260336975	0.4760395666555944	31.385619255061062	3.3869299501009924e-20	3	-7706.786376738519	15423.572753477038	15460.276086645297	2580.6764628185056	11388	11392	Linear model	NA	NA	treat_c
