r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.0034565983800048513	0.003356372753773429	0.10520798266643307	34.48816944301429	3.051932081350906e-22	3	24849.236605111324	-49688.47321022265	-49646.95635801091	330.16883744775174	29829	29833	Linear model	NA	NA	all
0.007182185210862868	-0.2066218956567072	NA	88.78462672590238	3.803005891799868e-39	NA	NA	NA	NA	169.05724408400081	24546	29833	Linear model with fixed effect	NA	NA	all
0.003962867865753884	0.0038626931566989597	110.87572661319493	39.559564516195316	1.6682798173009998e-25	3	11734.204583127663	-23458.409166255326	-23416.892314043584	366700626.58552563	29829	29833	Linear model assets weighted	NA	NA	all
0.5449871668277637	0.4469096716162435	82.61804393099673	NA	NA	NA	34906.584710891126	-59231.16942178225	-15298.036411318666	NA	NA	29833	Linear model assets weighted with fixed effect	9.244026603865141e-4	NA	all
0.0034764139664300313	0.0032425274583919306	0.10521399137983554	14.863678950922619	1.70721201919525e-19	7	24849.533212497576	-49681.06642499515	-49606.33609101402	330.1622722654199	29825	29833	Event study	NA	NA	all
0.014408668257865336	-0.19822970937041973	NA	35.87287046108568	1.9345280568232543e-70	NA	NA	NA	NA	167.826716901523	24538	29833	Event study with fixed effects	NA	NA	all
0.0048026841992279135	0.004569108970037483	110.8364055994059	NA	NA	NA	24474.960082705427	-48933.920165410855	-48867.49320187207	NA	NA	29833	Event study assets weighted	NA	NA	all
0.5453139450528037	0.44721679064370523	82.59510274460531	NA	NA	NA	34905.573379453854	-59221.14675890771	-15254.800266674734	NA	NA	29833	Event study assets weighted with fixed effects	0.0016419124240194538	NA	all
0.005526839443846205	0.005138018971844627	0.10523817952474111	14.214373578105011	3.09991175900224e-9	3	6393.798465874149	-12777.596931748298	-12742.867011124159	84.97904609894721	7673	7677	Linear model	NA	NA	treat_a
0.009629817572368195	-0.20324177276266253	NA	30.716386913573857	5.3024979868035584e-14	NA	NA	NA	NA	42.887518784496585	6318	7677	Linear model with fixed effect	NA	NA	treat_a
0.008340245779521863	0.007952525296964663	113.69730475053002	21.510975444252747	7.195907884994025e-14	3	2904.1911552113525	-5798.382310422705	-5763.652389798565	99189462.64611526	7673	7677	Linear model assets weighted	NA	NA	treat_a
0.5714829191968199	0.479047020550331	82.39165085902462	NA	NA	NA	9052.200903172132	-15378.401806344264	-5911.025444203839	NA	NA	7677	Linear model assets weighted with fixed effect	0.004732167372958673	NA	treat_a
0.007553172423107231	0.006647301019659713	0.1051583220245296	8.338018392414858	3.5069507105254457e-10	7	6401.627751284656	-12785.255502569313	-12722.741645445862	84.8058932673915	7669	7677	Event study	NA	NA	treat_a
0.02003825036300774	-0.19210560859168813	NA	12.902683174870308	1.308337239612861e-22	NA	NA	NA	NA	42.4367864575888	6310	7677	Event study with fixed effects	NA	NA	treat_a
0.011676460729350358	0.01077435292195772	113.53548655244163	NA	NA	NA	6350.5253472690865	-12685.050694538173	-12629.48282153955	NA	NA	7677	Event study assets weighted	NA	NA	treat_a
0.572039356973038	0.4793936773573756	82.36423343293214	NA	NA	NA	9054.355748997521	-15374.711497995042	-5879.551199355305	NA	NA	7677	Event study assets weighted with fixed effects	0.00602454203977576	NA	treat_a
