r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared	population
0.0035141079528357867	0.0033780441561883645	0.1058386706825092	25.826913840576065	1.1380327598205775e-16	3	18173.14494865514	-36336.28989731028	-36296.30159369751	246.1152797583505	21971	21975	Linear model	NA	NA	all
0.006569978018089234	-0.20859435848912122	NA	59.72586912864541	1.402102932000341e-26	NA	NA	NA	NA	127.0468230198246	18062	21975	Linear model with fixed effect	NA	NA	all
0.007634729849603413	0.007499228697609883	111.57793033030956	56.344390710158095	2.832767805563202e-36	3	8368.274442800932	-16726.548885601864	-16686.560581989095	273530920.40793204	21971	21975	Linear model assets weighted	NA	NA	all
0.5474907512003085	0.449361045900741	83.1086716147347	NA	NA	NA	25499.611514110657	-43165.22302822131	-11838.385977979735	NA	NA	21975	Linear model assets weighted with fixed effect	5.544171385664098e-4	NA	all
0.0035513533060524604	0.0032338251717211053	0.10584632824681962	11.18437367299893	3.265575012325474e-14	7	18173.55563281015	-36329.1112656203	-36257.132319117314	246.10608078162664	21967	21975	Event study	NA	NA	all
0.014209625448465036	-0.19983148833474185	NA	26.023846901857393	9.111050832916793e-50	NA	NA	NA	NA	126.06981113821695	18054	21975	Event study with fixed effects	NA	NA	all
0.008417867412738866	0.008101890040857818	111.5440492904868	NA	NA	NA	17907.46446102717	-35798.92892205434	-35734.947636273915	NA	NA	21975	Event study assets weighted	NA	NA	all
0.5477917972042928	0.44960545872200797	83.09022479098549	NA	NA	NA	25501.515962523816	-43161.03192504763	-11802.204231915843	NA	NA	21975	Event study assets weighted with fixed effects	0.0012193297336530184	NA	all
0.007982644626023735	0.0074963616086834994	0.10582199831303368	16.41563521935497	1.2704897011847339e-10	3	5066.905832094729	-10123.811664189458	-10090.21181040557	68.53356740101786	6120	6124	Linear model	NA	NA	treat_a
0.012917328564139819	-0.19966399309284877	NA	32.96456476714261	5.977732898276461e-15	NA	NA	NA	NA	35.16927865028203	5038	6124	Linear model with fixed effect	NA	NA	treat_a
0.0148508175461998	0.014367901280291084	114.85394640252268	30.75236556435791	1.0046152498080446e-19	3	2273.3338336691013	-4536.667667338203	-4503.067813554315	80731545.50590934	6120	6124	Linear model assets weighted	NA	NA	treat_a
0.5776063489494441	0.4862303684182451	82.92256318560487	NA	NA	NA	7131.5020102478575	-12083.004020495715	-4758.235895608159	NA	NA	6124	Linear model assets weighted with fixed effect	0.0055802904055161084	NA	treat_a
0.010286782822125116	0.009154017531045278	0.10573359069377698	9.081124662919123	3.3525681734122374e-11	7	5074.026148482238	-10130.052296964475	-10069.572560153478	68.37438590131087	6116	6124	Event study	NA	NA	treat_a
0.023033333610834206	-0.1892578326641874	NA	11.858917202436885	1.7800319946179787e-20	NA	NA	NA	NA	34.80885027826161	5030	6124	Event study with fixed effects	NA	NA	treat_a
0.017901337624528724	0.016777287487735326	114.7134797733346	NA	NA	NA	5036.458045759948	-10056.916091519895	-10003.156325465674	NA	NA	6124	Event study assets weighted	NA	NA	treat_a
0.5783551654067509	0.486733335543844	82.88196372887907	NA	NA	NA	7135.275511398853	-12082.551022797707	-4730.903014883041	NA	NA	6124	Event study assets weighted with fixed effects	0.007343190586810322	NA	treat_a
0.007432584020414917	0.007029210646269823	0.10642323659902303	18.42606502268101	6.614617026579931e-12	3	6068.807789333385	-12127.61557866677	-12093.078870689707	83.6078328375783	7382	7386	Linear model	NA	NA	treat_b
0.010898291138713191	-0.20219159314361468	NA	33.473815870292114	3.483475436687419e-15	NA	NA	NA	NA	43.16612102984274	6076	7386	Linear model with fixed effect	NA	NA	treat_b
0.011612400860314563	0.0112107261383666	117.99712229922224	28.909961782016516	1.4127782407841488e-18	3	2667.830617645275	-5325.66123529055	-5291.124527313488	102781954.66896616	7382	7386	Linear model assets weighted	NA	NA	treat_b
0.5717208299836027	0.4791103968097671	85.64310161681712	NA	NA	NA	8533.216161079352	-14438.432322158704	-5362.185465786666	NA	NA	7386	Linear model assets weighted with fixed effect	0.004938707178484436	NA	treat_b
0.009434321025276683	0.008494505390575724	0.10634468495236951	10.038480609315924	1.504820111011247e-12	7	6076.263080446576	-12134.526160893152	-12072.36008653444	83.43921870599095	7378	7386	Event study	NA	NA	treat_b
0.0196874949891536	-0.19307973788811816	NA	12.186289472341517	3.5894536791439875e-21	NA	NA	NA	NA	42.78254486799299	6068	7386	Event study with fixed effects	NA	NA	treat_b
0.013670193574821687	0.012734396794532143	117.90617366531836	NA	NA	NA	6035.677064266386	-12055.354128532772	-12000.095395769471	NA	NA	7386	Event study assets weighted	NA	NA	treat_b
0.5721840168957222	0.4793307456781325	85.62498515164734	NA	NA	NA	8534.72522124316	-14433.450442486319	-5329.574219732633	NA	NA	7386	Event study assets weighted with fixed effects	0.0060148729130306	NA	treat_b
0.005555664388077801	0.005293692750666823	0.1062957328416092	21.20712166776657	1.0776434607953448e-13	3	9372.963902098683	-18735.927804197367	-18699.22447102911	128.67053875797222	11388	11392	Linear model	NA	NA	treat_c
0.009621370362950047	-0.20489191180130684	NA	45.48002552383628	2.2059792241520753e-20	NA	NA	NA	NA	68.10003507065281	9363	11392	Linear model with fixed effect	NA	NA	treat_c
0.008841362675589149	0.008580256606747105	111.10698312973808	33.86119179381319	8.848601943690771e-22	3	3884.0081342810154	-7758.016268562031	-7721.312935393772	140582146.2417854	11388	11392	Linear model assets weighted	NA	NA	treat_c
0.5580921126352281	0.4621463035610516	81.83604879420216	NA	NA	NA	13021.956259317218	-21977.912518634435	-7054.337252420413	NA	NA	11392	Linear model assets weighted with fixed effect	0.0021914757901362325	NA	treat_c
0.006447168866713965	0.005836235116017052	0.10626674046276745	10.552975440234013	2.6970312082954593e-13	7	9378.072571201088	-18738.145142402176	-18672.07914269931	128.5551875437681	11384	11392	Event study	NA	NA	treat_c
0.01599646090141017	-0.19815973424607547	NA	15.207962754867589	2.409267143018964e-27	NA	NA	NA	NA	67.66167354279311	9355	11392	Event study with fixed effects	NA	NA	treat_c
0.010607722468434333	0.00999934703425287	111.02743694404634	NA	NA	NA	9287.153444690148	-18558.306889380296	-18499.58155631108	NA	NA	11392	Event study assets weighted	NA	NA	treat_c
0.55861386365084	0.4625516323727117	81.80520698690124	NA	NA	NA	13025.108315779753	-21976.216631559506	-7023.278698810875	NA	NA	11392	Event study assets weighted with fixed effects	0.0033695665773302297	NA	treat_c
0.19743275526653786	0.19715285504168312	0.010625548195909343	705.3683339090092	0	3	26900.530559104438	-53791.061118208876	-53755.76004364188	0.971185364935821	8602	8606	Linear model	NA	NA	cit_more_stat
0.20154766710552469	-0.28208291184119405	NA	676.3672066077271	1.1917352782635818e-262	NA	NA	NA	NA	0.4916769537219037	5359	8606	Linear model with fixed effect	NA	NA	cit_more_stat
0.24669259833061466	0.2464298777766727	12.645294540364743	938.9923804179308	0	3	22881.70652151174	-45753.41304302348	-45718.111968456484	1375489.683456199	8602	8606	Linear model assets weighted	NA	NA	cit_more_stat
0.686135211317856	0.4955535101587879	10.346052223098129	NA	NA	NA	30480.295231919677	-54456.590463839355	-31496.771565467287	NA	NA	8606	Linear model assets weighted with fixed effect	0.07541110206927004	NA	cit_more_stat
