term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.8049200025052002	0.004383721233334592	183.61569079357648	0	0.7963275836576691	0.8135124213527314	Linear model
treatmentTreatment	-0.7551432799242218	0.006910782605952858	-109.27029874644751	0	-0.7686889265458731	-0.7415976333025706	Linear model
postPost	-0.13867092840124648	0.005874177251007185	-23.60686824311779	1.1502417768199686e-121	-0.15018475162099965	-0.1271571051814933	Linear model
treatmentTreatment:postPost	0.22168228619228816	0.01215509195189833	18.237812356299514	9.295512096477935e-74	0.19785740417498002	0.2455071682095963	Linear model
postPost	-0.13935424516495173	0.005792693818866863	-24.056898141426625	7.52246835606776e-126	-0.1507084964647745	-0.12799999386512897	Linear model with fixed effect
treatmentTreatment:postPost	0.2233166727482781	0.011886302557517589	18.787732490204842	5.501474066767539e-78	0.20001834722238646	0.24661499827416974	Linear model with fixed effect
(Intercept)	0.8694923854494028	0.003357254679399747	258.98910523072436	0	0.8629122871908507	0.8760724837079549	Linear model with time and fixed effects
treatmentTreatment	-0.8409491543287431	0.005155522043232769	-163.11619798669818	0	-0.8510537918549816	-0.8308445168025045	Linear model with time and fixed effects
anio_refact2012	-0.12149730960664468	0.006141232514376833	-19.783864122098514	4.10032594478194e-87	-0.13353390415550961	-0.10946071505777973	Linear model with time and fixed effects
anio_refact2013	-0.08363270560067498	0.004845202139424013	-17.260932195208074	9.260382790086858e-67	-0.09312912729176247	-0.0741362839095875	Linear model with time and fixed effects
anio_refact2015	-0.07783456289717514	0.004613259094313058	-16.8719253148224	7.23976725141138e-64	-0.0868763845733806	-0.06879274122096968	Linear model with time and fixed effects
anio_refact2016	-0.24500269579021466	0.00738298607524932	-33.18477013136464	1.7855645851803465e-241	-0.25947308259606405	-0.23053230898436528	Linear model with time and fixed effects
anio_refact2017	-0.29613792092960656	0.007944846747805243	-37.27421438448947	4.2953269726452586e-304	-0.311709534417995	-0.28056630744121813	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	0.15839428353581847	0.009958808469408966	15.904943249221745	5.855634470976704e-57	0.13887537760684443	0.1779131894647925	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	0.11210372136849764	0.008885876183610347	12.61594456777021	1.7247717531292964e-36	0.09468772407753914	0.12951971865945613	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	0.13971982273640132	0.009984662892407055	13.993444169522517	1.7092945154736812e-44	0.12015024306950997	0.15928940240329267	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	0.3708692719769149	0.014877688586085593	24.927882434894595	3.710309300334889e-137	0.3417095381749845	0.40002900577884526	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	0.42356266479556925	0.015592387299671131	27.164709075979847	1.6972594356127732e-162	0.3930021472552141	0.4541231823359244	Linear model with time and fixed effects
(Intercept)	0.8694923854494212	0.003358112644062785	258.9229360684795	0	0.862910235389621	0.8760745355092214	Linear model with time
treatmentTreatment	-0.8409491543286571	0.0051568395648812744	-163.07452340686078	0	-0.8510569426752975	-0.8308413659820167	Linear model with time
anio_refact2012	-0.12149730960670434	0.006142801939702462	-19.77880953990017	2.6495931857888906e-86	-0.13353765739737178	-0.10945696181603688	Linear model with time
anio_refact2013	-0.08363270560063756	0.0048464403571405355	-17.256522197248696	2.7932370522364233e-66	-0.09313208845873522	-0.07413332274253989	Linear model with time
anio_refact2015	-0.0778345628971871	0.00461443803773084	-16.867614704273375	1.9912609704594094e-63	-0.08687920398738241	-0.06878992180699178	Linear model with time
anio_refact2016	-0.24500269579017428	0.007384872837434018	-33.176291749839265	1.979554834233353e-235	-0.2594775947410699	-0.23052779683927865	Linear model with time
anio_refact2017	-0.29613792092962915	0.007946877096537531	-37.26469119028618	1.3522405372407838e-294	-0.31171438994673634	-0.28056145191252196	Linear model with time
treatmentTreatment:anio_refact2012	0.1583942835359618	0.00996135349700826	15.90087969305909	1.3131635566253542e-56	0.13886929123650793	0.17791927583541567	Linear model with time
treatmentTreatment:anio_refact2013	0.11210372136859816	0.008888147017527387	12.61272131835017	2.416308221613168e-36	0.09468229343455721	0.12952514930263911	Linear model with time
treatmentTreatment:anio_refact2015	0.13971982273645397	0.00998721452723555	13.989868982530835	2.81005793839551e-44	0.12014414089805386	0.15929550457485409	Linear model with time
treatmentTreatment:anio_refact2016	0.37086927197702163	0.01488149066020331	24.92151360675281	3.5828958159187945e-135	0.3417004456089854	0.4000380983450579	Linear model with time
treatmentTreatment:anio_refact2017	0.4235626647956613	0.015596372018928028	27.157768760684746	1.0057572787688497e-159	0.3929926178978732	0.4541327116934494	Linear model with time
anio_refact2012	-0.12510928946388256	0.006044408247134309	-20.69835198891432	4.7121322522775347e-94	-0.1369569262430293	-0.11326165268473583	Firm clustered model with time
anio_refact2013	-0.08467065051818078	0.004849115824103337	-17.4610493107447	1.0546976875676863e-67	-0.09417539616656195	-0.0751659048697996	Firm clustered model with time
anio_refact2015	-0.07867093585439172	0.004576725474018484	-17.189349962325046	1.0960923696245927e-65	-0.08764176953025185	-0.06970010217853159	Firm clustered model with time
anio_refact2016	-0.24850351513010793	0.007292445580652743	-34.07684190189932	1.5501203346199503e-246	-0.2627974282707747	-0.23420960198944119	Firm clustered model with time
anio_refact2017	-0.29824177699776916	0.007826025520390637	-38.1089706672567	2.02629401112358e-305	-0.3135815594874579	-0.2829019945080804	Firm clustered model with time
treatmentTreatment:anio_refact2012	0.16526159132950688	0.010110759489493661	16.34512140272294	1.2946813042520698e-59	0.14544350474516268	0.18507967791385108	Firm clustered model with time
treatmentTreatment:anio_refact2013	0.11421860261759281	0.008975845470102627	12.725107957577936	6.2373198449177496e-37	0.0966250595332151	0.13181214570197053	Firm clustered model with time
treatmentTreatment:anio_refact2015	0.1420222966471907	0.010022569188684952	14.170248563365146	2.4848952853837082e-45	0.12237707175727633	0.1616675215371051	Firm clustered model with time
treatmentTreatment:anio_refact2016	0.3760193543841545	0.0148006537536573	25.40559090447195	7.1645169019263605e-140	0.34700861212491313	0.4050300966433959	Firm clustered model with time
treatmentTreatment:anio_refact2017	0.4299102444316971	0.015404554499383381	27.90799594035035	9.373214656709224e-168	0.3997157971026649	0.4601046917607293	Firm clustered model with time
anio_fiscal::2012:treatment_num	0.15839428353562895	0.009958808469400027	15.904943249216991	5.855634471421153e-57	0.13887537760667246	0.17791318946458545	Firm clustered model with time and fixed effects
anio_fiscal::2013:treatment_num	0.11210372136838354	0.008885876183607292	12.615944567761707	1.7247717533154762e-36	0.09468772407743102	0.12951971865933604	Firm clustered model with time and fixed effects
anio_fiscal::2015:treatment_num	0.13971982273624353	0.009984662892402319	13.993444169513351	1.709294515694031e-44	0.12015024306936146	0.15928940240312559	Firm clustered model with time and fixed effects
anio_fiscal::2016:treatment_num	0.37086927197676883	0.014877688586080186	24.92788243489384	3.7103093004049927e-137	0.34170953817484906	0.4000290057786886	Firm clustered model with time and fixed effects
anio_fiscal::2017:treatment_num	0.42356266479546223	0.015592387299668423	27.1647090759777	1.697259435711842e-162	0.3930021472551124	0.45412318233581206	Firm clustered model with time and fixed effects
(Intercept)	0.727148140968384	0.00580152453976873	125.33742397948569	0	0.7157767223933849	0.7385195595433831	Event study saturated
anio_refact2012	-0.10449911011159568	0.005465493082181468	-19.119795513470205	8.085417171368651e-81	-0.11521188209596189	-0.09378633812722947	Event study saturated
anio_refact2013	-0.06903255439304391	0.004362896462779884	-15.822643278831972	4.4983040656129655e-56	-0.07758415518996666	-0.06048095359612117	Event study saturated
anio_refact2015	-0.05591105017841739	0.004267906991223423	-13.100344101545224	4.624502416041548e-39	-0.064276464562806307	-0.04754563579402847	Event study saturated
anio_refact2016	-0.18391662917060592	0.006899474745454612	-26.656613141713514	4.7348468468592223e-154	-0.1974401116173987	-0.17039314672381314	Event study saturated
anio_refact2017	-0.22609206400960544	0.0074442761013750886	-30.37126255538027	2.002076292543268e-198	-0.24068339753863216	-0.2115007304805787	Event study saturated
anio_refact2012	-0.09774211242652335	0.005254995038996025	-18.599848658505515	1.7399833290161457e-76	-0.10804242119753295	-0.08744180365551375	Event study saturated with fixed effects
anio_refact2013	-0.0660148882859405	0.004271404342460978	-15.455078234973627	1.5661552236222363e-53	-0.07438726224380154	-0.05764251432807946	Event study saturated with fixed effects
anio_refact2015	-0.05452081543963958	0.004176165418762429	-13.055233682720441	8.979423519067203e-39	-0.06270651171011292	-0.046335119169166245	Event study saturated with fixed effects
anio_refact2016	-0.18378104173520263	0.006836443164476418	-26.882552419972885	4.875810545157402e-156	-0.19718114486889055	-0.1703809386015147	Event study saturated with fixed effects
anio_refact2017	-0.22408238560608706	0.007373086909697137	-30.39193601683608	8.694214248578372e-198	-0.23853436342943415	-0.20963040778273997	Event study saturated with fixed effects
