term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.24061780666280072	0.004397932339642135	54.711575367796605	0	0.23199666514991737	0.24923894817568407	Linear model
treatmentTreatment	0.0026264084737082556	0.02040273087236811	0.12872828103934172	0.8975760120013303	-0.03736848378838414	0.04262130073580065	Linear model
postPost	-0.04447224281383245	0.006128235351836541	-7.256941070402066	4.3446056539093133e-13	-0.05648524804272513	-0.032459237584939765	Linear model
treatmentTreatment:postPost	0.07756618386441481	0.014792868725276478	5.243484905120396	1.6175318763258043e-7	0.048568144601152295	0.10656422312767733	Linear model
postPost	-0.042100041470873574	0.006103663020141929	-6.89750422524057	5.8051300885727264e-12	-0.054065284351976425	-0.030134798589770723	Linear model with fixed effect
treatmentTreatment:postPost	0.07285091610001375	0.013749868311182372	5.298299187401395	1.2082548539531164e-7	0.04589652602579715	0.09980530617423035	Linear model with fixed effect
(Intercept)	0.2527464150389247	0.003751225593866774	67.37702351257232	0	0.24539414797706094	0.26009868210078846	Linear model with time and fixed effects
treatmentTreatment	-0.01844293430496302	0.020294363814502506	-0.9087712467135117	0.36347088714623377	-0.058219156470540837	0.021333287860614794	Linear model with time and fixed effects
anio_refact2012	-0.019732412850322643	0.005416548298259352	-3.6429865965865753	2.6949287625964506e-4	-0.03034865243543269	-0.009116173265212597	Linear model with time and fixed effects
anio_refact2013	-0.017850759737552173	0.004327468727236466	-4.124988731912043	3.707529080830452e-5	-0.02633244258715903	-0.009369076887945315	Linear model with time and fixed effects
anio_refact2015	-0.013199475861474713	0.004964972643223069	-2.6585193534734404	0.007848484272374268	-0.02293064342641856	-0.003468308296530864	Linear model with time and fixed effects
anio_refact2016	-0.07309440151328095	0.007071067714758408	-10.3371095373223	4.787603398836553e-25	-0.08695343956645137	-0.05923536346011053	Linear model with time and fixed effects
anio_refact2017	-0.08690386397193978	0.007741583256069213	-11.225593150317057	3.0533069538590227e-29	-0.10207708833715376	-0.0717306396067258	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	0.047716017881918704	0.018796713511293903	2.5385298261448095	0.011131931373393236	0.010875136372065247	0.08455689939177216	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	0.018087462244683772	0.01585321217015452	1.1409335881302012	0.2538975607246949	-0.012984262648091154	0.0491591871374587	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	0.04381975690805329	0.011953312384950824	3.6659091218282054	2.4646144449137064e-4	0.020391695137593098	0.06724781867851348	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	0.13027527290673502	0.01959055763885945	6.6499012079331274	2.9328981313035734e-11	0.09187848549751447	0.16867206031595555	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	0.12533512260716773	0.020801863036669026	6.02518737798773	1.6891381472131053e-9	0.08456422024396144	0.16610602497037402	Linear model with time and fixed effects
(Intercept)	0.252746415038918	0.0037539016525443294	67.32899218806408	0	0.2453877473415129	0.2601050827363231	Linear model with time
treatmentTreatment	-0.01844293430495804	0.02030884145841578	-0.9081234073702158	0.3638414194242089	-0.05825378430697492	0.021367915697058842	Linear model with time
anio_refact2012	-0.01973241285031562	0.005420412369005327	-3.640389606360636	2.740091606361075e-4	-0.03035789457527765	-0.009106931125353594	Linear model with time
anio_refact2013	-0.017850759737543173	0.004330555867679907	-4.122048134921466	3.794560637611621e-5	-0.026339826453956813	-0.009361693021129533	Linear model with time
anio_refact2015	-0.013199475861468022	0.004968514567800395	-2.6566241642945503	0.007909000159935668	-0.022939115052435788	-0.0034598366705002586	Linear model with time
anio_refact2016	-0.07309440151327525	0.007076112090695832	-10.329740481271472	7.505806380185876e-25	-0.08696550477718958	-0.059223298249360914	Linear model with time
anio_refact2017	-0.08690386397192809	0.007747105966056468	-11.217590717448909	5.600772841057866e-29	-0.10209029763412986	-0.07171743030972633	Linear model with time
treatmentTreatment:anio_refact2012	0.047716017881912584	0.018810122757698656	2.5367201743743673	0.011209195266286907	0.010843063944111733	0.08458897181971343	Linear model with time
treatmentTreatment:anio_refact2013	0.018087462244674425	0.015864521574228383	1.1401202463021114	0.25427163800744945	-0.013011312643030775	0.04918623713237963	Linear model with time
treatmentTreatment:anio_refact2015	0.04381975690804609	0.011961839668777431	3.663295790732223	2.506607790218507e-4	0.020371299457779445	0.06726821435831273	Linear model with time
treatmentTreatment:anio_refact2016	0.13027527290673468	0.019604533199769923	6.645160666629062	3.23499994389117e-11	0.09184505855040663	0.16870548726306273	Linear model with time
treatmentTreatment:anio_refact2017	0.12533512260715468	0.020816702721646384	6.020892178895562	1.8140861030433779e-9	0.0845287264724986	0.16614151874181077	Linear model with time
anio_refact2012	-0.02194894558247811	0.005392401392059318	-4.070347139736192	4.751426552892852e-5	-0.03251987777616683	-0.01137801338878939	Firm clustered model with time
anio_refact2013	-0.01973241109627899	0.004315115499476613	-4.572858153778818	4.902648483245302e-6	-0.02819149825178515	-0.011273323940772831	Firm clustered model with time
anio_refact2015	-0.012336345672248679	0.004934464307155544	-2.5000374720229614	0.012443100420655225	-0.02200956615615598	-0.0026631251883413795	Firm clustered model with time
anio_refact2016	-0.07291705278100735	0.0070243216561426975	-10.380654011941798	4.817880686796926e-25	-0.08668710113888503	-0.05914700442312968	Firm clustered model with time
anio_refact2017	-0.08548320755482952	0.007634672651506276	-11.196708943108934	7.881500769419219e-29	-0.10044975048298155	-0.0705166646266775	Firm clustered model with time
treatmentTreatment:anio_refact2012	0.04581730205358939	0.017863963799910024	2.5647892352883157	0.010346679995993476	0.01079788559890247	0.08083671850827631	Firm clustered model with time
treatmentTreatment:anio_refact2013	0.02308423253658362	0.015561387140709728	1.4834302577174228	0.13800988023680935	-0.007421354185209245	0.053589819258376484	Firm clustered model with time
treatmentTreatment:anio_refact2015	0.04166859459380028	0.011526829938124612	3.6149223001879096	3.0277090122360963e-4	0.01907210578947501	0.06426508339812556	Firm clustered model with time
treatmentTreatment:anio_refact2016	0.12323137093207595	0.019125952390216083	6.443149518405954	1.2562335900179318e-10	0.08573802962509988	0.16072471223905202	Firm clustered model with time
treatmentTreatment:anio_refact2017	0.12411744378951331	0.019851180124523336	6.252396230901341	4.305314629011418e-10	0.08520241061523046	0.16303247696379616	Firm clustered model with time
anio_fiscal::2012:treatment_num	0.04771601788191874	0.01879671351129038	2.538529826145287	0.011131931373378054	0.01087513637207218	0.0845568993917653	Firm clustered model with time and fixed effects
anio_fiscal::2013:treatment_num	0.018087462244689982	0.015853212170153768	1.140933588130647	0.2538975607245093	-0.012984262648083469	0.049159187137463436	Firm clustered model with time and fixed effects
anio_fiscal::2015:treatment_num	0.04381975690805936	0.01195331238495313	3.665909121828006	2.4646144449156276e-4	0.02039169513759465	0.06724781867852407	Firm clustered model with time and fixed effects
anio_fiscal::2016:treatment_num	0.1302752729067384	0.01959055763885942	6.64990120793331	2.932898131299928e-11	0.0918784854975179	0.1686720603159589	Firm clustered model with time and fixed effects
anio_fiscal::2017:treatment_num	0.12533512260717297	0.020801863036669466	6.025187377987854	1.6891381472118066e-9	0.08456422024396582	0.16610602497038013	Firm clustered model with time and fixed effects
(Intercept)	0.2496591698495872	0.004577059185971532	54.545759559933295	0	0.24068689071629995	0.25863144898287443	Event study saturated
anio_refact2012	-0.011609715424288031	0.005461697741289074	-2.125660549927814	0.03356321850321854	-0.022316126393734224	-9.033044548418401e-4	Event study saturated
anio_refact2013	-0.014823529311640849	0.0044244548502911825	-3.350362883839866	8.109315996696401e-4	-0.023496662499673443	-0.006150396123608256	Event study saturated
anio_refact2015	-0.0058126937100161594	0.004539661552554042	-1.28042446396602	0.20043439860963194	-0.014711663324611912	0.003086275904579593	Event study saturated
anio_refact2016	-0.05072571863397948	0.006771720571426393	-7.490816860934744	7.603604837323178e-14	-0.06400013015255471	-0.03745130711540426	Event study saturated
anio_refact2017	-0.06519612254589713	0.0073418057200140465	-8.88012091741545	8.200390238142869e-19	-0.07958805579076925	-0.05080418930102501	Event study saturated
anio_refact2012	-0.01430506606616811	0.005350537459807728	-2.673575537714703	0.007523968607837796	-0.024793929199901518	-0.0038162029324346983	Event study saturated with fixed effects
anio_refact2013	-0.015928083370975694	0.004393195881876687	-3.6256255808405995	2.9052461182303e-4	-0.02454023321028206	-0.007315933531669327	Event study saturated with fixed effects
anio_refact2015	-0.005309928954557578	0.004480650376429757	-1.1850799568049764	0.23603025353167875	-0.014093519182925337	0.0034736612738101797	Event study saturated with fixed effects
anio_refact2016	-0.051814639527986185	0.006687548860616343	-7.7479268724491694	1.080754882764245e-14	-0.06492449722472686	-0.03870478183124551	Event study saturated with fixed effects
anio_refact2017	-0.06409016100851464	0.007176203641687976	-8.930928414043647	5.451503052178121e-19	-0.07815794735388289	-0.05002237466314639	Event study saturated with fixed effects
