term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	10.804314308149955	0.4834701463995929	22.347428044130115	1.9759831714158083e-103	9.856397966704197	11.752230649595713	Linear model
treatmentTreatment	2.637174192063936	0.4926830576579381	5.352678869454618	9.231365071877836e-8	1.671194544746844	3.6031538393810285	Linear model
postPost	0.5410747803695262	0.4609475371968056	1.1738315897292875	0.2405434429665	-0.3626825794424964	1.4448321401815487	Linear model
treatmentTreatment:postPost	-0.5809946060337775	0.47097728229651525	-1.233593695222009	0.21743830499272002	-1.504416798000074	0.3424275859325191	Linear model
postPost	0.03740219960688037	0.46926169343	0.07970435288142622	0.9364785454853637	-0.8827631660995664	0.9575675653133272	Linear model with fixed effect
treatmentTreatment:postPost	-0.22147120491085617	0.4755701966369841	-0.4656961400798446	0.6414721122893781	-1.154006781614252	0.7110643717925398	Linear model with fixed effect
(Intercept)	8.4743590265591	0.6336530315784248	13.373815959578915	8.601246324768173e-41	7.2324219059707655	9.716296147147434	Linear model with time and fixed effects
treatmentTreatment	5.005290030464337	0.6406687431758832	7.812602196967539	5.601918832350808e-15	3.7496023678190653	6.260977693109609	Linear model with time and fixed effects
anio_refact2012	3.3862501488957975	0.4917679283305893	6.885870252643646	5.743532194541275e-12	2.422402720615968	4.350097577175626	Linear model with time and fixed effects
anio_refact2013	2.5144511749804224	0.4741257381116156	5.303342495168415	1.1370130893533164e-7	1.5851818041381862	3.4437205458226585	Linear model with time and fixed effects
anio_refact2015	2.3433230911607126	0.5869271945674565	3.992527715277624	6.537268942903275e-5	1.1929669282613653	3.49367925406006	Linear model with time and fixed effects
anio_refact2016	2.3804794801864944	0.6407177704832693	3.7153323816678103	2.0293675602915388e-4	1.1246957257844863	3.6362632345885024	Linear model with time and fixed effects
anio_refact2017	3.5836248985349073	0.7122406582491904	5.031480381005027	4.867069227490514e-7	2.1876588600413935	4.979590937028421	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	-3.4823073451898097	0.4989181970289355	-6.979716045490015	2.957772621004475e-12	-4.4601690425981815	-2.504445647781438	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	-2.544253980488989	0.4786801540685896	-5.315144066165788	1.0657297506290621e-7	-3.4824498425775086	-1.6060581184004694	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	-2.5616282818311333	0.5922331304928099	-4.325371462585262	1.522750407989117e-5	-3.7223838880484506	-1.4008726756138161	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	-2.3884849907783234	0.6522710010078927	-3.661798527126951	2.504507931089667e-4	-3.666912660913682	-1.1100573206429647	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	-3.520832317711978	0.7233046457819887	-4.8677031707787375	1.1290273686201004e-6	-4.938483373295177	-2.1031812621287793	Linear model with time and fixed effects
(Intercept)	8.474359026557966	0.6346638629580708	13.35251543558866	1.0922698363432299e-39	7.230003524208768	9.718714528907164	Linear model with time
treatmentTreatment	5.005290030465671	0.6416907663294541	7.800159037812735	8.133527410838464e-15	3.747157210098235	6.263422850833107	Linear model with time
