term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	10.507567081019808	0.08231940352366533	127.64386804623861	0	10.346188253899903	10.668945908139712	Linear model
treatmentTreatment	0.9714287127136947	0.21791390095810045	4.457855641345601	8.444036283254178e-6	0.5442306495057739	1.3986267759216156	Linear model
postPost	-0.002789362087234902	0.05440866861677517	-0.05126686901459838	0.9591147427375561	-0.10945202909752835	0.10387330492305855	Linear model
treatmentTreatment:postPost	0.27670138021966373	0.12728815404602215	2.1738187837936587	0.029761554292470682	0.02716588643660514	0.5262368740027223	Linear model
postPost	-0.07791613516372019	0.04032751995969633	-1.932083481493289	0.05341646022038292	-0.1569794335402923	0.001147163212851951	Linear model with fixed effect
treatmentTreatment:postPost	0.11908669264997067	0.07666163145322422	1.5534067093606334	0.1204014354360869	-0.03121070842201716	0.2693840937219585	Linear model with fixed effect
(Intercept)	10.338741305228314	0.09202901271078613	112.34219514795008	0	10.158367754782395	10.519114855674234	Linear model with time and fixed effects
treatmentTreatment	1.042414841352917	0.2296015979217541	4.540102729198607	5.62268263382235e-6	0.5924039786334325	1.4924257040724016	Linear model with time and fixed effects
anio_refact2012	0.2958396997710251	0.08095664573437289	3.654297891018184	2.5788671400043774e-4	0.13716758982248606	0.4545118097195641	Linear model with time and fixed effects
anio_refact2013	0.23815905055330333	0.07237957527937447	3.290417906350577	0.0010003868752448807	0.09629768978942377	0.3800204113171829	Linear model with time and fixed effects
anio_refact2015	0.13981154364546544	0.06741962693121341	2.073751368990987	0.03810240775934505	0.007671503009160502	0.27195158428177035	Linear model with time and fixed effects
anio_refact2016	0.15846335566233138	0.08204318952097076	1.931462642878202	0.053425864827825506	-0.002338340975565234	0.319265052300228	Linear model with time and fixed effects
anio_refact2017	0.20326909673828375	0.0846529757948606	2.401204385665843	0.016341206446829817	0.03735231299621605	0.36918588048035145	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	-0.17744705450443732	0.16634335010591095	-1.0667517180065007	0.286083966261575	-0.5034740297797597	0.14857992077088505	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	-0.049797186382841474	0.16122480690361513	-0.3088680168965045	0.7574219268450615	-0.3657920013283517	0.26619762856266876	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	0.16648260639095547	0.14534057004340145	1.145465483871713	0.25201638558029277	-0.11837967638663238	0.4513448891685433	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	0.15806186258164168	0.18264177945000726	0.8654200756125813	0.38680826612692776	-0.19990944721268022	0.5160331723759636	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	0.2995054765831817	0.19922344706894238	1.5033645938248232	0.13274505157978972	-0.09096530454786705	0.6899762577142305	Linear model with time and fixed effects
(Intercept)	10.338741305228115	0.09212177116562192	112.22907651917069	0	10.158145873533623	10.519336736922607	Linear model with time
treatmentTreatment	1.0424148413530563	0.22983301939220907	4.53553124833721	5.868968159367057e-6	0.591850410930185	1.4929792717759276	Linear model with time
anio_refact2012	0.2958396997712574	0.08103824406023291	3.6506183370825513	2.6405938135787955e-4	0.13697240396656155	0.4547069955759533	Linear model with time
anio_refact2013	0.2381590505534838	0.07245252855101868	3.287104747293672	0.001018637578249056	0.0961231831850149	0.3801949179219527	Linear model with time
anio_refact2015	0.13981154364563886	0.06748758094087655	2.071663285251293	0.03834375530545224	0.007508954802417894	0.27211413248885985	Linear model with time
anio_refact2016	0.15846335566247724	0.08212588300278678	1.9295178312676418	0.05371841853192916	-0.0025361464803394518	0.31946285780529393	Linear model with time
anio_refact2017	0.20326909673845395	0.08473829974869208	2.3987865857739417	0.016482870293410407	0.03714821531663409	0.3693899781602738	Linear model with time
treatmentTreatment:anio_refact2012	-0.1774470545045812	0.16651101192984172	-1.065677593619738	0.28661658309712623	-0.5038750823297609	0.1489809733205984	Linear model with time
treatmentTreatment:anio_refact2013	-0.049797186383000666	0.16138730961366093	-0.30855701419280296	0.7576703084312999	-0.366180713109725	0.26658634034372364	Linear model with time
treatmentTreatment:anio_refact2015	0.16648260639084364	0.1454870626146582	1.144312101700719	0.2525444435677862	-0.11873009139392107	0.4516953041756083	Linear model with time
treatmentTreatment:anio_refact2016	0.15806186258152025	0.18282586888823124	0.864548674335303	0.3873245756845385	-0.20034979515169757	0.516473520314738	Linear model with time
treatmentTreatment:anio_refact2017	0.2995054765830667	0.19942424960471206	1.5018508389863832	0.13319352658995484	-0.0914456307611789	0.6904565839273122	Linear model with time
anio_refact2012	-0.15073197003452443	0.0529757717911528	-2.845300123776533	0.004458511899631292	-0.2545925983519067	-0.046871341717142176	Firm clustered model with time
anio_refact2013	-0.03694394418321388	0.048444559180370175	-0.7626025462562912	0.4457434247740035	-0.13192099095220755	0.05803310258577979	Firm clustered model with time
anio_refact2015	-0.0599796093914281	0.04688174574965424	-1.27938088550959	0.20083385390508812	-0.15189271241087343	0.03193349362801724	Firm clustered model with time
anio_refact2016	-0.17971400271987786	0.05433687321520806	-3.307404200607897	9.49595509869461e-4	-0.28624311219999554	-0.07318489323976016	Firm clustered model with time
anio_refact2017	-0.17822586077897096	0.06206867538080381	-2.8714300681546603	0.004106709438742594	-0.2999134059702335	-0.05653831558770839	Firm clustered model with time
