term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.003890428574854014	0.001000521190032368	3.8884019785009794	1.0175312871687506e-4	0.001929135380741491	0.005851721768966537	Linear model
treatmentTreatment	0.23823897364181876	0.009908954090937562	24.042797196901446	3.10922728634243e-123	0.21881473314302377	0.25766321414061377	Linear model
postPost	0.0011334983964474813	0.00148097558245434	0.7653727785092825	0.44407301033332724	-0.0017696158598538353	0.004036612652748798	Linear model
treatmentTreatment:postPost	-0.057627224834772	0.011459220753041758	-5.028895600905089	5.044330999263671e-7	-0.08009040891990536	-0.035164040749638636	Linear model
postPost	0.0011849870201443905	0.0014885103542226353	0.7960892020554617	0.4260099819859735	-0.001732996469529999	0.00410297050981878	Linear model with fixed effect
treatmentTreatment:postPost	-0.05630536501325462	0.011548681512028054	-4.875479937221586	1.1118693149673362e-6	-0.07894468484331703	-0.03366604518319222	Linear model with fixed effect
(Intercept)	3.517002232251813e-4	1.0054920884740319e-4	3.4977920488557324	4.691267651585654e-4	1.5462739521027497e-4	5.487730512400877e-4	Linear model with time and fixed effects
treatmentTreatment	0.26629784763311104	0.008592517367353	30.991831176844794	6.945551116301173e-211	0.24945682305656425	0.28313887220965783	Linear model with time and fixed effects
anio_refact2012	0.005659168285721106	0.0015952758982251734	3.5474542629379795	3.8897328195223427e-4	0.0025324849797949815	0.00878585159164723	Linear model with time and fixed effects
anio_refact2013	0.005298969767583657	0.001479606665758672	3.581336777005257	3.418406733710188e-4	0.0023989939914112668	0.008198945543756046	Linear model with time and fixed effects
anio_refact2015	0.0023502488270196187	9.581244179634397e-4	2.4529683023998454	0.014168282292262939	4.7235947510287576e-4	0.004228138178936362	Linear model with time and fixed effects
anio_refact2016	0.004534283245221801	0.0016348195652614804	2.773568008097926	0.005544525000187623	0.0013300957760878718	0.007738470714355731	Linear model with time and fixed effects
anio_refact2017	0.007365570017670325	0.002238390478050122	3.290565292292758	9.998629489289766e-4	0.002978405297354693	0.011752734737985958	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	-0.058700707682542985	0.013814343016617716	-4.249258007559971	2.1447977050357863e-5	-0.0857763224651961	-0.031625092899889864	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	-0.028365098221166424	0.010647171253356196	-2.664097115205618	0.007719527322756802	-0.04923317041497475	-0.007497026027358099	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	-0.04107754959338061	0.011587447040330741	-3.5450043008100027	3.9260668005931457e-4	-0.0637885284651941	-0.018366570721567124	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	-0.11286726171081102	0.014913194297688963	-7.568282117017787	3.781919755198406e-14	-0.1420965854287295	-0.08363793799289256	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	-0.10490904181190658	0.01671675625265615	-6.275681730732745	3.4810561545883006e-10	-0.13767328200544737	-0.07214480161836578	Linear model with time and fixed effects
(Intercept)	3.5170022322569106e-4	1.0062093889301165e-4	3.4952985640458722	4.761953896473963e-4	1.5445583025851725e-4	5.489446161928648e-4	Linear model with time
treatmentTreatment	0.26629784763311665	0.00859864711883968	30.969737907915384	1.3815324546478092e-198	0.24944216182901346	0.28315353343721983	Linear model with time
anio_refact2012	0.005659168285719769	0.0015964139401275657	3.5449253752241465	3.950529731890055e-4	0.0025297629948428297	0.008788573576596709	Linear model with time
anio_refact2013	0.005298969767584585	0.001480662191255392	3.578783735331155	3.47318063835513e-4	0.002396469370384466	0.008201470164784704	Linear model with time
anio_refact2015	0.0023502488270203126	9.5880792715225e-4	2.451219645211709	0.014259354125874979	4.707246480186939e-4	0.004229773006021931	Linear model with time
anio_refact2016	0.00453428324522437	0.0016359858169238235	2.771590803733417	0.0055916928240486025	0.0013273063186310429	0.007741260171817698	Linear model with time
anio_refact2017	0.007365570017670802	0.0022399873066367058	3.2882195340339013	0.0010127503406498362	0.0029745859798303706	0.011756554055511233	Linear model with time
treatmentTreatment:anio_refact2012	-0.058700707682550056	0.013824197927120762	-4.246228822244298	2.1995166416911964e-5	-0.08579989358154365	-0.03160152178355646	Linear model with time
treatmentTreatment:anio_refact2013	-0.028365098221177082	0.010654766758964382	-2.6621979497873216	0.007779336596008154	-0.049251337454278815	-0.007478858988075352	Linear model with time
treatmentTreatment:anio_refact2015	-0.04107754959338552	0.011595713322223268	-3.542477159612087	3.9873211793626113e-4	-0.06380829987683521	-0.018346799309935827	Linear model with time
treatmentTreatment:anio_refact2016	-0.11286726171082323	0.014923833109462705	-7.5628868858938025	4.3973774352435243e-14	-0.1421220314913885	-0.083612491930257965	Linear model with time
treatmentTreatment:anio_refact2017	-0.1049090418119061	0.016728681693958667	-6.271207960744006	3.775762180845071e-10	-0.13770180544706156	-0.07211627817675066	Linear model with time
