term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.6546559802899776	0.005152249866272721	127.06215678230949	0	0.644557338174163	0.6647546224057922	Linear model
treatmentTreatment	0.014666113536054258	0.012392021631960277	1.1835125834697438	0.23661568215376805	-0.009622807770305324	0.03895503484241384	Linear model
postPost	-0.11211012528498764	0.004751761363198178	-23.593382898658824	6.221239067471895e-122	-0.12142379187185455	-0.10279645869812072	Linear model
treatmentTreatment:postPost	-0.07330136761868697	0.013500005475032752	-5.429728732647728	5.6888667808515974e-8	-0.09976198723000247	-0.046840748007371466	Linear model
postPost	-0.11338031172472043	0.0045984550464537605	-24.65617486293731	1.4183623531798164e-132	-0.12239357325732848	-0.10436705019211238	Linear model with fixed effect
treatmentTreatment:postPost	-0.06982445884248462	0.013333832263545922	-5.2366384594008615	1.649075070074088e-7	-0.09595960993327285	-0.04368930775169638	Linear model with fixed effect
(Intercept)	0.7088829180809935	0.0048783383119984725	145.31237334185434	0	0.6993215506850745	0.7184442854769124	Linear model with time and fixed effects
treatmentTreatment	0.023620669741245492	0.011718485437651726	2.0156759904613453	0.043833867831083104	6.528603300910221e-4	0.04658847915239996	Linear model with time and fixed effects
anio_refact2012	-0.101248438308706	0.004921752778375598	-20.571622116729436	4.928956866817521e-94	-0.11089489649513212	-0.09160198012227988	Linear model with time and fixed effects
anio_refact2013	-0.0700911623509017	0.0038652267983465514	-18.133777397198262	1.7249265466500045e-73	-0.07766686766774	-0.06251545703406339	Linear model with time and fixed effects
anio_refact2015	-0.06273962464762113	0.003726126537400208	-16.837760075479295	1.2902896178025456e-63	-0.07004269846276448	-0.05543655083247779	Linear model with time and fixed effects
anio_refact2016	-0.2020067952713389	0.005903312632372394	-34.21922704272524	1.2518254987441364e-256	-0.21357707542026913	-0.1904365151224087	Linear model with time and fixed effects
anio_refact2017	-0.24204327099164702	0.006427337692282552	-37.65840268238493	0	-0.2546406213849976	-0.22944592059829644	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	-0.011378538708277153	0.01206153301864871	-0.9433741706534684	0.34548954996059533	-0.035018709023169295	0.012261631606614993	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	-0.011967335090391718	0.01029588829101586	-1.1623411940895234	0.2450968998821991	-0.032146905329630444	0.00821223514884701	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	-0.06871495067298627	0.011635735454563445	-5.905509878710486	3.515577181812159e-9	-0.09152057309756642	-0.04590932824840613	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	-0.1028703894034278	0.015810413211532467	-6.506495942078974	7.692397970220469e-11	-0.13385822987872767	-0.07188254892812791	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	-0.0737945320922071	0.016594296940168052	-4.44698153578176	8.708531999893071e-6	-0.1063187564436997	-0.0412703077407145	Linear model with time and fixed effects
(Intercept)	0.7088829180810485	0.0048792558965667435	145.28504614399284	0	0.6993193563501923	0.7184464798119048	Linear model with time
treatmentTreatment	0.023620669741303602	0.011720689610617226	2.0152969258657563	0.04388268009026262	6.475892151897138e-4	0.046593750267417494	Linear model with time
anio_refact2012	-0.10124843830870695	0.004922678528927	-20.56775345246364	2.4474577377024952e-93	-0.11089711035841038	-0.09159976625900351	Linear model with time
anio_refact2013	-0.07009116235088342	0.003865953823046329	-18.130367189862696	4.617286410896488e-73	-0.07766860629297277	-0.06251371840879406	Linear model with time
anio_refact2015	-0.06273962464757454	0.003726827398222172	-16.83459359494447	2.706159902304945e-63	-0.07004437451900952	-0.055434874776139564	Linear model with time
anio_refact2016	-0.2020067952712795	0.005904423008120802	-34.21279183307906	1.43793758892373e-251	-0.2135797308008516	-0.19043385974170737	Linear model with time
anio_refact2017	-0.24204327099161166	0.006428546633827764	-37.65132070722668	5.412329397774687e-303	-0.25464351247834327	-0.22944302950488002	Linear model with time
treatmentTreatment:anio_refact2012	-0.011378538708309672	0.012063801716682874	-0.9431967613140093	0.34558806307143364	-0.035024134445046526	0.012267057028427179	Linear model with time
treatmentTreatment:anio_refact2013	-0.011967335090441053	0.01029782488245978	-1.162122606185015	0.24519515201630002	-0.03215153654342276	0.00821686636254065	Linear model with time
treatmentTreatment:anio_refact2015	-0.06871495067308317	0.01163792406277976	-5.904399298569608	3.5783891752520087e-9	-0.0915258069906884	-0.045904094355477945	Linear model with time
treatmentTreatment:anio_refact2016	-0.1028703894035043	0.01581338705021419	-6.505272341519709	7.880467813055516e-11	-0.13386534159182065	-0.07187543721518797	Linear model with time
treatmentTreatment:anio_refact2017	-0.07379453209223227	0.01659741822241249	-4.446145243998436	8.774644568863068e-6	-0.1063262207570081	-0.04126284342745645	Linear model with time
anio_refact2012	-0.09816388019882338	0.004692254224789127	-20.920409572061267	2.5387928618402384e-96	-0.10736099418421687	-0.0889667662134299	Firm clustered model with time
anio_refact2013	-0.0679073777328331	0.003762779631352143	-18.047131213057728	2.5060588971212116e-72	-0.07528266293981009	-0.06053209252585612	Firm clustered model with time
anio_refact2015	-0.06135004650693588	0.00363957208459142	-16.85639000438236	2.185299592630206e-63	-0.06848383715774994	-0.05421625585612182	Firm clustered model with time
anio_refact2016	-0.20220651571404558	0.005800727467853969	-34.8588201798168	9.563147524413604e-260	-0.21357630711158082	-0.19083672431651033	Firm clustered model with time
anio_refact2017	-0.24251793039007294	0.006284104382799703	-38.592282307383634	3.7367244e-316	-0.2548351710032064	-0.2302006897769395	Firm clustered model with time
treatmentTreatment:anio_refact2012	-0.018424820181072443	0.011681886767595847	-1.577212700963742	0.1147597960264761	-0.04132205443543921	0.004472414073294326	Firm clustered model with time
treatmentTreatment:anio_refact2013	-0.015754277483141357	0.010179023335977807	-1.5477199494629104	0.12170294696615293	-0.03570580470142103	0.004197249735138318	Firm clustered model with time
treatmentTreatment:anio_refact2015	-0.06956976814209358	0.011564756808290041	-6.015670653119434	1.8174173980446825e-9	-0.09223742029471725	-0.0469021159894699	Firm clustered model with time
treatmentTreatment:anio_refact2016	-0.100894267775378	0.015761463971603124	-6.401325914721859	1.5688589786423318e-10	-0.13178773044363765	-0.07000080510711834	Firm clustered model with time
