term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.24061780666280144	0.004397932339642244	54.71157536779541	0	0.2319966651499179	0.24923894817568498	Linear model
treatmentTreatment	0.0015115955538711268	0.010794819933128617	0.14002971455152632	0.8886401682477215	-0.01964918252603183	0.022672373633774084	Linear model
postPost	-0.04447224281383412	0.006128235351836698	-7.256941070402153	4.3446056539065244e-13	-0.056485248042727115	-0.032459237584941125	Linear model
treatmentTreatment:postPost	-0.012021483624486124	0.01291029512128255	-0.93115482733379	0.3518026170057029	-0.03732916746728051	0.013286200218308264	Linear model
postPost	-0.042100041470875184	0.006103663020141929	-6.897504225240834	5.8051300885620215e-12	-0.054065284351978035	-0.030134798589772332	Linear model with fixed effect
treatmentTreatment:postPost	-0.013020336522245005	0.012977329611868486	-1.0033140030855952	0.3157476542520743	-0.03846028958677771	0.012419616542287702	Linear model with fixed effect
(Intercept)	0.2527464150389249	0.0037512255938672626	67.37702351256361	0	0.24539414797706022	0.2600986821007896	Linear model with time and fixed effects
treatmentTreatment	0.01390313281741129	0.00937512336030568	1.4829813201474473	0.1380793738357778	-0.004471771319407968	0.03227803695423055	Linear model with time and fixed effects
anio_refact2012	-0.019732412850323067	0.005416548298259737	-3.642986596586394	2.6949287625983485e-4	-0.030348652435433866	-0.009116173265212265	Linear model with time and fixed effects
anio_refact2013	-0.01785075973755259	0.0043274687272368976	-4.124988731911728	3.7075290808355315e-5	-0.026332442587160294	-0.009369076887944885	Linear model with time and fixed effects
anio_refact2015	-0.013199475861474966	0.004964972643223514	-2.6585193534732534	0.007848484272378622	-0.022930643426419685	-0.0034683082965302463	Linear model with time and fixed effects
anio_refact2016	-0.0730944015132812	0.007071067714758934	-10.337109537321568	4.787603398873105e-25	-0.08695343956645266	-0.05923536346010975	Linear model with time and fixed effects
anio_refact2017	-0.08690386397194	0.007741583256069586	-11.225593150316545	3.0533069538766947e-29	-0.1020770883371547	-0.0717306396067253	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	-0.03330912654649887	0.014752293491409978	-2.257894785369762	0.02395221980993031	-0.06222309047902707	-0.004395162613970667	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	-0.005215368716030039	0.011397368354060968	-0.4575941176957542	0.647244070369438	-0.027553800208526085	0.017123062776466007	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	-0.025527824904886032	0.012569879866575102	-2.030872623752574	0.04226791752594119	-0.05016433673336837	-8.913130764036971e-4	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	-0.035238576952307976	0.016423480988401004	-2.1456216850249366	0.03190317391766446	-0.06742800819035222	-0.0030491457142637277	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	-0.010639607822295949	0.01828583219296168	-0.5818498009836924	0.5606678558602285	-0.04647918034784391	0.02519996470325201	Linear model with time and fixed effects
(Intercept)	0.25274641503891765	0.0037539016525447327	67.32899218805676	0	0.24538774734151175	0.26010508273632355	Linear model with time
treatmentTreatment	0.013903132817424049	0.009381811409208586	1.4819241414059574	0.13840136455325316	-0.004487767890722446	0.032294033525570545	Linear model with time
anio_refact2012	-0.019732412850314483	0.005420412369005611	-3.640389606360235	2.740091606365336e-4	-0.03035789457527707	-0.009106931125351898	Linear model with time
anio_refact2013	-0.01785075973754329	0.004330555867680229	-4.1220481349211875	3.794560637616199e-5	-0.026339826453957563	-0.00936169302112902	Linear model with time
anio_refact2015	-0.013199475861467684	0.004968514567800718	-2.656624164294309	0.007909000159941313	-0.022939115052436083	-0.0034598366704992854	Linear model with time
anio_refact2016	-0.0730944015132755	0.007076112090696278	-10.329740481270857	7.5058063802332605e-25	-0.0869655047771907	-0.05922329824936029	Linear model with time
anio_refact2017	-0.08690386397192765	0.007747105966056845	-11.217590717448305	5.60077284109543e-29	-0.10209029763413015	-0.07171743030972515	Linear model with time
treatmentTreatment:anio_refact2012	-0.03330912654651187	0.014762817519364337	-2.2562851910091286	0.024080680982348952	-0.06224826200010099	-0.0043699910929227564	Linear model with time
treatmentTreatment:anio_refact2013	-0.0052153687160418905	0.011405499037149953	-0.45726791077307616	0.6474913802630837	-0.027573247293008463	0.017142509860924682	Linear model with time
treatmentTreatment:anio_refact2015	-0.025527824904894685	0.012578846998849254	-2.0294248675757034	0.042449327859617345	-0.05018578444901196	-8.698653607774123e-4	Linear model with time
treatmentTreatment:anio_refact2016	-0.035238576952318114	0.016435197212264184	-2.1440921272318274	0.03205669455481774	-0.06745603122270341	-0.003021122681932817	Linear model with time
treatmentTreatment:anio_refact2017	-0.010639607822308599	0.018298876985574877	-0.5814350154217589	0.5609643080110094	-0.04651038106999673	0.02523116542537953	Linear model with time
anio_refact2012	-0.02194894558247829	0.005392401392059319	-4.070347139736225	4.751426552892189e-5	-0.03251987777616701	-0.01137801338878957	Firm clustered model with time
